Verslóritgerðir	nvfn-s	Verslóritgerðir
fötum	nhfþ	fat
.	.	.

Fólk	nhen	fólk
sem	ct	sem
hefur	sfg3en	hafa
ekki	aa	ekki
áhyggjur	nvfo	áhyggja
af	aþ	af
nokkrum	fokeþ	nokkur
sköpuðum	lkeþsf	skapaður
hlut	nkeþ	hlutur
,	,	,
þá	aa	þá
allrasíst	aae	allrasíður
fjárskorti	nkeþ	fjárskortur
.	.	.

Auglýsingar	nvfn	auglýsing
nokkurra	fohfe	nokkur
fyrirtækja	nhfe	fyrirtæki
hér	aa	hér
á	aþ	á
landi	nheþ	land
hafa	sfg3fn	hafa
vakið	ssg	vekja
athygli	nveo	athygli
sökum	ae	sökum
þess	fphee	það
hve	aa	hve
óprúttnar	lvfnsf	óprúttinn
þær	fpvfn	hún
þykja	sfg3fn	þykja
vera	sng	vera
og	c	og
eru	sfg3fn	vera
auglýsingar	nvfn	auglýsing
kortfyrirtæjanna	x	kortfyrirtæ
þar	aa	þar
fremstar	lvfnse	fremri
í	aþ	í
flokki	nkeþ	flokkur
.	.	.

Svarta	lhenvf	svartur
kortið	nheng	kort
er	sfg3en	vera
kreditkort	nhen	kreditkort
gefið	sþghen	gefa
út	aa	út
af	aþ	af
VISA	nxeþ-s	VISA
og	c	og
á	sfg3en	eiga
það	fphen	það
að	cn	að
vera	sng	vera
sérsniðið	lhensf	sérsniðinn
þörfum	nvfþ	þörf
ungs	lheesf	ungur
fólks	nhee	fólk
.	.	.

Slagorð	nhen	slagorð
þess	fphee	það
:	:	:
«	«	«
Á	ao	á
morgun	nkeo	morgunn
kemur	sfg3en	koma
nýr	lkensf	nýr
dagur	nken	dagur
»	»	»
er	sfg3en	vera
fullkomið	lhensf	fullkominn
dæmi	nhen	dæmi
um	ao	um
þann	fakeo	sá
hugsunarhátt	nkeo	hugsunarháttur
er	ct	er
ríkir	sfg3en	ríkja
meðal	ae	meðal
ungs	lheesf	ungur
fólks	nhee	fólk
í	ao	í
dag	nkeo	dagur
.	.	.

VISA	nxen-s	VISA
beinir	sfg3en	beina
með	aþ	með
þessu	faheþ	þessi
þeim	fahfþ	sá
skilaboðum	nhfþ	skilaboð
til	ae	til
þess	fphee	það
að	c	að
það	fphen	það
sé	svg3en	vera
í	aþ	í
lagi	nheþ	lag
að	cn	að
steypa	sng	steypa
sér	fpkeþ	sig
í	ao	í
skuldir	nvfo	skuld
vegna	ae	vegna
þess	fphee	það
að	c	að
«	«	«
á	ao	á
morgun	nkeo	morgunn
kemur	sfg3en	koma
nýr	lkensf	nýr
dagur	nken	dagur
»	»	»
.	.	.

Hinn	faken	hinn
kortarisinn	nkeng	kortarisi
,	,	,
Eurocard	e	Eurocard
,	,	,
slær	sfg3en	slá
heldur	aam	heldur
ekki	aa	ekki
slöku	lheþsf	slakur
við	aa	við
með	aþ	með
Atlaskorti	nheþ-s	Atlaskort
sínu	feheþ	sinn
með	ao	með
slagorðið	nheog	slagorð
:	:	:
«	«	«
Farðu	sbg2en	fara
alla	foveo	allur
leið	nveo	leið
»	»	»
.	.	.

Maður	nken	maður
fær	sfg3en	fá
það	fpheo	það
hálfpartinn	nkeog	hálfpartur
á	ao	á
tilfinninguna	nveog	tilfinning
að	c	að
skilaboðin	nhfng	skilaboð
séu	svg3fn	vera
að	c	að
ungt	lhensf	ungur
fólk	nhen	fólk
eigi	svg3en	eiga
að	cn	að
nýta	sng	nýta
úttektarheimildina	nveog	úttektarheimild
til	ae	til
fulls	lheesf	fullur
og	c	og
«	«	«
fara	sng	fara
alla	foveo	allur
leið	nveo	leið
»	»	»
.	.	.

Kortafyrirtækin	nhfng	kortafyrirtæki
gerast	sfm3fn	gera
einnig	aa	einnig
svo	aa	svo
kræf	lhfnsf	kræfur
að	cn	að
ganga	sng	ganga
í	ao	í
framhaldsskóla	nkfo	framhaldsskóli
með	ao	með
ýmis	fohfo	ýmis
tilboð	nhfo	tilboð
ef	c	ef
framhaldsskólanemar	nkfn	framhaldsskólanemi
gerast	sfm3fn	gera
áskrifendur	nkfn	áskrifandi
.	.	.

Þau	fphfn	það
bjóða	sfg3fn	bjóða
ferðaávísanir	nvfo	ferðaávísun
sem	ct	sem
hvetja	sfg3fn	hvetja
ungt	lheosf	ungur
fólk	nheo	fólk
til	ae	til
að	cn	að
fara	sng	fara
utan	aa	utan
og	c	og
leika	sng	leika
lausum	lkeþsf	laus
hala	nkeþ	hali
með	ao	með
kortið	nheog	kort
.	.	.

Þau	fphfn	það
fá	sfg3fn	fá
ungt	lheosf	ungur
fólk	nheo	fólk
til	ae	til
að	cn	að
líta	sng	líta
ekki	aa	ekki
á	ao	á
úttektarheimild	nveo	úttektarheimild
sem	ct	sem
skuld	nveo	skuld
við	ao	við
kortafyrirtækin	nhfog	kortafyrirtæki
heldur	c	heldur
fundið	lheosf	fundinn
fé	nheo	fé
.	.	.

Því	aa	því
hefur	sfg3en	hafa
opnast	ssm	opna
nýr	lkensf	nýr
neysluheimur	nken	neysluheimur
og	c	og
sér	sfg3en	sjá
það	fphen	það
ýmsar	fovfo	ýmis
lífsins	nheeg	líf
lystisemdir	nvfo	lystisemd
í	aþ	í
hyllingum	nvfþ	hylling
.	.	.

Mörgum	lkfþsf	margur
kann	sfg3en	kunna
að	cn	að
þykja	sng	þykja
undarlegt	lhensf	undarlegur
að	c	að
kortafyrirtækin	nhfng	kortafyrirtæki
vilji	svg3fn	vilja
að	c	að
ungt	lhensf	ungur
fólk	nhen	fólk
steypi	svg3en	steypa
sér	fpheþ	sig
í	ao	í
skuldir	nvfo	skuld
við	ao	við
þau	fphfo	það
vegna	ae	vegna
þess	fphee	það
að	c	að
það	fphen	það
getur	sfg3en	geta
trauðla	aa	trauðla
borgað	ssg	borga
skuldir	nvfo	skuld
sínar	fevfo	sinn
.	.	.

Það	fahen	sá
sem	ct	sem
hins	fakee	hinn
vegar	nkee	vegur
gleymist	sfm3en	gleyma
oft	aa	oft
að	cn	að
taka	sng	taka
með	aa	með
í	ao	í
reikninginn	nkeog	reikningur
er	sfg3en	vera
að	c	að
til	ae	til
að	cn	að
fá	sng	fá
kreditkort	nheo	kreditkort
þarf	sfg3en	þurfa
að	cn	að
vera	sng	vera
þinglýstur	lkensf	þinglýstur
fasteignareigandi	nken	fasteignareigandi
.	.	.

Ungt	lhensf	ungur
fólk	nhen	fólk
fær	sfg3en	fá
því	aa	því
foreldra	nkfo	foreldrar
sína	fekfo	sinn
til	ae	til
að	cn	að
skrifa	sng	skrifa
undir	ao	undir
tryggingarvíxil	nkeo	tryggingarvíxill
og	c	og
eru	sfg3fn	vera
þá	aa	þá
kortafyrirtækin	nhfng	kortafyrirtæki
komin	sþghfn	koma
með	ao	með
trausta	lkfosf	traustur
greiðendur	nkfo	greiðandi
.	.	.

Teljast	snm	telja
verður	sfg3en	verða
að	c	að
ungt	lhensf	ungur
fólk	nhen	fólk
sé	svg3en	vera
því	aa	því
ekki	aa	ekki
nógu	lheþsf	nógur
traustur	lkensf	traustur
viðskiptavinur	nken	viðskiptavinur
,	,	,
en	c	en
góður	lkensf	góður
þó	aa	þó
.	.	.

Önnur	foven	annar
minnisstæð	lvensf	minnisstæður
auglýsing	nven	auglýsing
er	sfg3en	vera
bjórauglýsing	nven	bjórauglýsing
Egils	nkee-s	Egill
,	,	,
þar	aa	þar
sem	c	sem
auglýstur	sþgken	auglýsa
var	sfg3eþ	vera
Egils-sterkur	lkensf	Egils-sterkur
.	.	.

Þar	aa	þar
sem	ct	sem
bannað	sþghen	banna
er	sfg3en	vera
að	cn	að
auglýsa	sng	auglýsa
hvers	fohee	hver
kyns	nhee	kyn
áfengi	nheo	áfengi
á	aþ	á
Íslandi	nheþ-s	Ísland
gerðu	sfg3fþ	gera
yfirvöld	nhfn	yfirvald
athugasemd	nveo	athugasemd
við	ao	við
auglýsinguna	nveog	auglýsing
.	.	.

Í	aþ	í
henni	fpveþ	hún
var	sfg3eþ	vera
lítið	lhensf	lítill
lagt	sþghen	leggja
upp	aa	upp
úr	aþ	úr
bragðgæðum	nhfþ	bragðgæði
og	c	og
frískleika	nkeþ	frískleiki
heldur	c	heldur
var	sfg3eþ	vera
aðalatriðið	nheng	aðalatriði
styrkleiki	nken	styrkleiki
hans	fpkee	hann
,	,	,
6,2%	tp	6,2%
.	.	.

Hvað	fshen	hver
sem	ct	sem
því	fpheþ	það
líður	sfg3en	líða
báru	sfg3fþ	bera
auglýsingarnar	nvfng	auglýsing
þess	fphee	það
greinileg	lhfosf	greinilegur
merki	nhfo	merki
að	c	að
spjótunum	nhfþg	spjót
var	sfg3eþ	vera
beint	sþghen	beina
að	aþ	að
ungu	lheþsf	ungur
fólki	nheþ	fólk
;	;	;
að	c	að
það	fphen	það
þyrfti	svg3eþ	þurfa
færri	lkfovm	fár
bjóra	nkfo	bjór
til	ae	til
að	cn	að
verða	sng	verða
drukkið	lhensf	drukkinn
.	.	.

Símafyrirtækin	nhfng	símafyrirtæki
hafa	sfg3fn	hafa
einnig	aa	einnig
verið	ssg	vera
sökuð	sþghfn	saka
um	ao	um
að	cn	að
ginna	sng	ginna
ungt	lheosf	ungur
fólk	nheo	fólk
með	aþ	með
auglýsingum	nvfþ	auglýsing
sínum	fevfþ	sinn
.	.	.

Fyrirframgreidd	lhfnsf	fyrirframgreiddur
símkort	nhfn	símkort
eru	sfg3fn	vera
sérstaklega	aa	sérstaklega
hugsuð	sþghfn	hugsa
til	ae	til
að	cn	að
koma	sng	koma
ungu	lheþsf	ungur
fólki	nheþ	fólk
á	ao	á
bragðið	nheog	bragð
áður	aa	áður
en	c	en
það	fphen	það
verður	sfg3en	verða
fjárráða	lhenof	fjárráða
.	.	.

Einnig	aa	einnig
er	sfg3en	vera
hægt	lhensf	hægur
að	cn	að
fá	sng	fá
«	«	«
gefins	lkeoof	gefins
»	»	»
síma	nkeo	sími
gegn	aþ	gegn
því	fpheþ	það
að	cn	að
gerast	snm	gera
áskrifandi	nken	áskrifandi
að	aþ	að
símþjónustu	nveþ	símþjónusta
í	ao	í
eitt	tfheo	einn
ár	nheo	ár
.	.	.

Mánaðarlegur	lkensf	mánaðarlegur
símreikningur	nken	símreikningur
er	sfg3en	vera
færður	sþgken	færa
inn	aa	inn
á	ao	á
kreditkortareikning	nkeo	kreditkortareikningur
og	c	og
hafa	sfg3fn	hafa
margir	lkfnsf	margur
foreldrar	nkfn	foreldrar
,	,	,
er	ct	er
gengist	ssm	ganga
hafa	sfg3fn	hafa
í	ao	í
ábyrgð	nveo	ábyrgð
fyrir	ao	fyrir
börn	nhfo	barn
sín	fehfo	sinn
,	,	,
fengið	ssg	fá
að	cn	að
kynnast	snm	kynna
neyslugleði	nveþ	neyslugleði
þeirra	fphfe	það
.	.	.

Klókindi	nhfn	klókindi
símfyrirtækjanna	nhfeg	símfyrirtæki
eru	sfg3fn	vera
svo	aa	svo
mikil	lhfnsf	mikill
að	c	að
beinlínis	aa	beinlínis
allt	fohen	allur
ungt	lhensf	ungur
fólk	nhen	fólk
á	sfg3en	eiga
farsíma	nkeo	farsími
.	.	.

Hér	aa	hér
hafa	sfg3fn	hafa
verið	ssg	vera
tekin	sþghfn	taka
nokkur	fohfn	nokkur
dæmi	nhfn	dæmi
um	ao	um
auglýsingar	nvfo	auglýsing
sem	ct	sem
beinast	sfm3fn	beina
fyrst	aae	fyrr
og	c	og
fremst	aae	fremur
að	aþ	að
ungu	lheþsf	ungur
fólki	nheþ	fólk
.	.	.

Teljast	snm	telja
verður	sfg3en	verða
að	c	að
ungt	lhensf	ungur
fólk	nhen	fólk
nú	aa	nú
til	ae	til
dag	x	dagur
sé	svg3en	vera
nokkuð	fohen	nokkur
auðveld	lvensf	auðveldur
bráð	nven	bráð
auglýsenda	nkfe	auglýsandi
miðað	sþghen	miða
við	ao	við
árangur	nkeo	árangur
þeirra	fpkfe	hann
.	.	.

Spurn	nven	spurn
ungs	lheesf	ungur
fólks	nhee	fólk
eftir	aþ	eftir
gæðum	nhfþ	gæði
hefur	sfg3en	hafa
aukist	ssm	auka
jafnt	aa	jafnt
og	c	og
þétt	aa	þétt
síðustu	lhfove	síðari
árin	nhfog	ár
og	c	og
í	aþ	í
tímanna	nkfeg	tími
rás	nveþ	rás
hefur	sfg3en	hafa
neyslumunstrið	nheng	neyslumunstur
tekið	ssg	taka
stakkaskiptum	nhfþ	stakkaskipti
.	.	.

Það	fphen	það
gerir	sfg3en	gera
miklar	lvfosf	mikill
kröfur	nvfo	krafa
um	ao	um
hvers	fohee	hver
kyns	nhee	kyn
gæði	nhfo	gæði
og	c	og
hafa	sfg3fn	hafa
auglýsendur	nkfn	auglýsandi
bersýnilega	aa	bersýnilega
fært	ssg	færa
sér	fpkfþ	sig
það	fpheo	það
í	ao	í
nyt	nveo	nyt
.	.	.

Verslóritgerðir	nvfn-s	Verslóritgerðir
2003	ta	2003
,	,	,
stelpur	nvfn	stelpa

Lífsgleði	nvee	lífsgleði
njóttu	sbg2en	njóta

Lífsgleði	nven	lífsgleði
skiptir	sfg3en	skipta
miklu	lheþsf	mikill
máli	nheþ	mál
þegar	c	þegar
fólk	nhen	fólk
vill	sfg3en	vilja
vera	sng	vera
hamingjusamt	lhensf	hamingjusamur
.	.	.

Það	fphen	það
getur	sfg3en	geta
ekki	aa	ekki
verið	ssg	vera
skemmtilegt	lhensf	skemmtilegur
að	cn	að
lifa	sng	lifa
lífinu	nheþg	líf
þegar	c	þegar
maður	nken	maður
er	sfg3en	vera
sífellt	aa	sífellt
óánægður	lkensf	óánægður
og	c	og
fúll	lkensf	fúll
og	c	og
maður	nken	maður
fær	sfg3en	fá
miklu	lheþsf	mikill
meira	lheovm	mikill
út	aa	út
úr	aþ	úr
lífinu	nheþg	líf
þegar	c	þegar
maður	nken	maður
er	sfg3en	vera
glaður	lkensf	glaður
og	c	og
hamingjusamur	lkensf	hamingjusamur
.	.	.

Hver	foken	hver
einstaklingur	nken	einstaklingur
skapar	sfg3en	skapa
örlög	nhfo	örlög
sín	fehfo	sinn
og	c	og
lífsviðhorf	nhen	lífsviðhorf
manna	nkfe	maður
skiptir	sfg3en	skipta
miklu	lheþsf	mikill
máli	nheþ	mál
þegar	c	þegar
takast	snm	taka
þarf	sfg3en	þurfa
á	aa	á
við	ao	við
hlutina	nkfog	hlutur
.	.	.

En	c	en
í	aþ	í
hverju	fsheþ	hver
er	sfg3en	vera
lífsgleði	nven	lífsgleði
fólgin	sþgven	fela
og	c	og
geta	sfg3fn	geta
í	aþ	í
raun	nveþ	raun
allir	fokfn	allur
notið	ssg	njóta
hennar	fpvee	hún
?	?	?

Í	ao	í
dag	nkeo	dagur
ríkir	sfg3en	ríkja
mikil	lvensf	mikill
ólga	nven	ólga
í	aþ	í
heiminum	nkeþg	heimur
og	c	og
stríðið	nheng	stríð
í	aþ	í
Írak	nheþ-s	Írak
hefur	sfg3en	hafa
verið	ssg	vera
mjög	aa	mjög
áberandi	lhenof	áberandi
.	.	.

Margir	lkfnsf	margur
hafa	sfg3fn	hafa
misst	ssg	missa
fjölskyldur	nvfo	fjölskylda
sínar	fevfo	sinn
og	c	og
heimili	nhfo	heimili
í	aþ	í
stríðinu	nheþg	stríð
en	c	en
þrátt	aa	þrátt
fyrir	ao	fyrir
það	fpheo	það
mátti	sfg3eþ	mega
sjá	sng	sjá
gleði	nveo	gleði
í	aþ	í
andliti	nheþ	andlit
fólks	nhee	fólk
þegar	c	þegar
Bandaríkjamenn	nkfn-s	Bandaríkjamaður
náðu	sfg3fþ	ná
að	cn	að
koma	sng	koma
Saddam	e	Saddam
Hussein	e	Hussein
frá	aþ	frá
völdum	nhfþ	vald
.	.	.

Írakska	lvenvf	írakskur
þjóðin	nveng	þjóð
hefur	sfg3en	hafa
ennþá	aa	ennþá
eitthvað	foheo	einhver
til	ae	til
að	cn	að
gleðjast	snm	gleðja
yfir	aa	yfir
þrátt	aa	þrátt
fyrir	ao	fyrir
allar	fovfo	allur
hörmungarnar	nvfog	hörmung
sem	ct	sem
hafa	sfg3fn	hafa
dunið	ssg	dynja
á	aþ	á
henni	fpveþ	hún
og	c	og
núna	aa	núna
getur	sfg3en	geta
fólkið	nheng	fólk
verið	ssg	vera
ánægt	lhensf	ánægður
yfir	aþ	yfir
lífinu	nheþg	líf
.	.	.

Það	fphen	það
hefur	sfg3en	hafa
í	ao	í
dag	nkeo	dagur
enn	aa	enn
meiri	lkfovm	mikill
möguleika	nkfo	möguleiki
á	aþ	á
að	cn	að
njóta	sng	njóta
lífsgleði	nvee	lífsgleði
og	c	og
lifa	sng	lifa
lífinu	nheþg	líf
til	ae	til
fulls	lheesf	fullur
.	.	.

Allir	fokfn	allur
vilja	sfg3fn	vilja
vera	sng	vera
hamingjusamir	lkfnsf	hamingjusamur
og	c	og
raun	nveþ	raun
er	sfg3en	vera
það	fphen	það
undir	aþ	undir
einstaklingunum	nkfþg	einstaklingur
komið	sþghen	koma
hvort	c	hvort
þeir	fpkfn	hann
séu	svg3fn	vera
það	fphen	það
.	.	.

Það	fphen	það
er	sfg3en	vera
hægt	lhensf	hægur
að	cn	að
svekkja	sng	svekkja
sig	fpkeo	sig
yfir	aþ	yfir
ótrúlegustu	lkfþve	ótrúlegur
hlutum	nkfþ	hlutur
og	c	og
hugsa	sng	hugsa
um	ao	um
allt	foheo	allur
það	faheo	sá
sem	ct	sem
maður	nken	maður
á	sfg3en	eiga
ekki	aa	ekki
og	c	og
um	ao	um
öll	fohfo	allur
mistökin	nhfog	mistök
og	c	og
erfiðleikana	nkfog	erfiðleiki
sem	ct	sem
maður	nken	maður
hefði	svg3eþ	hafa
getað	ssg	geta
komist	ssm	koma
hjá	aa	hjá
en	c	en
það	fphen	það
gerir	sfg3en	gera
manni	nkeþ	maður
ekkert	foheo	enginn
gott	lheosf	góður
.	.	.

Um	ao	um
leið	nveo	leið
og	c	og
maður	nken	maður
er	sfg3en	vera
ánægður	lkensf	ánægður
með	ao	með
það	faheo	sá
sem	ct	sem
maður	nken	maður
hefur	sfg3en	hafa
og	c	og
sættir	sfg3en	sætta
sig	fpkeo	sig
við	ao	við
lífið	nheog	líf
þá	aa	þá
verður	sfg3en	verða
maður	nken	maður
hamingjusamur	lkensf	hamingjusamur
.	.	.

Það	fphen	það
er	sfg3en	vera
mikilvægt	lhensf	mikilvægur
að	cn	að
gera	sng	gera
sér	fpkeþ	sig
grein	nveo	grein
fyrir	aþ	fyrir
því	fpheþ	það
að	c	að
grasið	nheng	gras
er	sfg3en	vera
ekki	aa	ekki
alltaf	aa	alltaf
grænna	lhenvm	grænn
hinu	faheþ	hinn
megin	aa	megin
þó	aa	þó
það	fphen	það
virðist	svm3en	virða
vera	sng	vera
það	fphen	það
.	.	.

Það	fphen	það
er	sfg3en	vera
engin	foven	enginn
spurning	nven	spurning
að	c	að
ánægður	lkensf	ánægður
og	c	og
hamingjusamur	lkensf	hamingjusamur
maður	nken	maður
fær	sfg3en	fá
meira	lheovm	mikill
út	aa	út
úr	aþ	úr
lífinu	nheþg	líf
en	c	en
sá	faken	sá
sem	ct	sem
er	sfg3en	vera
óhamingjusamur	lkensf	óhamingjusamur
.	.	.

Hann	fpken	hann
er	sfg3en	vera
líklegri	lkenvm	líklegur
til	ae	til
að	cn	að
líta	sng	líta
björtum	lhfþsf	bjartur
augum	nhfþ	auga
á	ao	á
framtíðina	nveog	framtíð
og	c	og
sjá	sng	sjá
það	faheo	sá
jákvæða	lheovf	jákvæður
þegar	c	þegar
allt	fohen	allur
virðist	sfm3en	virða
ómögulegt	lhensf	ómögulegur
.	.	.

Lífsviðhorf	nhen	lífsviðhorf
fólks	nhee	fólk
skiptir	sfg3en	skipta
því	aa	því
miklu	lheþsf	mikill
máli	nheþ	mál
þegar	c	þegar
takast	snm	taka
þarf	sfg3en	þurfa
á	aa	á
við	ao	við
hlutina	nkfog	hlutur
.	.	.

Fólk	nhen	fólk
getur	sfg3en	geta
ákveðið	ssg	ákveða
hvort	c	hvort
það	fphen	það
læri	svg3en	læra
af	aþ	af
mistökunum	nhfþg	mistök
eða	c	eða
hvort	c	hvort
þau	fphfn	það
brjóti	svg3fn	brjóta
það	fpheo	það
niður	aa	niður
.	.	.

Ef	c	ef
við	fp1fn	ég
gerum	sfg1fn	gera
mistök	nhfo	mistök
þá	aa	þá
er	sfg3en	vera
það	fphen	það
allt	fohen	allur
í	aþ	í
lagi	nheþ	lag
því	fpheþ	það
við	fp1fn	ég
erum	sfg1fn	vera
bara	aa	bara
mannleg	lhfnsf	mannlegur
.	.	.

Það	fphen	það
er	sfg3en	vera
mikilvægt	lhensf	mikilvægur
að	cn	að
muna	sng	muna
að	c	að
lífið	nheng	líf
heldur	sfg3en	halda
áfram	aa	áfram
þrátt	aa	þrátt
fyrir	ao	fyrir
erfiðleika	nkfo	erfiðleiki
og	c	og
sorgarstundir	nvfo	sorgarstund
og	c	og
það	fphen	það
stoðar	sfg3en	stoða
lítið	aa	lítið
að	cn	að
brjóta	sng	brjóta
sjálfan	fbkeo	sjálfur
sig	fpkeo	sig
niður	aa	niður
.	.	.

Lífsglöðu	lheþsf	lífsglaður
fólki	nheþ	fólk
gengur	sfg3en	ganga
oftast	aae	oft
vel	aa	vel
í	aþ	í
lífinu	nheþg	líf
,	,	,
það	fphen	það
er	sfg3en	vera
jákvætt	lhensf	jákvæður
og	c	og
tekur	sfg3en	taka
hlutunum	nkfþg	hlutur
eins	aa	eins
og	c	og
þeir	fpkfn	hann
gerast	sfm3fn	gera
.	.	.

Maður	nken	maður
finnur	sfg3en	finna
vel	aa	vel
að	c	að
þegar	c	þegar
maður	nken	maður
er	sfg3en	vera
léttur	lkensf	léttur
í	aþ	í
