slíkan	fbkeo	slíkur
og	c	og
augu	nhfn	auga
þín	fehfn	þinn
geisluðu	sfg3fþ	geisla
af	aþ	af
góðvild	nveþ	góðvild
og	c	og
fegurð	nveþ	fegurð
.	.	.
Já	au	já
þar	aa	þar
með	aa	með
hófst	sfm3eþ	hefja
ævilöng	lvensf	ævilangur
vinátta	nven	vinátta
okkar	fp1fe	ég
,	,	,
sem	ct	sem
ég	fp1en	ég
mun	sfg1en	munu
alla	foveo	allur
tíð	nveo	tíð
þakka	sng	þakka
guði	nkeþ	guð
fyrir	aa	fyrir
.	.	.
Minningarnar	nvfng	minning
eru	sfg3fn	vera
svo	aa	svo
óteljandi	aa	óteljandi
margar	lvfnsf	margur
sem	ct	sem
ég	fp1en	ég
mun	sfg1en	munu
alla	foveo	allur
tíð	nveo	tíð
varðveita	sng	varðveita
í	aþ	í
hjarta	nheþ	hjarta
mínu	feheþ	minn
.	.	.
Ég	fp1en	ég
man	sfg1en	muna
svo	aa	svo
vel	aa	vel
þegar	c	þegar
þú	fp2en	þú
hittir	sfg2eþ	hitta
Palla	nkeo-s	Palli
þinn	fekeo	þinn
fyrst	aae	fyrr
.	.	.
Við	fp1fn	ég
sátum	sfg1fþ	sitja
á	aþ	á
tröppunum	nvfþg	trappa
á	aþ	á
Laugateigi	nkeþ-s	Laugateigur
,	,	,
og	c	og
þú	fp2en	þú
sagðir	sfg2eþ	segja
mér	fp1eþ	ég
að	c	að
þú	fp2en	þú
værir	svg2eþ	vera
örugglega	aa	örugglega
ástfangin	lvensf	ástfanginn
í	ao	í
fyrsta	lheove	fyrstur
sinn	nheo	sinn
,	,	,
og	c	og
fljótlega	aa	fljótlega
fékk	sfg1eþ	fá
ég	fp1en	ég
að	cn	að
kynnast	snm	kynna
honum	fpkeþ	hann
.	.	.
Það	fphen	það
tók	sfg3eþ	taka
mig	fp1eo	ég
ekki	aa	ekki
langan	lkeosf	langur
tíma	nkeo	tími
að	cn	að
finna	sng	finna
að	c	að
þið	fp2fn	þú
tvö	tfhfn	tveir
gátuð	sfg2fþ	geta
bundið	ssg	binda
böndin	nhfog	band
fast	aa	fast
saman	aa	saman
,	,	,
enda	c	enda
gerðuð	sfg2fþ	gera
þið	fp2fn	þú
það	fpheo	það
fljótlega	aa	fljótlega
.	.	.
Og	c	og
í	aa	í
gegnum	ao	gegnum
ævibrautina	nveog	ævibraut
ykkar	fp2fe	þú
hefði	svg3eþ	hafa
ekkert	fohen	enginn
getað	ssg	geta
slitið	ssg	slíta
þessi	fahfo	þessi
bönd	nhfo	band
.	.	.
Þið	fp2fn	þú
voruð	sfg2fþ	vera
alltaf	aa	alltaf
eins	aa	eins
og	c	og
eitt	tfhen	einn
,	,	,
hvort	c	hvort
sem	c	sem
það	fphen	það
var	sfg3eþ	vera
í	aþ	í
foreldrahlutverkinu	nheþg	foreldrahlutverk
eða	c	eða
öðru	foheþ	annar
,	,	,
og	c	og
það	fphen	það
var	sfg3eþ	vera
svo	aa	svo
gott	lhensf	góður
að	cn	að
vera	sng	vera
í	aþ	í
ykkar	fp2fe	þú
návist	nveþ	návist
.	.	.
Það	fphen	það
var	sfg3eþ	vera
mikið	lhensf	mikill
reiðarslag	nhen	reiðarslag
þegar	c	þegar
ég	fp1en	ég
frétti	sfg1eþ	frétta
af	aþ	af
sjúkdómi	nkeþ	sjúkdómur
þínum	fekeþ	þinn
,	,	,
ég	fp1en	ég
var	sfg1eþ	vera
þá	aa	þá
að	cn	að
flytja	sng	flytja
heim	aa	heim
eftir	ao	eftir
langa	lveosf	langur
fjarveru	nveo	fjarvera
,	,	,
og	c	og
er	sfg1en	vera
ég	fp1en	ég
þakklát	lvensf	þakklátur
fyrir	ao	fyrir
það	fpheo	það
að	c	að
ég	fp1en	ég
gat	sfg1eþ	geta
hitt	ssg	hitta
þig	fp2eo	þú
oft	aa	oft
,	,	,
og	c	og
kynnst	ssm	kynna
hetjulegri	lveþsf	hetjulegur
baráttu	nveþ	barátta
þinni	feveþ	þinn
við	ao	við
þennan	fakeo	þessi
sjúkdóm	nkeo	sjúkdómur
sem	ct	sem
við	fp1fn	ég
óttumst	sfm1fn	óttast
öll	fohfn	allur
.	.	.
Það	fphen	það
var	sfg3eþ	vera
svo	aa	svo
sárt	lhensf	sár
að	cn	að
kveðja	sng	kveðja
þig	fp2eo	þú
núna	aa	núna
þegar	c	þegar
ég	fp1en	ég
fór	sfg1eþ	fara
,	,	,
því	fpheþ	það
þá	aa	þá
vissi	sfg1eþ	vita
ég	fp1en	ég
að	c	að
þú	fp2en	þú
yrðir	svg2eþ	verða
farin	sþgven	fara
þegar	c	þegar
ég	fp1en	ég
kæmi	svg1eþ	koma
aftur	aa	aftur
heim	aa	heim
en	c	en
ég	fp1en	ég
veit	sfg1en	vita
að	c	að
við	fp1fn	ég
munum	sfg1fn	munu
hittast	snm	hitta
aftur	aa	aftur
þegar	c	þegar
þar	aa	þar
að	aa	að
kemur	sfg3en	koma
.	.	.
Þú	fp2en	þú
varst	sfg2eþ	vera
sérstök	lvensf	sérstakur
og	c	og
ógleymanleg	lvensf	ógleymanlegur
persóna	nven	persóna
,	,	,
sem	ct	sem
öllum	fokfþ	allur
þótti	sfg3eþ	þykja
vænt	lhensf	vænn
um	aa	um
sem	c	sem
kynntust	sfm3fþ	kynna
.	.	.
Og	c	og
ekki	aa	ekki
síst	aae	síður
fjölskyldu	nveþ	fjölskylda
minni	feveþ	minn
.	.	.
Ég	fp1en	ég
mun	sfg1en	munu
aldrei	aa	aldrei
gleyma	sng	gleyma
þér	fp2eþ	þú
elsku	nvee	elska
vinkona	nven	vinkona
mín	feven	minn
.	.	.
Elsku	nvee	elska
Palli	nken-s	Palli
minn	feken	minn
.	.	.
Guð	nken-s	Guð
styrki	svg3en	styrkja
þig	fp2eo	þú
og	c	og
fjölskyldu	nveo	fjölskylda
þína	feveo	þinn
á	aþ	á
þessari	faveþ	þessi
sorgarstundu	nveþ	sorgarstund
.	.	.
Kveðja	nven	kveðja
,	,	,
Gerður	nven-s	Gerður
Ólafsdóttir	nven-s	Ólafsdóttir
og	c	og
fjölskylda	nven	fjölskylda
.	.	.
Elín	nven-s	Elín
Torfadóttir	nven-s	Torfadóttir
María	nven-s	María
Indriðadóttir	nven-s	Indriðadóttir
fæddist	sfm3eþ	fæða
á	aþ	á
Birningsstöðum	nkfþ-s	Birningsstaðir
í	aþ	í
Ljósavatnsskarði	nheþ-s	Ljósavatnsskarð
23.	ta	23.
mars	nkeo	mars
1922	ta	1922
.	.	.
Hún	fpven	hún
lést	sfm3eþ	láta
á	aþ	á
Fjórðungssjúkrahúsinu	nheþgs	fjórðungssjúkrahús
á	aþ	á
Akureyri	nveþ-s	Akureyri
12.	ta	12.
nóvember	nkeo	nóvember
sl.	as	sl.
Útför	nven	útför
Maríu	nvee-s	María
fór	sfg3eþ	fara
fram	aa	fram
frá	aþ	frá
Ljósavatnskirkju	nveþ-s	Ljósavatnskirkja
fimmtudaginn	nkeog	fimmtudagur
23.	ta	23.
nóvember	nkeo	nóvember
.	.	.
Eftir	ao	eftir
að	c	að
amma	nven	amma
dó	sfg3eþ	deyja
fyrir	aþ	fyrir
tæpum	lhfþsf	tæpur
þremur	tfhfþ	þrír
árum	nhfþ	ár
hefur	sfg3en	hafa
hugurinn	nkeng	hugur
æ	aa	æ
oftar	aam	oft
reikað	ssg	reika
til	ae	til
þessa	fakee	þessi
dags	nkee	dagur
er	c	er
ég	fp1en	ég
þyrfti	svg1eþ	þurfa
að	cn	að
kveðja	sng	kveðja
Mæju	nveo-s	Mæja
í	aþ	í
Borgartúni	nheþ-s	Borgartún
í	ao	í
hinsta	lheove	hinstur
sinn	nheo	sinn
.	.	.
Amma	nven	amma
dó	sfg3eþ	deyja
eftir	ao	eftir
löng	lhfosf	langur
og	c	og
ströng	lhfosf	strangur
veikindi	nhfo	veikindi
þegar	c	þegar
ég	fp1en	ég
var	sfg1eþ	vera
stödd	lvensf	staddur
úti	aa	úti
í	aþ	í
Kólombíu	nveþ-s	Kólombía
sem	c	sem
skiptiliði	nken	skiptiliði
.	.	.
Að	aþ	að
sjálfsögðu	lheþsf	sjálfsagður
var	sfg3eþ	vera
sorgin	nveng	sorg
stór	lvensf	stór
en	c	en
svona	aa	svona
fjarri	aþ	fjarri
heimahögum	nkfþ	heimahagi
var	sfg3eþ	vera
eins	aa	eins
og	c	og
maður	nken	maður
liði	svg3eþ	líða
áfram	aa	áfram
í	aþ	í
hálfgerðri	lveþsf	hálfgerður
móðu	nveþ	móða
og	c	og
viðskilnaðurinn	nkeng	viðskilnaður
varð	sfg3eþ	verða
einhvern	fokeo	einhver
veginn	nkeog	vegur
léttbærari	lkenvm	léttbær
.	.	.
Erfiðast	lhense	erfiður
var	sfg3eþ	vera
þó	aa	þó
að	cn	að
koma	sng	koma
aftur	aa	aftur
heim	aa	heim
þar	aa	þar
sem	c	sem
amma	nven	amma
var	sfg3eþ	vera
ekki	aa	ekki
lengur	aam	lengi
til	ae	til
staðar	nkee	staður
en	c	en
eitt	foheo	einn
vissi	sfg3eþ	vita
maður	nken	maður
og	c	og
það	fphen	það
var	sfg3eþ	vera
að	c	að
Mæja	nven-s	Mæja
væri	svg3eþ	vera
hvergi	aa	hvergi
farin	sþgven	fara
og	c	og
ef	c	ef
einhver	foken	einhver
gæti	svg3eþ	geta
komið	ssg	koma
í	ao	í
ömmu	nvee	amma
stað	nkeo	staður
þá	aa	þá
væri	svg3eþ	vera
það	fphen	það
hún	fpven	hún
.	.	.
Í	aþ	í
minni	feveþ	minn
tilveru	nveþ	tilvera
hafa	sfg3fn	hafa
Nóri	nken-s	Nóri
og	c	og
Mæja	nven-s	Mæja
alltaf	aa	alltaf
verið	ssg	vera
einn	tfken	einn
af	aþ	af
föstu	lkfþve	fastur
punktunum	nkfþg	punktur
.	.	.
Þangað	aa	þangað
var	sfg3eþ	vera
alltaf	aa	alltaf
hægt	lhensf	hægur
að	cn	að
leita	sng	leita
í	aþ	í
hinu	gheþ	hinn
daglega	lheþvf	daglegur
amstri	nheþ	amstur
þegar	c	þegar
allir	fokfn	allur
voru	sfg3fþ	vera
svo	aa	svo
tímabundnir	lkfnsf	tímabundinn
að	c	að
í	aþ	í
raun	nveþ	raun
gafst	sfm3eþ	gefa
ekki	aa	ekki
tími	nken	tími
til	ae	til
neins	fohee	neinn
.	.	.
Stundum	aa	stundum
á	ao	á
sumrin	nhfog	sumar
þegar	c	þegar
ég	fp1en	ég
kom	sfg1eþ	koma
heim	aa	heim
af	aþ	af
hótelinu	nheþg	hótel
eftir	ao	eftir
langa	lveosf	langur
vakt	nveo	vakt
vildi	sfg3eþ	vilja
kannski	aa	kannski
ekki	aa	ekki
betur	aam	vel
til	aa	til
en	c	en
svo	aa	svo
að	c	að
enginn	foken	enginn
var	sfg3eþ	vera
heima	aa	heima
og	c	og
allar	fovfn	allur
dyr	nvfn	dyr
læstar	lvfnsf	læstur
.	.	.
Þá	aa	þá
var	sfg3eþ	vera
ekki	aa	ekki
um	ao	um
annað	foheo	annar
að	cn	að
ræða	sng	ræða
en	c	en
rölta	sng	rölta
niður	aa	niður
eftir	aa	eftir
í	aþ	í
hóteldressinu	nheþg	hóteldress
og	c	og
leita	sng	leita
á	ao	á
náðir	nvfo	náð
Mæju	nvee-s	Mæja
og	c	og
bíða	sng	bíða
þess	fphee	það
að	c	að
einhverjum	fokeþ	einhver
þóknaðist	sfm3eþ	þóknast
að	cn	að
koma	sng	koma
heim	aa	heim
.	.	.
Í	aþ	í
Borgartúni	nheþ-s	Borgartún
var	sfg3eþ	vera
enginn	foken	enginn
að	cn	að
flýta	sng	flýta
sér	fpkeþ	sig
.	.	.
Það	fahen	sá
fyrsta	lhenve	fyrstur
sem	ct	sem
birtist	sfm3eþ	birta
þegar	c	þegar
maður	nken	maður
beygði	sfg3eþ	beygja
fyrir	ao	fyrir
húshornið	nheog	húshorn
var	sfg3eþ	vera
Mæja	nven-s	Mæja
sem	ct	sem
veifaði	sfg3eþ	veifa
góðlátlega	aa	góðlátlega
úr	aþ	úr
eldhúsglugganum	nkeþg	eldhúsgluggi
og	c	og
með	aþ	með
einhverjum	fokeþ	einhver
undraverðum	lkeþsf	undraverður
hætti	nkeþ	háttur
var	sfg3eþ	vera
hún	fpven	hún
búin	lvensf	búinn
að	cn	að
setja	sng	setja
að	aþ	að
minnsta	lkeþve	lítill
kosti	nkeþ	kostur
fimm	tfvfo	fimm
sortir	nvfo	sort
á	ao	á
borðið	nheog	borð
þegar	c	þegar
maður	nken	maður
kom	sfg3eþ	koma
inn	aa	inn
og	c	og
átti	sfg3eþ	eiga
enn	aa	enn
eftir	aa	eftir
að	cn	að
bæta	sng	bæta
á	aa	á
.	.	.
Þær	fpvfn	hún
voru	sfg3fþ	vera
ófáar	lvfnsf	ófár
sögurnar	nvfng	saga
sem	ct	sem
sagðar	sþgvfn	segja
voru	sfg3fþ	vera
yfir	aþ	yfir
eldhúsborðinu	nheþg	eldhúsborð
í	aþ	í
Borgartúni	nheþ-s	Borgartún
.	.	.
Ekkert	fohen	enginn
fór	sfg3eþ	fara
framhjá	aþ	framhjá
Mæju	nveþ-s	Mæja
og	c	og
þarna	aa	þarna
voru	sfg3fþ	vera
tíunduð	sþghfn	tíunda
öll	fohfn	allur
böll	nhfn	ball
,	,	,
partí	nhfn	partí
,	,	,
vinkonuvandræði	nhfn	vinkonuvandræði
og	c	og
strákamál	nhfn	strákamál
sem	ct	sem
á	aþ	á
döfinni	nveþg	döf
voru	sfg3fþ	vera
í	ao	í
það	faheo	sá
skiptið	nheog	skipti
,	,	,
langt	aa	langt
umfram	ao	umfram
það	fpheo	það
er	ct	er
t.d.	as	t.d.
foreldrar	nkfn	foreldrar
mínir	fekfn	minn
fréttu	sfg3fþ	frétta
nokkurn	fokeo	nokkur
tíma	nkeo	tími
um	aa	um
.	.	.
En	c	en
Mæja	nven-s	Mæja
vissi	sfg3eþ	vita
upp	aa	upp
á	ao	á
hár	nheo	hár
hvað	fshen	hver
var	sfg3eþ	vera
bara	aa	bara
á	aa	á
milli	ae	milli
okkar	fp1fe	ég
og	c	og
hitt	fahen	hinn
sem	ct	sem
mátti	sfg3eþ	mega
lengra	aam	langt
fara	sng	fara
.	.	.
Það	fphen	það
var	sfg3eþ	vera
gott	lhensf	góður
að	cn	að
tala	sng	tala
við	ao	við
Mæju	nveo-s	Mæja
enda	c	enda
virtist	sfm3eþ	virða
kynslóðabilið	nheng	kynslóðabil
ekki	aa	ekki
skipta	sng	skipta
þar	aa	þar
neinu	foheþ	neinn
máli	nheþ	mál
.	.	.
Mæja	nven-s	Mæja
var	sfg3eþ	vera
hrein	lvensf	hreinn
og	c	og
bein	lvensf	beinn
,	,	,
var	sfg3eþ	vera
svo	aa	svo
sem	aa	sem
ekki	aa	ekki
að	cn	að
hlífa	sng	hlífa
neinum	fokeþ	neinn
en	c	en
dæmdi	sfg3eþ	dæma
engan	fokeo	enginn
svo	aa	svo
að	c	að
allir	fokfn	allur
gengu	sfg3fþ	ganga
jafnt	aa	jafnt
til	ae	til
leiks	nkee	leikur
.	.	.
Ég	fp1en	ég
veit	sfg1en	vita
að	c	að
við	fp1fn	ég
vorum	sfg1fþ	vera
báðar	fovfn	báðir
búnar	lvfnsf	búinn
að	cn	að
hlakka	sng	hlakka
til	aa	til
þegar	c	þegar
ég	fp1en	ég
kæmi	svg1eþ	koma
heim	aa	heim
núna	aa	núna
fyrir	ao	fyrir
jólin	nhfog	jól
í	ao	í
jólafríið	nheog	jólafrí
langa	lheovf	langur
eins	aa	eins
og	c	og
Nóri	nken-s	Nóri
kallaði	sfg3eþ	kalla
það	fpheo	það
,	,	,
en	c	en
ég	fp1en	ég
býst	sfm1en	búa
við	aþ	við
að	c	að
sögurnar	nvfng	saga
verði	svg3fn	verða
að	cn	að
bíða	sng	bíða
um	ao	um
sinn	nheo	sinn
.	.	.
Allt	fohen	allur
tekur	sfg3en	taka
enda	nkeo	endi
og	c	og
þó	aa	þó
að	c	að
við	fp1fn	ég
Mæja	nven-s	Mæja
eigum	svg1fn	eiga
ekki	aa	ekki
lengur	aam	lengi
eftir	aa	eftir
að	cn	að
ræða	sng	ræða
yfir	aþ	yfir
eldhhúsborðinu	nheþg	eldhhúsborð
þá	aa	þá
mun	sfg3en	munu
minningin	nveng	minning
um	ao	um
góða	lkfosf	góður
tíma	nkfo	tími
og	c	og
góða	lveosf	góður
konu	nveo	kona
lifa	sng	lifa
um	ao	um
ókomna	lveosf	ókominn
tíð	nveo	tíð
í	aþ	í
okkur	fp1fþ	ég
sem	ct	sem
eftir	aa	eftir
sitjum	sfg1fn	sitja
.	.	.
Mæja	nven-s	Mæja
mín	feven	minn
,	,	,
ég	fp1en	ég
veit	sfg1en	vita
að	c	að
vel	aa	vel
er	sfg3en	vera
tekið	sþghen	taka
á	aa	á
móti	aþ	móti
þér	fp2eþ	þú
þar	aa	þar
sem	c	sem
þú	fp2en	þú
ert	sfg2en	vera
nú	aa	nú
og	c	og
ég	fp1en	ég
get	sfg1en	geta
séð	ssg	sjá
fyrir	aþ	fyrir
mér	fp1eþ	ég
þar	aa	þar
sem	c	sem
þið	fp2fn	þú
amma	nven	amma
hafði	sfg3eþ	hafa
komið	ssg	koma
ykkur	fp2fþ	þú
fyrir	aa	fyrir
við	ao	við
eitthvert	foheo	einhver
eldhúsborðið	nheog	eldhúsborð
með	ao	með
spilastokkinn	nkeog	spilastokkur
og	c	og
þar	aa	þar
mun	sfg1en	munu
ég	fp1en	ég
finna	sng	finna
ykkur	fp2fo	þú
þegar	c	þegar
þar	aa	þar
að	aa	að
kemur	sfg3en	koma
.	.	.
Elsku	nvee	elska
Nóri	nken-s	Nóri
minn	feken	minn
og	c	og
aðrir	fokfn	annar
aðstandendur	nkfn	aðstandandi
,	,	,
Guð	nken-s	Guð
styrki	svg3en	styrkja
ykkur	fp2fo	þú
á	aþ	á
erfiðum	lkfþsf	erfiður
tímum	nkfþ	tími
og	c	og
um	ao	um
alla	foveo	allur
tíð	nveo	tíð
.	.	.
Anna	nven-s	Anna
María	nven-s	María
(	(	(
Mímí	nven-s	Mímí
)	)	)
.	.	.
Elsku	nvee	elska
amma	nven	amma
mín	feven	minn
.	.	.
Ég	fp1en	ég
veit	sfg1en	vita
eiginlega	aa	eiginlega
ekki	aa	ekki
hvernig	aa	hvernig
ég	fp1en	ég
á	sfg1en	eiga
að	cn	að
byrja	sng	byrja
eða	c	eða
hvernig	aa	hvernig
ég	fp1en	ég
á	sfg1en	eiga
að	cn	að
tjá	sng	tjá
allt	foheo	allur
sem	ct	sem
mig	fp1eo	ég
langar	sfg3en	langa
að	cn	að
segja	sng	segja
.	.	.
Þú	fp2en	þú
varst	sfg2eþ	vera
eiginkona	nven	eiginkona
,	,	,
móðir	nven	móðir
,	,	,
tengdamóðir	nven	tengdamóðir
,	,	,
amma	nven	amma
og	c	og
langamma	nven	langamma
og	c	og
þú	fp2en	þú
hafðir	sfg2eþ	hafa
allt	foheo	allur
sem	ct	sem
þarf	sfg3en	þurfa
til	ae	til
þess	fphee	það
að	cn	að
vera	sng	vera
þetta	fahen	þessi
allt	fohen	allur
í	aa	í
senn	aa	senn
.	.	.
Þú	fp2en	þú
varst	sfg2eþ	vera
góð	lvensf	góður
,	,	,
raunsæ	lvensf	raunsær
,	,	,
pínulítið	aa	pínulítið
þrjósk	lvensf	þrjóskur
og	c	og
ég	fp1en	ég
á	sfg1en	eiga
eftir	aa	eftir
að	cn	að
sakna	sng	sakna
þín	fp2ee	þú
alveg	aa	alveg
afskaplega	aa	afskaplega
mikið	aa	mikið
.	.	.
Ég	fp1en	ég
trúi	sfg1en	trúa
því	fpheþ	það
að	c	að
nú	aa	nú
sért	svg2en	vera
þú	fp2en	þú
komin	sþgven	koma
á	ao	á
góðan	lkeosf	góður
stað	nkeo	staður
þar	aa	þar
sem	c	sem
þú	fp2en	þú
getur	sfg2en	geta
haldið	ssg	halda
áfram	aa	áfram
að	cn	að
fylgjast	snm	fylgja
með	aþ	með
okkur	fp1fþ	ég
vaxa	sng	vaxa
úr	aþ	úr
grasi	nheþ	gras
og	c	og
að	c	að
það	fphen	það
sé	svg3en	vera
kominn	sþgken	koma
friður	nken	friður
yfir	ao	yfir
þig	fp2eo	þú
og	c	og
að	c	að
þér	fp2eþ	þú
líði	svg3en	líða
vel	aa	vel
.	.	.
Megir	svg2en	mega
þú	fp2en	þú
hvíla	sng	hvíla
í	aþ	í
friði	nkeþ	friður
elsku	nvee	elska
amma	nven	amma
mín	feven	minn
.	.	.
Vaki	svg3en	vaka
þú	fp2en	þú
yfir	aþ	yfir
mér	fp1eþ	ég
er	c	er
sef	sfg1en	sofa
ég	fp1en	ég
vært	aa	vært
og	c	og
rótt	aa	rótt
.	.	.
Dreymi	svg3en	dreyma
að	c	að
ég	fp1en	ég
sé	svg1en	vera
með	aþ	með
þér	fp2eþ	þú
í	ao	í
alla	foveo	allur
nótt	nveo	nótt
.	.	.
Þín	feven	þinn
María	nven-s	María
Indriðadóttir	nven-s	Indriðadóttir
.	.	.
Anna	nven-s	Anna
María	nven-s	María
(	(	(
Mímí	nven-s	Mímí
)	)	)
.	.	.
Eyvör	nven-s	Eyvör
Margrét	nven-s	Margrét
Hólmgeirsdóttir	nven-s	Hólmgeirsdóttir
fæddist	sfm3eþ	fæða
í	aþ	í
Reykjavík	nveþ-s	Reykjavík
21.	ta	21.
júní	nkeo	júní
1936	ta	1936
.	.	.
Hún	fpven	hún
lést	sfm3eþ	láta
á	aþ	á
Landspítalanum	nkeþgs	Landspítali
í	aþ	í
Fossvogi	nkeþ-s	Fossvogur
21.	ta	21.
nóvember	nkeo	nóvember
sl.	as	sl.
Foreldrar	nkfn	foreldrar
hennar	fpvee	hún
voru	sfg3fþ	vera
Unnur	nven-s	Unnur
Guðfinna	nven-s	Guðfinna
Jónsdóttir	nven-s	Jónsdóttir
,	,	,
húsfreyja	nven	húsfreyja
,	,	,
f.	as	f.
5.	ta	5.
nóvember	nkeo	nóvember
1910.	ta	1910.
d.	as	d.
27.	ta	27.
janúar	nkeo	janúar
1984	ta	1984
og	c	og
Hólmgeir	nken-s	Hólmgeir
Gunnar	nken-s	Gunnar
Jónsson	nken-s	Jónsson
,	,	,
verslunarmaður	nken	verslunarmaður
,	,	,
f.	as	f.
6.	ta	6.
september	nkeo	september
1910	ta	1910
,	,	,
