maður	nken	maður
var	sfg3eþ	vera
það	fphen	það
í	aþ	í
mars	nkeþ	mars
og	c	og
þá	aa	þá
gat	sfg1eþ	geta
ég	fp1en	ég
fengið	ssg	fá
nýslátrað	lheosf	nýslátraður
lamb	nheo	lamb
,	,	,
en	c	en
þegar	c	þegar
ég	fp1en	ég
kom	sfg1eþ	koma
í	aþ	í
janúar	nkeþ	janúar
sl.	as	sl.
var	sfg3eþ	vera
það	fphen	það
ómögulegt	lhensf	ómögulegur
,	,	,
segir	sfg3en	segja
Flora	e	Flora
sem	ct	sem
veit	sfg3en	vita
hvað	fsheo	hver
hún	fpven	hún
syngur	sfg3en	syngja
,	,	,
og	c	og
segist	sfm3en	segja
í	ao	í
þetta	faheo	þessi
skiptið	nheog	skipti
ætla	sng	ætla
að	cn	að
leika	sng	leika
sér	fpveþ	sig
að	aþ	að
íslenska	lheþvf	íslenskur
nautinu	nheþg	naut
.	.	.

Íslenskt	lhensf	íslenskur
og	c	og
próvensalskt	lhensf	próvensalskur
Og	c	og
hvað	fsheo	hver
ætlarðu	sfg2en	ætla
að	cn	að
kokka	sng	kokka
fyrir	ao	fyrir
okkur	fp1fo	ég
?	?	?

Ég	fp1en	ég
nota	sfg1en	nota
auðvitað	aa	auðvitað
bara	aa	bara
íslensk	lhfosf	íslenskur
hráefni	nhfo	hráefni
,	,	,
og	c	og
geri	sfg1en	gera
þau	fphfo	það
að	aþ	að
mínum	fehfþ	minn
.	.	.

Ég	fp1en	ég
ætla	sfg1en	ætla
að	cn	að
búa	sng	búa
til	aa	til
sjávarréttaforrétt	nkeo	sjávarréttaforréttur
úr	aþ	úr
reyktum	lkeþsf	reyktur
laxi	nkeþ	lax
,	,	,
rækjum	nvfþ	rækja
og	c	og
síld	nveþ	síld
,	,	,
og	c	og
með	aþ	með
því	fpheþ	það
ber	sfg1en	bera
ég	fp1en	ég
fram	aa	fram
ansjósusósu	nveo	ansjósusósa
sem	ct	sem
er	sfg3en	vera
dæmigerð	lvensf	dæmigerður
fyrir	ao	fyrir
Provence-hérað	nheo-s	Provence-hérað
,	,	,
en	c	en
hana	fpveo	hún
borðum	sfg1fn	borða
við	fp1fn	ég
á	ao	á
sumrin	nhfog	sumar
með	aþ	með
hráu	lheþsf	hrár
grænmeti	nheþ	grænmeti
.	.	.

Í	aþ	í
þeim	fakeþ	sá
rétti	nkeþ	réttur
verða	sfg3fn	verða
bæði	c	bæði
asísk	lhfnsf	asískur
og	c	og
frönsk	lhfnsf	franskur
áhrif	nhfn	áhrif
.	.	.

Svo	aa	svo
vil	sfg1en	vilja
ég	fp1en	ég
auðvitað	aa	auðvitað
nota	sng	nota
þorskinn	nkeog	þorskur
ykkar	fp2fe	þú
og	c	og
gera	sng	gera
úr	aþ	úr
honum	fpkeþ	hann
annan	fokeo	annar
suður-franskan	lkeosf	suður-franskur
rétt	nkeo	réttur
,	,	,
brandöðuna	nveog	brandaða
á	ao	á
fjóra	tfkfo	fjórir
vegu	nkfo	vegur
.	.	.

Ég	fp1en	ég
er	sfg1en	vera
nefnilega	aa	nefnilega
frá	aþ	frá
Nîmes	e	Nîmes
,	,	,
en	c	en
í	ao	í
eldgamla	lkfosf	eldgamall
daga	nkfo	dagur
gerðum	sfg1fþ	gera
við	fp1fn	ég
skipti	nhfo	skipti
við	ao	við
Norðurlöndin	nhfogs	Norðurlönd
þannig	aa	þannig
að	c	að
þeir	fpkfn	hann
fengu	sfg3fþ	fá
hjá	aþ	hjá
okkur	fp1fþ	ég
salt	nheo	salt
í	aþ	í
skiptum	nhfþ	skipti
fyrir	ao	fyrir
þorsk	nkeo	þorskur
.	.	.

Nautið	nheog	naut
ætla	sfg1en	ætla
ég	fp1en	ég
að	cn	að
matreiða	sng	matreiða
á	ao	á
þrjá	tfkfo	þrír
vegu	nkfo	vegur
.	.	.

Sjóða	sng	sjóða
það	fpheo	það
bæði	c	bæði
vel	aa	vel
og	c	og
lengi	aa	lengi
að	aþ	að
asískum	lkeþsf	asískur
sið	nkeþ	siður
,	,	,
nota	sng	nota
karrí	nheo	karrí
og	c	og
fleiri	lhfovm	margur
góð	lhfosf	góður
krydd	nhfo	krydd
.	.	.

Lundin	nveng	lund
verður	sfg3en	verða
síðan	aa	síðan
steikt	sþgven	steikja
upp	aa	upp
úr	aþ	úr
norður-afríska	lheþvf	norður-afrískur
kryddinu	nheþg	krydd
harissu	e	harissu
og	c	og
uxahalinn	nkeng	uxahali
verður	sfg3en	verða
framreiddur	sþgken	framreiða
með	aþ	með
mergbeini	nheþ	mergbein
.	.	.

Í	ao	í
eftirréttinn	nkeog	eftirréttur
blanda	sfg1en	blanda
ég	fp1en	ég
svo	aa	svo
saman	aa	saman
hinu	gheþ	hinn
ítalska	lheþvf	ítalskur
risotto	nheþ	risotto
og	c	og
nutella	e	nutella
,	,	,
sem	ct	sem
er	sfg3en	vera
nokkuð	fohen	nokkur
sem	ct	sem
hvert	fohen	hver
franskt	lhensf	franskur
mannsbarn	nhen	mannsbarn
fær	sfg3en	fá
á	ao	á
franskbrauðssneiðina	nveog	franskbrauðsneið
sína	feveo	sinn
á	ao	á
morgnana	nkfog	morgunn
,	,	,
segir	sfg3en	segja
Flora	e	Flora
og	c	og
bætir	sfg3en	bæta
við	aa	við
að	c	að
þetta	fahen	þessi
sé	svg3en	vera
mjög	aa	mjög
í	aþ	í
anda	nkeþ	andi
þess	fahee	sá
sem	ct	sem
hún	fpven	hún
býður	sfg3en	bjóða
upp	aa	upp
á	aa	á
á	aþ	á
veitingastaðnum	nkeþg	veitingastaður
sínum	fekeþ	sinn
í	aþ	í
París	nveþ-s	París
.	.	.

Eru	sfg3fn	vera
vínin	nhfng	vín
sem	ct	sem
mælt	sþghen	mæla
er	sfg3en	vera
með	aa	með
líka	aa	líka
valin	sþghfn	velja
af	aþ	af
þér	fp2eþ	þú
?	?	?

Nei	au	nei
,	,	,
það	fpheo	það
sjá	sfg3fn	sjá
þjónar	nkfn	þjónn
Holtsins	nheegs	Holt
um	ao	um
.	.	.

Við	fp1fn	ég
höfum	sfg1fn	hafa
smakkað	ssg	smakka
þetta	faheo	þessi
saman	aa	saman
hingað	aa	hingað
til	aa	til
og	c	og
þeir	fpkfn	hann
hafa	sfg3fn	hafa
alltaf	aa	alltaf
valið	ssg	velja
vínin	nhfog	vín
mjög	aa	mjög
vel	aa	vel
,	,	,
segir	sfg3en	segja
þessi	faven	þessi
kraftmikla	lvenvf	kraftmikill
og	c	og
skemmtilega	lvenvf	skemmtilegur
suðræna	lvenvf	suðrænn
kona	nven	kona
sem	ct	sem
hlakkar	sfg3en	hlakka
til	ae	til
að	cn	að
leika	sng	leika
sér	fpveþ	sig
að	aþ	að
íslenskum	lhfþsf	íslenskur
hráefnum	nhfþ	hráefni
.	.	.

Texti	nken	texti
Hildur	nven-s	Hildur
Loftsdóttir	nven-s	Loftsdóttir
.	.	.

Það	fphen	það
hefur	sfg3en	hafa
sýnt	ssg	sýna
sig	fpheo	sig
að	c	að
íslenskt	lhensf	íslenskur
hráefni	nhen	hráefni
stendur	sfg3en	standa
fyllilega	aa	fyllilega
jafnfætis	aa	jafnfætis
erlendri	lveþsf	erlendur
matvöru	nveþ	matvara
.	.	.

Mjólkurafurðirnar	nvfng	mjólkurafurð
eru	sfg3fn	vera
í	aþ	í
sérflokki	nkeþ	sérflokkur
,	,	,
osturinn	nkeng	ostur
og	c	og
annað	fohen	annar
góðgæti	nhen	góðgæti
sem	ct	sem
unnið	sþghen	vinna
er	sfg3en	vera
úr	aþ	úr
fersku	lveþvf	ferskur
,	,	,
íslensku	lveþvf	íslenskur
mjólkinni	nveþg	mjólk
er	sfg3en	vera
sér	lvenof	sér
á	aþ	á
parti	nkeþ	partur
og	c	og
margir	lkfnsf	margur
halda	sfg3fn	halda
því	fpheþ	það
einnig	aa	einnig
fram	aa	fram
að	c	að
íslenska	lhenvf	íslenskur
súkkulaðið	nheng	súkkulaði
sé	svg3en	vera
best	lhense	góður
í	aþ	í
heimi	nkeþ	heimur
.	.	.

Notum	svg1fn	nota
þetta	faheo	þessi
góða	lheovf	góður
hráefni	nheo	hráefni
og	c	og
gerum	svg1fn	gera
okkur	fp1fþ	ég
glaðan	lkeosf	glaður
dag	nkeo	dagur
t.d	as	t.d
á	ao	á
bolludaginn	nkeog	bolludagur
.	.	.

Það	fphen	það
er	sfg3en	vera
ekki	aa	ekki
mjög	aa	mjög
flókið	lhensf	flókinn
að	cn	að
baka	sng	baka
vatnsdeigsbollur	nvfo	vatnsdeigsbolla
ef	c	ef
maður	nken	maður
fer	sfg3en	fara
nákvæmlega	aa	nákvæmlega
eftir	aþ	eftir
leiðbeiningunum	nvfþg	leiðbeining
.	.	.

Góð	lvensf	góður
regla	nven	regla
er	sfg3en	vera
að	cn	að
opna	sng	opna
aldrei	aa	aldrei
ofninn	nkeog	ofn
á	aa	á
meðan	c	meðan
á	aþ	á
bakstri	nkeþ	bakstur
stendur	sfg3en	standa
því	fpheþ	það
þá	aa	þá
geta	sfg3fn	geta
bollurnar	nvfng	bolla
fallið	ssg	falla
.	.	.

Fylgist	sbm2fn	fylgja
vel	aa	vel
með	aþ	með
bollunum	nvfþg	bolla
í	aa	í
gegnum	ao	gegnum
glerið	nheog	gler
á	aþ	á
ofninum	nkeþg	ofn
og	c	og
takið	sbg2fn	taka
þær	fpvfo	hún
ekki	aa	ekki
út	aa	út
fyrr	aam	fyrr
en	c	en
þær	fpvfn	hún
virðast	sfm3fn	virða
alveg	aa	alveg
tilbúnar	lvfnsf	tilbúinn
.	.	.

Vatnsdeigsbollur	nvfn	vatnsdeigsbolla
eru	sfg3fn	vera
léttar	lvfnsf	léttur
og	c	og
bragðgóðar	lvfnsf	bragðgóður
og	c	og
henta	sfg3fn	henta
með	aþ	með
nánast	aae	náið
hvaða	fsveþ	hvaða
fyllingu	nveþ	fylling
sem	ct	sem
er	sfg3en	vera
.	.	.

Hefðbundin	lvensf	hefðbundinn
fylling	nven	fylling
í	ao	í
bolludagsbollur	nvfo	bolludagsbolla
er	sfg3en	vera
sulta	nven	sulta
og	c	og
þeyttur	lkensf	þeyttur
rjómi	nken	rjómi
og	c	og
súkkulaðiglassúr	nken	súkkulaðiglassúr
smurður	lkensf	smurður
yfir	aa	yfir
.	.	.

Hér	aa	hér
eru	sfg3fn	vera
hins	fakee	hinn
vegar	nkee	vegur
nokkrar	fovfn	nokkur
tillögur	nvfn	tillaga
að	aþ	að
fyllingu	nveþ	fylling
sem	ct	sem
gætu	svg3fþ	geta
komið	ssg	koma
bragðlaukunum	nkfþg	bragðlaukur
á	ao	á
óvart	lheosf	óvar
og	c	og
kætt	ssg	kæta
þá	fakfo	sá
sem	ct	sem
vilja	sfg3fn	vilja
breyta	sng	breyta
örlítið	aa	örlítið
til	aa	til
.	.	.

Þá	aa	þá
er	sfg3en	vera
tilvalið	lhensf	tilvalinn
að	cn	að
leggja	sng	leggja
bollurnar	nvfog	bolla
á	ao	á
bakka	nkeo	bakki
eftir	ao	eftir
að	c	að
þær	fpvfn	hún
hafa	sfg3fn	hafa
verið	ssg	vera
skornar	sþgvfn	skera
í	ao	í
tvennt	lheosf	tvennur
og	c	og
raða	sng	raða
síðan	aa	síðan
rjóma	nkeþ	rjómi
,	,	,
sultum	nvfþ	sulta
og	c	og
kremi	nheþ	krem
af	aþ	af
ýmsum	fovfþ	ýmis
gerðum	nvfþ	gerð
á	ao	á
annan	fokeo	annar
bakka	nkeo	bakki
,	,	,
því	fpheþ	það
þá	aa	þá
geta	sfg3fn	geta
allir	fokfn	allur
sett	ssg	setja
fyllingu	nveo	fylling
á	ao	á
bollurnar	nvfog	bolla
við	ao	við
sitt	feheo	sinn
hæfi	nheo	hæfi
.	.	.

Umsjón	nven	umsjón
Rut	nven-s	Rut
Helgadóttir	nven-s	Helgadóttir
.	.	.

Myndir	nvfn	mynd
Arnaldur	nken-s	Arnaldur
Halldórsson	nken-s	Halldórsson
vatnsdeigsbollur	nvfn	vatnsdeigsbolla
vatnsdeigsbollur	nvfn	vatnsdeigsbolla
12-15	ta	12-15
bollur	nvfn	bolla
75	ta	75
g	as	g
smjörlíki	nhen	smjörlíki
2½	ta	2½
dl	as	dl
vatn	nhen	vatn
2½	ta	2½
dl	as	dl
hveiti	nhen	hveiti
4	ta	4
egg	nhfn	egg
Setjið	sbg2fn	setja
smjörlíkið	nheog	smjörlíki
og	c	og
vatnið	nheog	vatn
í	ao	í
pott	nkeo	pottur
og	c	og
látið	sbg2fn	láta
suðuna	nveog	suða
koma	sng	koma
upp	aa	upp
.	.	.

Hrærið	sbg2fn	hræra
í	aa	í
á	aa	á
meðan	c	meðan
smjörlíkið	nheng	smjörlíki
bráðnar	sfg3en	bráðna
.	.	.

Setjið	sbg2fn	setja
hveitið	nheog	hveiti
út	aa	út
í	aa	í
(	(	(
allt	foheo	allur
í	aþ	í
einu	lheþsf	einn
)	)	)
og	c	og
hrærið	sbg2fn	hræra
vel	aa	vel
í	aa	í
á	aa	á
meðan	c	meðan
hveitið	nheng	hveiti
drekkur	sfg3en	drekka
í	ao	í
sig	fpheo	sig
vökvann	nkeog	vökvi
.	.	.

Takið	sbg2fn	taka
pottinn	nkeog	pottur
af	aþ	af
hitanum	nkeþg	hiti
þegar	c	þegar
deigið	nheng	deig
loðir	sfg3en	loða
ekki	aa	ekki
lengur	aam	lengi
við	ao	við
botninn	nkeog	botn
,	,	,
en	c	en
þurr	lvensf	þurr
skán	nven	skán
hefur	sfg3en	hafa
myndast	ssm	mynda
.	.	.

Kælið	sbg2fn	kæla
deigið	nheog	deig
í	ao	í
5-8	ta	5-8
mínútur	nvfo	mínúta
.	.	.

Bætið	sbg2fn	bæta
eggjunum	nhfþg	egg
saman	aa	saman
við	aa	við
,	,	,
einu	foheþ	einn
í	aa	í
senn	aa	senn
og	c	og
hrærið	sbg2fn	hræra
vel	aa	vel
í	aa	í
á	aa	á
milli	aa	milli
.	.	.

Hitið	sbg2fn	hita
ofninn	nkeog	ofn
í	ao	í
200°C	ta	200°c
og	c	og
leggið	sbg2fn	leggja
bökunarpappír	nkeo	bökunarpappír
á	ao	á
ofnplötuna	nveog	ofnplata
.	.	.

Mótið	sbg2fn	móta
bollur	nvfo	bolla
með	aþ	með
því	fpheþ	það
að	cn	að
setja	sng	setja
u.þ.b.	as	u.þ.b.
2	ta	2
msk	as	msk
.	.	.

af	aþ	af
deigi	nheþ	deig
með	aþ	með
tveimur	tfvfþ	tveir
skeiðum	nvfþ	skeið
á	ao	á
bökunarpappírinn	nkeog	bökunarpappír
eða	c	eða
sprautið	sbg2fn	sprauta
toppa	nkfo	toppur
úr	aþ	úr
deiginu	nheþg	deig
með	aþ	með
rjómasprautu	nveþ	rjómasprauta
.	.	.

Bakið	sbg2fn	baka
bollurnar	nvfog	bolla
í	ao	í
u.þ.b.	as	u.þ.b.
10	ta	10
mínútur	nvfo	mínúta
eða	c	eða
þar	aa	þar
til	aa	til
deigið	nheng	deig
hefur	sfg3en	hafa
lyft	ssg	lyfta
sér	fpheþ	sig
um	ao	um
helming	nkeo	helmingur
og	c	og
bollurnar	nvfng	bolla
eru	sfg3fn	vera
orðnar	sþgvfn	verða
ljósbrúnar	lvfnsf	ljósbrúnn
að	aþ	að
lit	nkeþ	litur
.	.	.

Hafliði	nken-s	Hafliði
Ragnarsson	nken-s	Ragnarsson
lærði	sfg3eþ	læra
til	ae	til
bakara	nkee	bakari
í	aþ	í
Mosfellsbakaríi	nheþ-s	Mosfellsbakarí
og	c	og
fór	sfg3eþ	fara
síðan	aa	síðan
að	cn	að
vinna	sng	vinna
við	ao	við
kökuskreytingar	nvfo	kökuskreyting
í	aþ	í
Perlunni	nveþgs	Perla
og	c	og
varð	sfg3eþ	verða
meðal	ae	meðal
annars	fohee	annar
Íslandsmeistari	nken-s	íslandsmeistari
í	aþ	í
kökuskreytingum	nvfþ	kökuskreyting
á	aa	á
meðan	c	meðan
hann	fpken	hann
vann	sfg3eþ	vinna
þar	aa	þar
.	.	.

1997	ta	1997
fór	sfg3eþ	fara
hann	fpken	hann
utan	aa	utan
til	ae	til
náms	nhee	nám
,	,	,
lærði	sfg3eþ	læra
til	ae	til
konditors	nkee	konditor
í	aþ	í
Danmörku	nveþ-s	Danmörk
.	.	.

Í	aþ	í
konditor-náminu	nheþg	konditornám
læra	sfg3fn	læra
menn	nkfn	maður
sitthvað	foheo	sitthvað
sem	ct	sem
viðkemur	sfg3en	viðkoma
súkkulaði	nheþ	súkkulaði
sem	c	sem
hluta	nkeo	hluti
af	aþ	af
náminu	nheþg	nám
en	c	en
síðan	aa	síðan
sérhæfa	sfg3fn	sérhæfa
menn	nkfn	maður
sig	fpkfo	sig
yfirleitt	aa	yfirleitt
í	aþ	í
einhverju	foheþ	einhver
af	aþ	af
því	faheþ	sá
sem	ct	sem
þar	aa	þar
er	sfg3en	vera
kennt	sþghen	kenna
og	c	og
Hafliði	nken-s	Hafliði
tók	sfg3eþ	taka
ýmis	fohfo	ýmis
námskeið	nhfo	námskeið
í	aþ	í
súkkulaðifræðum	nhfþ	súkkulaðifræði
.	.	.

Súkkulaði	nhen	súkkulaði
er	sfg3en	vera
eitthvað	fohen	einhver
sem	ct	sem
höfðar	sfg3en	höfða
til	ae	til
allra	fokfe	allur
og	c	og
það	fphen	það
er	sfg3en	vera
hægt	lhensf	hægur
að	cn	að
nota	sng	nota
það	fpheo	það
í	aþ	í
svo	aa	svo
fjölbreyttu	lheþsf	fjölbreyttur
og	c	og
ólíku	lheþsf	ólíkur
formi	nheþ	form
,	,	,
segir	sfg3en	segja
Hafliði	nken-s	Hafliði
aðspurður	lkensf	aðspurður
hvað	fshen	hver
hafi	svg3en	hafa
leitt	ssg	leiða
hann	fpkeo	hann
út	aa	út
í	ao	í
súkkulaðið	nheog	súkkulaði
og	c	og
bendir	sfg3en	benda
á	ao	á
að	c	að
súkkulaði	nhen	súkkulaði
sé	svg3en	vera
notað	sþghen	nota
í	ao	í
ís	nkeo	ís
og	c	og
bakstur	nkeo	bakstur
og	c	og
drykki	nkfo	drykkur
og	c	og
svo	aa	svo
séu	svg3fn	vera
samsetningarnar	nvfng	samsetning
óteljandi	lvfnof	óteljandi
þegar	c	þegar
konfektmolar	nkfn	konfektmoli
eru	sfg3fn	vera
annars	fokee	annar
vegar	nkee	vegur
.	.	.

Ákveðin	lhfnsf	ákveðinn
kaflaskil	nhfn	kaflaskil
í	aþ	í
súkkulaðisögu	nveþ	súkkulaðisaga
Hafliða	nkee-s	Hafliði
urðu	sfg3fþ	verða
þegar	c	þegar
hann	fpken	hann
tók	sfg3eþ	taka
þátt	nkeo	þáttur
í	aþ	í
alþjóðlegri	lveþsf	alþjóðlegur
súkkulaðisamkeppni	nveþ	súkkulaðisamkeppni
í	aþ	í
Belgíu	nveþ-s	Belgía
,	,	,
Belgian	e	Belgian
Chocolate	e	Chocolate
Awards	e	Awards
,	,	,
og	c	og
komst	sfm3eþ	koma
þar	aa	þar
óvænt	aa	óvænt
í	ao	í
annað	foheo	annar
sæti	nheo	sæti
,	,	,
aðeins	aa	aðeins
0,1%	tp	0,1%
í	aþ	í
stigum	nhfþ	stig
á	aa	á
eftir	aþ	eftir
keppanda	nkeþ	keppandi
Belgíu	nvee-s	Belgía
sem	ct	sem
sigraði	sfg3eþ	sigra
.	.	.

Ég	fp1en	ég
fór	sfg1eþ	fara
vissulega	aa	vissulega
út	aa	út
með	ao	með
það	fpheo	það
í	aþ	í
huga	nkeþ	hugi
að	cn	að
gera	sng	gera
mitt	feheo	minn
besta	lheove	góður
en	c	en
átti	sfg1eþ	eiga
alls	fohee	allur
ekki	aa	ekki
von	nveo	von
á	aþ	á
því	fpheþ	það
að	cn	að
ná	sng	ná
svona	aa	svona
langt	aa	langt
,	,	,
segir	sfg3en	segja
Hafliði	nken-s	Hafliði
,	,	,
en	c	en
árangur	nken	árangur
hans	fpkee	hann
í	aþ	í
keppninni	nveþg	keppni
varð	sfg3eþ	verða
til	ae	til
þess	fphee	það
að	c	að
hann	fpken	hann
ákvað	sfg3eþ	ákveða
að	cn	að
snúa	sng	snúa
sér	fpkeþ	sig
af	aþ	af
fullri	lveþsf	fullur
alvöru	nveþ	alvara
að	aþ	að
súkkulaðinu	nheþg	súkkulaði
eftir	ao	eftir
að	cn	að
hafa	sng	hafa
haft	ssg	hafa
það	fpheo	það
sem	ct	sem
hliðarverkefni	nheo	hliðarverkefni
með	aþ	með
bakstri	nkeþ	bakstur
og	c	og
kökugerð	nveþ	kökugerð
.	.	.

Það	fphen	það
opnuðust	sfm3fþ	opna
líka	aa	líka
margar	lvfnsf	margur
dyr	nvfn	dyr
fyrir	aþ	fyrir
mér	fp1eþ	ég
með	aþ	með
þessum	fakeþ	þessi
árangri	nkeþ	árangur
,	,	,
mér	fp1eþ	ég
buðust	sfm3fþ	bjóða
ýmis	fohfn	ýmis
sambönd	nhfn	samband
og	c	og
verkefni	nhfn	verkefni
og	c	og
því	aa	því
varð	sfg1eþ	verða
ég	fp1en	ég
að	cn	að
hrökkva	sng	hrökkva
eða	c	eða
stökkva	sng	stökkva
.	.	.

Hafliði	nken-s	Hafliði
ákvað	sfg3eþ	ákveða
að	cn	að
stökkva	sng	stökkva
,	,	,
samdi	sfg3eþ	semja
við	ao	við
framleiðanda	nkeo	framleiðandi
á	aþ	á
umbúðum	nvfþ	umbúð
,	,	,
keypti	sfg3eþ	kaupa
sér	fpkeþ	sig
tæki	nhfo	tæki
,	,	,
kom	sfg3eþ	koma
sér	fpkeþ	sig
upp	aa	upp
almennilegri	lveþsf	almennilegur
aðstöðu	nveþ	aðstaða
og	c	og
byrjaði	sfg3eþ	byrja
að	cn	að
framleiða	sng	framleiða
konfekt	nheo	konfekt
undir	aþ	undir
vörumerkinu	nheþg	vörumerki
HR	as	HR
konfekt	nhen	konfekt
.	.	.

Þeirri	faveþ	sá
framleiðslu	nveþ	framleiðsla
var	sfg3eþ	vera
vel	aa	vel
tekið	sþghen	taka
,	,	,
svo	aa	svo
vel	aa	vel
reyndar	aa	reyndar
að	c	að
aðstaðan	nveng	aðstaða
sem	ct	sem
Hafliði	nken-s	Hafliði
hafði	sfg3eþ	hafa
í	aþ	í
Mosfellsbakaríi	nheþ-s	Mosfellsbakarí
,	,	,
þar	aa	þar
sem	c	sem
hann	fpken	hann
hefur	sfg3en	hafa
verið	ssg	vera
eftir	ao	eftir
að	c	að
námi	nheþ	nám
lauk	sfg3eþ	ljúka
ytra	aam	ytra
,	,	,
er	sfg3en	vera
orðin	sþgven	verða
of	aa	of
lítil	lvensf	lítill
og	c	og
tækjabúnaður	nken	tækjabúnaður
ekki	aa	ekki
nógu	lheþsf	nógur
afkastamikill	lkensf	afkastamikill
.	.	.

Hann	fpken	hann
er	sfg3en	vera
því	aa	því
að	cn	að
undirbúa	sng	undirbúa
flutning	nkeo	flutningur
í	ao	í
stærra	lheovm	stór
húsnæði	nheo	húsnæði
Mosfellsbakarís	nhee-s	Mosfellsbakarí
á	aþ	á
Háaleitisbrautinni	nveþgs	Háaleitisbraut
og	c	og
fór	sfg3eþ	fara
fyrir	aþ	fyrir
stuttu	lheþsf	stuttur
til	ae	til
Ítalíu	nvee-s	Ítalía
að	cn	að
kaupa	sng	kaupa
fullkomnari	lvfovm	fullkominn
vélar	nvfo	vél
til	ae	til
framleiðslunnar	nveeg	framleiðsla
.	.	.

Fyrir	ao	fyrir
páskana	nkfog	páskar
kynnir	sfg3en	kynna
Hafliði	nken-s	Hafliði
heldur	c	heldur
óvenjuleg	lhfosf	óvenjulegur
páskaegg	nhfo	páskaegg
,	,	,
því	fpheþ	það
hann	fpken	hann
ætlar	sfg3en	ætla
að	cn	að
bjóða	sng	bjóða
upp	aa	upp
á	ao	á
handgerð	lhfosf	handgerður
páskaegg	nhfo	páskaegg
fyllt	lhfosf	fylltur
með	aþ	með
handgerðu	lheþsf	handgerður
konfekti	nheþ	konfekt
.	.	.

Það	fphen	það
er	sfg3en	vera
þó	aa	þó
ekki	aa	ekki
það	fahen	sá
eina	lhenvf	einn
,	,	,
því	fpheþ	það
súkkulaðið	nheng	súkkulaði
í	aþ	í
páskaeggjunum	nhfþg	páskaegg
er	sfg3en	vera
sérstakt	lhensf	sérstakur
svo	aa	svo
ekki	aa	ekki
sé	svg3en	vera
meira	lhenvm	mikill
sagt	sþghen	segja
,	,	,
og	c	og
fáanlegt	lhensf	fáanlegur
í	aþ	í
mjög	aa	mjög
takmörkuðu	lheþsf	takmarkaður
magni	nheþ	magn
.	.	.

Súkkulaðið	nheng	súkkulaði
í	aþ	í
eggjunum	nhfþg	egg
er	sfg3en	vera
svokallað	lhensf	svokallaður
Grand	e	Grand
Cru	e	Cru
Sauvage	e	Sauvage
,	,	,
og	c	og
unnið	sþghen	vinna
úr	aþ	úr
kakóbaunum	nvfþ	kakóbaun
sem	ct	sem
vaxta	x	vöxtur
villtar	lvfnsf	villtur
á	aþ	á
smáeyjum	nvfþ	smáeyja
á	aþ	á
fenjasvæði	nheþ	fenjasvæði
í	aþ	í
Bólivíu	nveþ-s	Bólivía
.	.	.

Kakóávextirnir	nkfng	kakóávöxtur
eru	sfg3fn	vera
minni	lkfnvm	lítill
en	c	en
þeir	fakfn	sá
ræktuðu	lkfnvf	ræktaður
og	c	og
erfitt	lhensf	erfiður
að	cn	að
tína	sng	tína
þá	fpkfo	hann
þar	aa	þar
sem	c	sem
fara	sng	fara
verður	sfg3en	verða
um	aa	um
á	aþ	á
hestum	nkfþ	hestur
og	c	og
víða	aa	víða
aðeins	aa	aðeins
hægt	lhensf	hægur
