spænsk-kólumbísks	lkeesf	spænsk-kólumbískur
á	aþ	á
dauða	nkeþ	dauði
vopnasérfræðingsins	nkeeg	vopnasérfræðingur
Davids	e	Davids
Kellys	e	Kellys
,	,	,
sagðist	sfm3eþ	segja
hafa	sng	hafa
greint	ssg	greina
yfirmönnum	nkfþ	yfirmaður
sínum	fekfþ	sinn
frá	aþ	frá
áhyggjum	nvfþ	áhyggja
sérfræðinganna	nkfeg	sérfræðingur
af	aþ	af
því	fpheþ	það
að	c	að
ekki	aa	ekki
yrði	svg3eþ	verða
tekið	sþghen	taka
tillit	nhen	tillit
til	ae	til
athugasemda	nvfe	athugasemd
þeirra	fpkfe	hann
þegar	c	þegar
gengið	sþghen	ganga
yrði	svg3eþ	verða
frá	aþ	frá
skýrslunni	nveþg	skýrsla
.	.	.
Jones	e	Jones
ítrekaði	sfg3eþ	ítreka
þó	aa	þó
að	c	að
samstarfsmenn	nkfn	samstarfsmaður
sínir	fekfn	sinn
hefðu	svg3fþ	hafa
verið	ssg	vera
sáttir	lkfnsf	sáttur
við	ao	við
þá	faveo	sá
fullyrðingu	nveo	fullyrðing
að	c	að
Írakar	nkfn-s	Íraki
gætu	svg3fþ	geta
gripið	ssg	grípa
til	ae	til
gereyðingarvopna	nhfe	gereyðingarvopn
með	aþ	með
45	ta	45
mínútna	nvfe	mínúta
fyrirvara	nkeþ	fyrirvari
.	.	.
GUÐMUNDUR	nken-s	Guðmundur
HALLDÓRSSON	nken-s	Halldórsson
Gefur	sfg3en	gefa
hvergi	aa	hvergi
eftir	aa	eftir
í	aþ	í
baráttunni	nveþg	barátta
fyrir	aþ	fyrir
bættum	lkeþsf	bættur
hag	nkeþ	hagur
smábátamanna	nkfe	smábátamaður
.	.	.
Deilt	sþghen	deila
um	ao	um
línuívilnun	nveo	línuívilnun
á	aþ	á
Vestfjörðum	nkfþ-s	Vestfirðir
:	:	:
Smábátaforingi	nken	smábátaforingi
skammar	nvee	skömm
sveitarstjóra	nkeo	sveitarstjóri
debenhams	e	debenhams
SMÁRALIND	nveþ-s	Smáralind
Enn	aa	enn
bætast	sfm3fn	bæta
ný	lhfnsf	nýr
merki	nhfn	merki
við	ao	við
frábært	lheosf	frábær
úrval	nheo	úrval
merkjavöru	nvee	merkjavara
í	aþ	í
Esprit	e	Esprit
,	,	,
S.	as	s.
Oliver	nken-s	Oliver
fyrir	ao	fyrir
karla	nkfo	karl
og	c	og
Mexx	e	Mexx
fyrir	ao	fyrir
börnin	nhfog	barn
.	.	.
Debenhams	e	Debenhams
-	-	-
merki	nhen	merki
um	ao	um
frábært	lheosf	frábær
úrval	nheo	úrval
,	,	,
hagstæð	lhfosf	hagstæður
kaup	nhfo	kaup
,	,	,
gæði	nhfo	gæði
og	c	og
flægilegt	x	þægilegur
andrúmsloft	nheo	andrúmsloft
.	.	.
Silvio	e	Silvio
Berlusconi	e	Berlusconi
,	,	,
forsætisráðherra	nken	forsætisráðherra
Ítalíu	nvee-s	Ítalía
,	,	,
ætlar	sfg3en	ætla
að	cn	að
fara	sng	fara
fram	aa	fram
á	aa	á
sem	ct	sem
svarar	sfg3en	svara
rúmlega	aa	rúmlega
1,3	ta	1,3
milljörðum	nkfþ	milljarður
íslenskra	lvfesf	íslenskur
króna	nvfe	króna
í	ao	í
miskabætur	nvfo	miskabætur
vegna	ae	vegna
ummæla	nhfe	ummæli
Piero	e	Piero
Fassino	e	Fassino
,	,	,
leiðtoga	nkee	leiðtogi
stjórnarandstæðinga	nkfe	stjórnarandstæðingur
.	.	.
Fassino	e	Fassino
gaf	sfg3eþ	gefa
í	ao	í
skyn	nheo	skyn
að	c	að
forsætisráðherrann	nkeng	forsætisráðherra
hefði	svg3eþ	hafa
fengið	ssg	fá
ítalskan	lkeosf	ítalskur
kaupsýslumann	nkeo	kaupsýslumaður
og	c	og
þekktan	lkeosf	þekktur
braskara	nkeo	braskari
til	ae	til
að	cn	að
koma	sng	koma
fram	aa	fram
með	ao	með
ásakanir	nvfo	ásökun
um	ao	um
mútuþægni	nveo	mútuþægni
á	ao	á
hendur	nvfo	hönd
stjórnmálamönnum	nkfþ	stjórnmálamaður
á	aþ	á
vinstri	lkeþvf	vinstri
vængnum	nkeþg	vængur
,	,	,
þar	aa	þar
á	aa	á
meðal	aa	meðal
Fassino	e	Fassino
og	c	og
Romano	e	Romano
Prodi	e	Prodi
,	,	,
fyrrum	aa	fyrrum
forsætisráðherra	nkeþ	forsætisráðherra
.	.	.
Piero	e	Piero
Fassino	e	Fassino
sagði	sfg3eþ	segja
að	c	að
ásakanir	nvfn	ásökun
kaupsýslumannsins	nkeeg	kaupsýslumaður
ættu	svg3fþ	eiga
sér	fpvfþ	sig
enga	foveo	enginn
stoð	nveo	stoð
í	aþ	í
raunveruleikanum	nkeþg	raunveruleiki
og	c	og
markmið	nhen	markmið
Berlusconis	e	Berlusconis
hefði	svg3eþ	hafa
verið	ssg	vera
að	cn	að
beina	sng	beina
athyglinni	nveþg	athygli
frá	aþ	frá
eigin	lveþof	eigin
spillingu	nveþ	spilling
.	.	.
Silvio	e	Silvio
Berlusconi	e	Berlusconi
:	:	:
Krefst	sfm3en	krefja
miskabóta	nvfe	miskabætur
FASSINO	e	FASSINO
OG	c	og
BERLUSCONI	e	BERLUSCONI
Ítalski	lkenvf	ítalskur
forsætisráðherrann	nkeng	forsætisráðherra
krefst	sfm3en	krefja
þess	fphee	það
að	c	að
leiðtogi	nken	leiðtogi
stjórnarandstæðinga	nkfe	stjórnarandstæðingur
greiði	svg3en	greiða
honum	fpkeþ	hann
himinháar	lvfosf	himinhár
miskabætur	nvfo	miskabætur
.	.	.
CANBERRA	e	CANBERRA
,	,	,
AP	as	AP
Stjórnvöld	nhfn	stjórnvald
á	aþ	á
áströlsku	lveþvf	ástralskur
eyjunni	nveþg	eyja
Tasmaníu	nveþ-s	Tasmanía
hvetja	sfg3fn	hvetja
yfirvöld	nhfo	yfirvald
í	aþ	í
landinu	nheþg	land
til	ae	til
að	cn	að
stöðva	sng	stöðva
innflutning	nkeo	innflutningur
á	aþ	á
norskum	lkeþsf	norskur
laxi	nkeþ	lax
eftir	ao	eftir
að	c	að
sjávarlús	nven	sjávarlús
fannst	sfm3eþ	finna
á	aþ	á
fiskinum	nkeþg	fiskur
.	.	.
Ferskur	lkensf	ferskur
lax	nken	lax
frá	aþ	frá
Noregi	nkeþ-s	Noregur
,	,	,
samtals	aa	samtals
2,7	ta	2,7
tonn	nhfn	tonn
,	,	,
reyndist	sfm3eþ	reyna
lúsugur	lkensf	lúsugur
og	c	og
var	sfg3eþ	vera
fiskurinn	nkeng	fiskur
umsvifalaust	aa	umsvifalaust
tekinn	sþgken	taka
úr	aþ	úr
sölu	nveþ	sala
.	.	.
Vísindamenn	nkfn	vísindamaður
segja	sfg3fn	segja
að	c	að
sóttvarnarlög	nhfn	sóttvarnarlag
hafi	svg3fn	hafa
ekki	aa	ekki
verið	ssg	vera
brotin	sþghfn	brjóta
og	c	og
mönnum	nkfþ	maður
stafi	svg3en	stafa
engin	foven	enginn
hætta	nven	hætta
af	aþ	af
lúsinni	nveþg	lús
.	.	.
Bryan	e	Bryan
Green	e	Green
,	,	,
umhverfisráðherra	nken	umhverfisráðherra
fylkisstjórnarinnar	nveeg	fylkisstjórn
í	aþ	í
Tasmaníu	nveþ-s	Tasmanía
,	,	,
segist	sfm3en	segja
hins	fakee	hinn
vegar	nkee	vegur
hafa	sng	hafa
áhyggjur	nvfo	áhyggja
af	aþ	af
laxalúsinni	nveþg	laxalús
þar	aa	þar
sem	c	sem
hún	fpven	hún
sé	svg3en	vera
aðskotadýr	nhen	aðskotadýr
á	aþ	á
suðurhveli	nheþ	suðurhvel
jarðar	nvee	jörð
og	c	og
geti	svg3en	geta
ógnað	ssg	ógna
rúmlega	aa	rúmlega
100	ta	100
milljóna	nvfe	milljón
Bandaríkjadala	nkfe-s	Bandaríkjadalur
atvinnugrein	nveþ	atvinnugrein
í	aþ	í
Tasmaníu	nveþ-s	Tasmanía
.	.	.
«	«	«
Ég	fp1en	ég
hvet	sfg1en	hvetja
stjórnvöld	nhfo	stjórnvald
í	aþ	í
Ástralíu	nveþ-s	Ástralía
til	ae	til
að	cn	að
stöðva	sng	stöðva
innflutning	nkeo	innflutningur
á	aþ	á
ferskum	lkeþsf	ferskur
laxi	nkeþ	lax
til	ae	til
að	cn	að
tryggja	sng	tryggja
heilbrigði	nheo	heilbrigði
ástralska	lkeevf	ástralskur
laxastofnsins	nkeeg	laxastofn
,	,	,
»	»	»
sagði	sfg3eþ	segja
Green	e	Green
.	.	.
Laxalýs	nvfn	laxalús
eru	sfg3fn	vera
örsmá	lhfnsf	örsmár
sníkjudýr	nhfn	sníkjudýr
sem	ct	sem
nærast	sfm3fn	næra
á	aþ	á
roði	nheþ	roð
og	c	og
blóði	nheþ	blóð
laxins	nkeeg	lax
.	.	.
Í	aþ	í
miklu	lheþsf	mikill
magni	nheþ	magn
geta	sfg3fn	geta
þær	fpvfn	hún
drepið	ssg	drepa
fiskinn	nkeog	fiskur
með	aþ	með
því	fpheþ	það
að	cn	að
skemma	sng	skemma
roðið	nheog	roð
.	.	.
Norðmenn	nkfn-s	Norðmaður
seldu	sfg3fþ	selja
Áströlum	nkfþ-s	Ástrali
lúsugan	lkeosf	lúsugur
lax	nkeo	lax
:	:	:
Ástralir	nkfn-s	Ástrali
krefjast	sfm3fn	krefja
innflutningsbanns	nhee	innflutningsbann
LAXELDI	nhen	laxeldi
Umhverfisráðherra	nken	umhverfisráðherra
Tasmaníu	nvee-s	Tasmanía
hvetur	sfg3en	hvetja
áströlsk	lhfosf	ástralskur
stjórnvöld	nhfo	stjórnvald
til	ae	til
að	cn	að
banna	sng	banna
innflutning	nkeo	innflutningur
á	aþ	á
ferskum	lkeþsf	ferskur
laxi	nkeþ	lax
eftir	ao	eftir
að	c	að
lús	nven	lús
fannst	sfm3eþ	finna
í	aþ	í
ferskum	lkeþsf	ferskur
laxi	nkeþ	lax
frá	aþ	frá
Noregi	nkeþ-s	Noregur
.	.	.
LÖGREGLUMÁL	nhfn	lögreglumál
Lögregla	nven	lögregla
felldi	sfg3eþ	fella
niður	aa	niður
mál	nheo	mál
gegn	aþ	gegn
starfsstúlku	nveþ	starfsstúlka
á	aþ	á
Hrafnistu	nveþ-s	Hrafnista
sem	ct	sem
kærð	sþgven	kæra
var	sfg3eþ	vera
fyrir	ao	fyrir
meintan	lkeosf	meintur
peningaþjófnað	nkeo	peningaþjófnaður
.	.	.
Heimilismaður	nken	heimilismaður
á	aþ	á
Hrafnistu	nveþ-s	Hrafnista
taldi	sfg3eþ	telja
í	ao	í
tvígang	nkeo	tvígangur
að	c	að
peningum	nkfþ	peningur
,	,	,
samtals	aa	samtals
6.500	ta	6.500
krónum	nvfþ	króna
,	,	,
hefði	svg3eþ	hafa
verið	ssg	vera
stolið	sþghen	stela
frá	aþ	frá
sér	fpkeþ	sig
í	aþ	í
janúar	nkeþ	janúar
á	aþ	á
þessu	faheþ	þessi
ári	nheþ	ár
.	.	.
Öryggisfyrirtækið	nheng	öryggisfyrirtæki
Meton	e	Meton
ehf.	as	ehf.
kærði	sfg3eþ	kæra
rúmlega	aa	rúmlega
tvítuga	lveosf	tvítugur
starfsstúlku	nveo	starfsstúlka
á	aþ	á
grundvelli	nkeþ	grundvöllur
upptaka	nvfe	upptaka
úr	aþ	úr
eftirlitsmyndavélum	nvfþ	eftirlitsmyndavél
.	.	.
Áður	aa	áður
höfðu	sfg3fþ	hafa
tveir	tfkfn	tveir
starfsmenn	nkfn	starfsmaður
Metons	e	Metons
-	-	-
báðir	fokfn	báðir
fyrrverandi	lkfnof	fyrrverandi
lögreglumenn	nkfn	lögreglumaður
-	-	-
reynt	ssg	reyna
að	cn	að
fá	sng	fá
stúlkuna	nveog	stúlka
til	ae	til
að	cn	að
játa	sng	játa
á	ao	á
sig	fpveo	sig
þjófnaðinn	nkeog	þjófnaður
.	.	.
Stúlkan	nveng	stúlka
skýrði	sfg3eþ	skýra
lögreglu	nveþ	lögregla
frá	aþ	frá
því	fpheþ	það
að	cn	að
vera	nven	vera
sín	feven	sinn
í	aþ	í
herbergi	nheþ	herbergi
vistmannsins	nkeeg	vistmaður
hefði	svg3eþ	hafa
einfaldlega	aa	einfaldlega
tengst	ssm	tengja
starfinu	nheþg	starf
.	.	.
Fleiri	lkfnvm	margur
en	c	en
hún	fpven	hún
hefðu	svg3fþ	hafa
farið	ssg	fara
inn	aa	inn
á	ao	á
herbergið	nheog	herbergi
.	.	.
Upptökur	nvfn	upptaka
úr	aþ	úr
eftirlitsmyndavélunum	nvfþg	eftirlitsmyndavél
studdu	sfg3fþ	styðja
þetta	faheo	þessi
.	.	.
Þá	aa	þá
benti	sfg3eþ	benda
stúlkan	nveng	stúlka
á	ao	á
að	c	að
innangengt	lhensf	innangengt
er	sfg3en	vera
inn	aa	inn
á	ao	á
herbergi	nheo	herbergi
mannsins	nkeeg	maður
úr	aþ	úr
næsta	lheþve	næstur
herbergi	nheþ	herbergi
um	ao	um
sameiginlegt	lheosf	sameiginlegur
salerni	nheo	salerni
.	.	.
Lögregla	nven	lögregla
lét	sfg3eþ	láta
málið	nheog	mál
niður	aa	niður
falla	sng	falla
í	aþ	í
apríl	nkeþ	apríl
.	.	.
Hvorki	c	hvorki
lögregla	nven	lögregla
né	c	né
fulltrúar	nkfn	fulltrúi
Metons	e	Metons
munu	sfg3fn	munu
hafa	sng	hafa
rætt	ssg	ræða
við	ao	við
aðra	fokfo	annar
mögulega	lkfosf	mögulegur
gerendur	nkfo	gerandi
í	aþ	í
hinu	gheþ	hinn
meinta	lheþvf	meintur
þjófnaðarmáli	nheþ	þjófnaðarmál
og	c	og
er	sfg3en	vera
það	fphen	það
enn	aa	enn
óupplýst	lhensf	óupplýstur
.	.	.
Stúlkan	nveng	stúlka
var	sfg3eþ	vera
leyst	sþgven	leysa
undan	aþ	undan
starfsskyldum	nvfþ	starfsskylda
sínum	fevfþ	sinn
en	c	en
fékk	sfg3eþ	fá
greidd	sþghfo	greiða
laun	nhfo	laun
út	ao	út
ráðningarsamning	nkeo	ráðningarsamningur
sem	ct	sem
lauk	sfg3eþ	ljúka
í	ao	í
vor	nheo	vor
.	.	.
Hún	fpven	hún
mun	sfg3en	munu
nú	aa	nú
hyggja	sng	hyggja
á	ao	á
háskólanám	nheo	háskólanám
.	.	.
Lögregla	nven	lögregla
felldi	sfg3eþ	fella
niður	aa	niður
mál	nheo	mál
gegn	aþ	gegn
þjófkenndri	lveþsf	þjófkenndur
stúlku	nveþ	stúlka
:	:	:
Benti	sfg3eþ	benda
á	ao	á
aðra	fokfo	annar
mögulega	lkfosf	mögulegur
þjófa	nkfo	þjófur
HRAFNISTA	nven-s	Hrafnista
Starfsstúlka	nven	starfsstúlka
sem	ct	sem
kærð	sþgven	kæra
var	sfg3eþ	vera
fyrir	ao	fyrir
þjófnað	nkeo	þjófnaður
á	aþ	á
Hrafnistu	nveþ-s	Hrafnista
benti	sfg3eþ	benda
lögreglu	nveþ	lögregla
á	ao	á
ýmsa	fokfo	ýmis
aðra	fokfo	annar
mögulega	lkfosf	mögulegur
gerendur	nkfo	gerandi
og	c	og
var	sfg3eþ	vera
málið	nheng	mál
látið	sþghen	láta
niður	aa	niður
falla	sng	falla
.	.	.
Hún	fpven	hún
fékk	sfg3eþ	fá
greidd	sþghfo	greiða
laun	nhfo	laun
út	ao	út
ráðningarsamninginn	nkeog	ráðningarsamningur
.	.	.
Í	aþ	í
ELDLÍNUNNI	nveþg	eldlína
Tony	e	Tony
Blair	e	Blair
,	,	,
forsætisráðherra	nken	forsætisráðherra
Bretlands	nhee-s	Bretland
,	,	,
mátti	sfg3eþ	mega
hafa	sng	hafa
sig	fpkeo	sig
allan	fokeo	allur
við	aa	við
þegar	c	þegar
hann	fpken	hann
svaraði	sfg3eþ	svara
spurningum	nvfþ	spurning
blaða-	nkfe	blaðamaður
og	c	og
fréttamanna	nkfe	fréttamaður
á	aþ	á
mánaðarlegum	lkeþsf	mánaðarlegur
blaðamannafundi	nkeþ	blaðamannafundur
í	aþ	í
Downing-stræti	nheþ-s	Downingstræti
10	ta	10
í	aa	í
gær	aa	gær
.	.	.
Væntanlega	aa	væntanlega
hafa	sfg3fn	hafa
áleitnar	lvfnsf	áleitinn
spurningar	nvfn	spurning
um	ao	um
Íraksstríðið	nheogs	Íraksstríð
og	c	og
rannsóknina	nveog	rannsókn
á	aþ	á
dauða	nkeþ	dauði
Davids	e	Davids
Kellys	e	Kellys
verið	ssg	vera
fyrirferðarmiklar	lvfnsf	fyrirferðarmikill
.	.	.
BRUSSEL	e	BRUSSEL
,	,	,
AP	as	AP
Stuðningur	nken	stuðningur
Evrópubúa	nkfe-s	Evrópubúi
við	ao	við
George	e	George
W.	e	W.
Bush	e	Bush
Bandaríkjaforseta	nkeo-s	Bandaríkjaforseti
og	c	og
utanríkisstefnu	nveo	utanríkisstefna
landsins	nheeg	land
hefur	sfg3en	hafa
snarminnkað	ssg	snarminnka
að	aþ	að
undanförnu	lheþsf	undanfarinn
,	,	,
einkum	aa	einkum
í	aþ	í
Þýskalandi	nheþ-s	Þýskaland
og	c	og
Frakklandi	nheþ-s	Frakkland
.	.	.
Skýringanna	nvfeg	skýring
er	sfg3en	vera
meðal	ae	meðal
annars	fohee	annar
að	cn	að
leita	sng	leita
í	aþ	í
innrásarstríðinu	nheþg	innrásarstríð
gegn	aþ	gegn
Írak	nheþ-s	Írak
og	c	og
uppbyggingu	nveþ	uppbygging
í	aþ	í
landinu	nheþg	land
í	ao	í
kjölfar	nheo	kjölfar
þess	fphee	það
en	c	en
bæði	c	bæði
Þýskaland	nhen-s	Þýskaland
og	c	og
Frakkland	nhen-s	Frakkland
voru	sfg3fþ	vera
andvíg	lhfnsf	andvígur
stríðinu	nheþg	stríð
í	ao	í
vor	nheo	vor
.	.	.
Samkvæmt	aþ	samkvæmt
könnun	nveþ	könnun
sem	ct	sem
birt	sþgven	birta
var	sfg3eþ	vera
í	aa	í
gær	aa	gær
virðist	sfm3en	virða
stuðningurinn	nkeng	stuðningur
hafa	sng	hafa
gufað	ssg	gufa
upp	aa	upp
í	aþ	í
hitunum	nkfþg	hiti
í	ao	í
sumar	nheo	sumar
.	.	.
Tæplega	aa	tæplega
16%	tp	16%
Þjóðverja	nkfe-s	Þjóðverji
segjast	sfm3fn	segja
nú	aa	nú
styðja	sng	styðja
Bush	e	Bush
en	c	en
voru	sfg3fþ	vera
36%	tp	36%
á	aþ	á
sama	fbkeþ	sami
tíma	nkeþ	tími
í	ao	í
fyrra	lheovm	fyrri
.	.	.
Einungis	aa	einungis
15%	tp	15%
Frakka	nkfe-s	Frakki
eru	sfg3fn	vera
nú	aa	nú
á	aþ	á
bandi	nheþ	band
Bush	e	Bush
en	c	en
voru	sfg3fþ	vera
21%	tp	21%
í	ao	í
fyrra	lheovm	fyrri
.	.	.
Þá	aa	þá
telja	sfg3fn	telja
70%	tp	70%
Frakka	nkfe-s	Frakki
,	,	,
helmingur	nken	helmingur
Ítala	nkfe-s	Ítali
og	c	og
Þjóðverja	nkfe-s	Þjóðverji
og	c	og
44%	tp	44%
Portúgala	nkfe-s	Portúgali
forystu	nveo	forysta
Bandaríkjanna	nhfegs	Bandaríki
á	aþ	á
alþjóðavettvangi	nkeþ	alþjóðavettvangur
lítt	aa	lítt
eftirsóknarverða	lveosf	eftirsóknarverður
.	.	.
Samkvæmt	aþ	samkvæmt
könnuninni	nveþg	könnun
eru	sfg3fn	vera
Bandaríkjamenn	nkfn-s	Bandaríkjamaður
viljugri	lkfnvm	viljugur
en	c	en
Evrópubúar	nkfn-s	Evrópubúi
að	cn	að
grípa	sng	grípa
til	ae	til
vopna	nhfe	vopn
gegn	aþ	gegn
