annarra	fokfe	annar
vetrarvertíðin	nveng	vetrarvertíð
einmitt	aa	einmitt
sem	aa	sem
hæst	aa	hæst
?	?	?

Hvernig	aa	hvernig
skyldi	svg3eþ	skulu
tíðin	nveng	tíð
vera	sng	vera
?	?	?

Hvernig	aa	hvernig
fiskast	sfm3en	fiska
?	?	?

Væri	svg3eþ	vera
hann	fpken	hann
einn	lkensf	einn
að	cn	að
bjástra	sng	bjástra
?	?	?

Hvernig	aa	hvernig
skyldi	svg3eþ	skulu
honum	fpkeþ	hann
hafa	sng	hafa
vegnað	ssg	vegna
án	ae	án
hennar	fpvee	hún
?	?	?

Vonandi	aa	vonandi
vel	aa	vel
eða	c	eða
hvað	fshen	hver
?	?	?

Í	ao	í
það	fpheo	það
minnsta	lheove	lítill
betur	aam	vel
en	c	en
henni	fpveþ	hún
,	,	,
aumri	lveþsf	aumur
og	c	og
flekkaðri	lveþsf	flekkaður
ambátt	nveþ	ambátt
.	.	.

Minn	feken	minn
ástkæri	lkenvf	ástkær
ektamaður	nken	ektamaður
!	!	!

Enn	aa	enn
þó	aa	þó
ég	fp1en	ég
aum	lvensf	aumur
skepna	nven	skepna
óskaði	svg1eþ	óska
hjartanlega	aa	hjartanlega
að	cn	að
vita	sng	vita
og	c	og
skilja	sng	skilja
yðar	fp2fe	þér
velgengni	nveo	velgengni
,	,	,
sem	ct	sem
þó	aa	þó
guð	nken	guð
viðhaldi	svg3en	viðhalda
í	aþ	í
langærri	lveþsf	langær
lukkusemi	nveþ	lukkusemi
,	,	,
þá	aa	þá
sýnist	sfm3en	sýna
þó	aa	þó
svo	aa	svo
fyrir	aþ	fyrir
oss	fp1fþ	vér
sem	c	sem
það	fphen	það
sé	svg3en	vera
ómögulegt	lhensf	ómögulegur
,	,	,
og	c	og
er	sfg3en	vera
á	aþ	á
að	cn	að
sjá	sng	sjá
sem	c	sem
vér	fp1fn	vér
séum	svg1fn	vera
allra	fovfe	allur
þjóða	nvfe	þjóð
bann	nhen	bann
og	c	og
þær	favfn	sá
skepnur	nvfn	skepna
,	,	,
sem	ct	sem
enginn	foken	enginn
ann	sfg3en	unna
,	,	,
en	c	en
vor	feken	vor
guð	nken	guð
hann	fpken	hann
unni	svg3en	unna
oss	fp1fþ	vér
og	c	og
hafi	svg3en	hafa
í	aþ	í
sinni	feveþ	sinn
heilagri	lveþsf	heilagur
ástsemi	nveþ	ástsemi
,	,	,
en	c	en
guð	nken	guð
gefi	svg3en	gefa
yður	fp2fþ	þér
langa	lveosf	langur
og	c	og
góða	lveosf	góður
lukkusemi	nveo	lukkusemi
,	,	,
langa	lveosf	langur
og	c	og
góða	lveosf	góður
velgengni	nveo	velgengni
,	,	,
langa	lveosf	langur
og	c	og
góða	lveosf	góður
heill	nveo	heill
og	c	og
friðsemi	nveo	friðsemi
,	,	,
langt	lheosf	langur
og	c	og
gott	lheosf	góður
líf	nheo	líf
og	c	og
langa	lkfosf	langur
lífdaga	nkfo	lífdagar
.	.	.

Hún	fpven	hún
var	sfg3eþ	vera
enn	aa	enn
farin	sþgven	fara
að	cn	að
biðja	sng	biðja
fyrir	aþ	fyrir
honum	fpkeþ	hann
.	.	.

Hún	fpven	hún
sá	sfg3eþ	sjá
Eyjólf	nkeo-s	Eyjólfur
fyrir	aþ	fyrir
sér	fpveþ	sig
eins	aa	eins
og	c	og
hann	fpken	hann
birtist	sfm3en	birta
henni	fpveþ	hún
forðum	aa	forðum
tíð	nveo	tíð
þegar	c	þegar
hún	fpven	hún
var	sfg3eþ	vera
á	aþ	á
flótta	nkeþ	flótti
með	ao	með
prestsbörnin	nhfog	prestsbarn
undan	aþ	undan
ensku	lkfþvf	enskur
ræningjunum	nkfþg	ræningi
.	.	.

Sá	sfg3eþ	sjá
hann	fpken	hann
koma	sng	koma
holdvotan	lkeosf	holdvotur
út	aa	út
úr	aþ	úr
þokunni	nveþg	þoka
,	,	,
ungan	lkeosf	ungur
og	c	og
sterkan	lkeosf	sterkur
,	,	,
ríðandi	slg	ríða
á	aþ	á
Grána	nkeþ-s	Gráni
og	c	og
hann	fpken	hann
hafði	sfg3eþ	hafa
sett	ssg	setja
hana	fpveo	hún
upp	aa	upp
á	ao	á
hestinn	nkeog	hestur
fyrir	ao	fyrir
framan	aa	framan
sig	fpkeo	sig
.	.	.

Bjargvættur	nken	bjargvættur
hennar	fpvee	hún
.	.	.

Hún	fpven	hún
mundi	sfg3eþ	muna
svo	aa	svo
glöggt	aa	glöggt
hvernig	aa	hvernig
óttinn	nkeng	ótti
hvarf	sfg3eþ	hverfa
fyrir	aþ	fyrir
öryggiskenndinni	nveþg	öryggiskennd
og	c	og
hlýjunni	nveþg	hlýja
í	aþ	í
faðmi	nkeþ	faðmur
hans	fpkee	hann
þá	aa	þá
og	c	og
einnig	aa	einnig
síðar	aam	síðar
.	.	.

Hún	fpven	hún
þakkaði	sfg3eþ	þakka
honum	fpkeþ	hann
mörgum	lhfþsf	margur
fögrum	lhfþsf	fagur
orðum	nhfþ	orð
alla	fokfo	allur
hans	fpkee	hann
velgjörninga	nkfo	velgjörningur
,	,	,
trú	nveo	trú
og	c	og
dyggð	nveo	dyggð
sem	ct	sem
hann	fpken	hann
hefði	svg3eþ	hafa
auðsýnt	ssg	auðsýna
henni	fpveþ	hún
.	.	.

Bara	aa	bara
að	c	að
hann	fpken	hann
gæti	svg3eþ	geta
bjargað	ssg	bjarga
henni	fpveþ	hún
nú	aa	nú
.	.	.

Það	fphen	það
var	sfg3eþ	vera
mikill	lkensf	mikill
háski	nken	háski
á	aþ	á
ferðum	nvfþ	ferð
.	.	.

Sá	faken	sá
mesti	lkenve	mikill
að	c	að
hún	fpven	hún
gæfist	svm3eþ	gefa
upp	aa	upp
.	.	.

Hana	fpveo	hún
langaði	sfg3eþ	langa
að	cn	að
hrópa	sng	hrópa
hátt	aa	hátt
á	ao	á
björgun	nveo	björgun
.	.	.

Langaði	sfg3eþ	langa
svo	aa	svo
heitt	aa	heitt
að	c	að
hann	fpken	hann
kæmi	svg3eþ	koma
strax	aa	strax
.	.	.

Hún	fpven	hún
hafði	sfg3eþ	hafa
ekki	aa	ekki
þrek	nheo	þrek
til	ae	til
að	cn	að
bíða	sng	bíða
.	.	.

Hana	fpveo	hún
var	sfg3eþ	vera
að	cn	að
bresta	sng	bresta
þolgæði	nheo	þolgæði
.	.	.

Fannst	sfm3eþ	finna
hún	fpven	hún
vera	sng	vera
að	cn	að
kikna	sng	kikna
.	.	.

Vissi	sfg3eþ	vita
þó	aa	þó
um	ao	um
leið	nveo	leið
að	c	að
einmitt	aa	einmitt
það	fphen	það
mátti	sfg3eþ	mega
ekki	aa	ekki
henda	sng	henda
.	.	.

Ef	c	ef
hún	fpven	hún
átti	sfg3eþ	eiga
að	cn	að
eygja	sng	eygja
einhverja	foveo	einhver
von	nveo	von
um	ao	um
lausn	nveo	lausn
úr	aþ	úr
ánauð	nveþ	ánauð
þá	aa	þá
varð	sfg3eþ	verða
hún	fpven	hún
fyrst	aae	fyrr
og	c	og
fremst	aae	fremur
að	cn	að
sýna	sng	sýna
þolgæði	nheo	þolgæði
og	c	og
þrautseigju	nveo	þrautseigja
.	.	.

Annars	aa	annars
gæti	svg3eþ	geta
farið	ssg	fara
fyrir	aþ	fyrir
henni	fpveþ	hún
eins	aa	eins
og	c	og
Önnu	nveþ-s	Anna
Katrine	e	Katrine
.	.	.

Hún	fpven	hún
mátti	sfg3eþ	mega
ekki	aa	ekki
gefast	snm	gefa
upp	aa	upp
!	!	!

Vér	fp1fn	vér
vitum	sfg1fn	vita
hvað	fsheo	hver
vér	fp1fn	vér
skrifum	sfg1fn	skrifa
.	.	.

Hún	fpven	hún
veit	sfg3en	vita
líka	aa	líka
hvað	fsheo	hver
hún	fpven	hún
skrifar	sfg3en	skrifa
ekki	aa	ekki
.	.	.

Hún	fpven	hún
skrifar	sfg3en	skrifa
ekkert	foheo	enginn
sem	ct	sem
ókunnugur	lkensf	ókunnugur
milligöngumaður	nken	milligöngumaður
má	sfg3en	mega
ekki	aa	ekki
lesa	sng	lesa
.	.	.

En	c	en
það	fphen	það
,	,	,
sem	ct	sem
er	sfg3en	vera
að	cn	að
tala	sng	tala
um	ao	um
mína	feveo	minn
aumu	lveovf	aumur
ævi	nveo	ævi
,	,	,
er	sfg3en	vera
hið	ghen	hinn
fyrsta	lhenve	fyrstur
,	,	,
að	c	að
eg	fp1en	ég
hjari	sfg1en	hjara
,	,	,
einkum	aa	einkum
fyrir	ao	fyrir
guðs	nkee	guð
náð	nveo	náð
og	c	og
sérlega	aa	sérlega
velgjörninga	nkfo	velgjörningur
,	,	,
verandi	slg	vera
hér	aa	hér
í	aþ	í
Barbaríi	nheþ-s	barbarí
og	c	og
í	aþ	í
einum	tfkeþ	einn
tyrkneskum	lkeþsf	tyrkneskur
stað	nkeþ	staður
,	,	,
sem	ct	sem
heitir	sfg3en	heita
Areiel	e	Areiel
,	,	,
hjá	aþ	hjá
einum	tfkeþ	einn
Tyrkja	nkeþ-s	Tyrki
,	,	,
.	.	.

.	.	.

.	.	.

Hún	fpven	hún
áræddi	sfg3eþ	áræða
ekki	aa	ekki
að	cn	að
nefna	sng	nefna
nafn	nheo	nafn
mannsins	nkeeg	maður
.	.	.

.	.	.

.	.	.

.	.	.

hjá	aþ	hjá
einum	tfkeþ	einn
Tyrkja	nkeþ-s	Tyrki
,	,	,
er	ct	er
mig	fp1eo	ég
keypti	sfg3eþ	kaupa
með	ao	með
það	fpheo	það
fyrsta	lheove	fyrstur
og	c	og
mína	feveo	minn
barnkind	nveo	barnkind
,	,	,
hvað	fshen	hver
að	c	að
mig	fp1eo	ég
gjörði	sfg3eþ	gjöra
bæði	c	bæði
að	cn	að
hryggja	sng	hryggja
og	c	og
gleðja	sng	gleðja
í	aþ	í
mínum	fevfþ	minn
hörmungum	nvfþ	hörmung
,	,	,
og	c	og
undir	aþ	undir
þessu	faheþ	þessi
drottins	nkee	drottinn
maklega	aa	maklega
álagða	lheþsf	álagða
hrísi	nheþ	hrís
og	c	og
krossins	nkeeg	kross
þunga	nkeþ	þungi
hryggðist	sfm1eþ	hryggja
eg	fp1en	ég
og	c	og
særist	sfm1en	særa
daglega	aa	daglega
,	,	,
að	cn	að
vita	sng	vita
hann	fpkeo	hann
í	aþ	í
þvílíkri	fbveþ	þvílíkur
neyð	nveþ	neyð
og	c	og
háska	nkeþ	háski
,	,	,
sem	ct	sem
oss	fp1fo	vér
er	sfg3en	vera
uppá	aa	uppá
lagt	sþghen	leggja
vegna	ae	vegna
vorra	fevfe	vor
synda	nvfe	synd
,	,	,
en	c	en
ég	fp1en	ég
gleðst	sfm1en	gleðja
í	aþ	í
guði	nkeþ	guð
og	c	og
í	aþ	í
því	fpheþ	það
nokkurn	fokeo	nokkur
part	nkeo	partur
.	.	.

.	.	.

.	.	.

Hún	fpven	hún
dýfði	sfg3eþ	dýfa
fjöðrinni	nveþg	fjöður
í	ao	í
blekið	nheog	blek
.	.	.

Hvernig	aa	hvernig
gat	sfg3eþ	geta
hún	fpven	hún
lýst	ssg	lýsa
þakklæti	nheþ	þakklæti
sínu	feheþ	sinn
fyrir	ao	fyrir
það	fpheo	það
að	c	að
hún	fpven	hún
hafði	sfg3eþ	hafa
fengið	ssg	fá
að	cn	að
hafa	sng	hafa
son	nkeo	sonur
sinn	fekeo	sinn
hjá	aþ	hjá
sér	fpveþ	sig
til	ae	til
þessa	fakee	þessi
dags	nkee	dagur
,	,	,
þegar	c	þegar
svo	aa	svo
margir	lkfnsf	margur
landsmenn	nkfn	landsmaður
þeirra	fphfe	það
höfðu	sfg3fþ	hafa
misst	ssg	missa
börn	nhfo	barn
sín	fehfo	sinn
ýmist	c	ýmist
á	ao	á
vald	nheo	vald
vondra	lkfesf	vondur
manna	nkfe	maður
og	c	og
villutrúar	nvee	villutrú
eða	c	eða
í	ao	í
gröfina	nveog	gröf
?	?	?

Hvað	fsheo	hver
átti	sfg3eþ	eiga
hún	fpven	hún
að	cn	að
segja	sng	segja
Eyjólfi	nkeþ-s	Eyjólfur
um	ao	um
Sölmund	nkeo-s	Sölmundur
fyrir	ao	fyrir
utan	aa	utan
það	fpheo	það
að	c	að
sonur	nken	sonur
þeirra	fphfe	það
væri	svg3eþ	vera
við	ao	við
góða	lveosf	góður
heilsu	nveo	heilsa
nú	aa	nú
og	c	og
efnisbarn	nhen	efnisbarn
sem	ct	sem
fyrr	aam	fyrr
?	?	?

Átti	sfg3eþ	eiga
hún	fpven	hún
að	cn	að
hrella	sng	hrella
hann	fpkeo	hann
með	aþ	með
því	fpheþ	það
að	cn	að
lýsa	sng	lýsa
því	faheþ	sá
harðræði	nheþ	harðræði
sem	ct	sem
drengurinn	nkeng	drengur
hafði	sfg3eþ	hafa
mátt	ssg	mega
þola	sng	þola
?	?	?

Átti	sfg3eþ	eiga
hún	fpven	hún
að	cn	að
nefna	sng	nefna
áhyggjur	nvfo	áhyggja
sínar	fevfo	sinn
af	aþ	af
þeim	fahfþ	sá
óhollu	lhfþvf	óhollur
áhrifum	nhfþ	áhrif
sem	ct	sem
hann	fpken	hann
yrði	svg3eþ	verða
fyrir	aa	fyrir
í	aþ	í
samskiptum	nhfþ	samskipti
sínum	fehfþ	sinn
við	ao	við
þarlent	lheosf	þarlendur
fólk	nheo	fólk
,	,	,
ekki	aa	ekki
síst	aae	síður
börnin	nhfog	barn
?	?	?

Að	c	að
hann	fpken	hann
hefði	svg3eþ	hafa
einu	foheþ	einn
sinni	nheþ	sinn
sagt	ssg	segja
að	c	að
það	fphen	það
væri	svg3eþ	vera
enginn	foken	enginn
guð	nken	guð
nema	c	nema
Allah	e	Allah
?	?	?

Nei	au	nei
,	,	,
slíkt	fbheo	slíkur
mætti	svg3eþ	mega
hún	fpven	hún
aldrei	aa	aldrei
setja	sng	setja
á	ao	á
blað	nheo	blað
.	.	.

Samanborið	sþghen	samanbera
við	ao	við
skattastefnu	nveo	skattastefna
nágrannalanda	nhfe	nágrannaland
okkar	fp1fe	ég
er	sfg3en	vera
skattastefna	nven	skattastefna
hér	aa	hér
á	aþ	á
landi	nheþ	land
fjölskyldum	nvfþ	fjölskylda
,	,	,
einkum	aa	einkum
barnafjölskyldum	nvfþ	barnafjölskylda
,	,	,
mjög	aa	mjög
í	ao	í
óhag	nkeo	óhagur
.	.	.

Þannig	aa	þannig
eru	sfg3fn	vera
,	,	,
þegar	c	þegar
á	ao	á
heildina	nveog	heild
er	sfg3en	vera
litið	sþghen	líta
,	,	,
engar	fovfn	enginn
meginreglur	nvfn	meginregla
í	aþ	í
gildi	nheþ	gildi
um	aa	um
með	aþ	með
hvaða	fskeþ	hvaða
hætti	nkeþ	háttur
á	sfg3en	eiga
að	cn	að
taka	sng	taka
tillit	nheo	tillit
til	ae	til
framfærslukostnaðar	nkee	framfærslukostnaður
barna	nhfe	barn
.	.	.

Bragi	nken-s	Bragi
(	(	(
1994	ta	1994
)	)	)
bendir	sfg3en	benda
á	ao	á
að	c	að
vert	lhensf	verður
sé	svg3en	vera
að	cn	að
hafa	sng	hafa
í	aþ	í
huga	nkeþ	hugi
að	c	að
börn	nhfn	barn
eru	sfg3fn	vera
meginástæða	nven	meginástæða
mismunandi	lveeof	mismunandi
framfærslubyrði	nvee	framfærslubyrði
fjölskyldna	nvfe	fjölskylda
og	c	og
því	aa	því
hefði	svg3eþ	hafa
mátt	ssg	mega
ætla	sng	ætla
að	c	að
tekið	sþghen	taka
væri	svg3eþ	vera
yfirlýst	lhensf	yfirlýstur
tillit	nhen	tillit
til	ae	til
fjölda	nkee	fjöldi
barna	nhfe	barn
í	aþ	í
fjölskyldum	nvfþ	fjölskylda
við	ao	við
framtal	nheo	framtal
barnafjölskyldna	nvfe	barnafjölskylda
.	.	.

Svo	aa	svo
er	sfg3en	vera
þó	aa	þó
ekki	aa	ekki
þó	aa	þó
í	aþ	í
íslenskum	lhfþsf	íslenskur
skattalögum	nhfþ	skattalög
sé	svg3en	vera
að	cn	að
finna	sng	finna
margskonar	lvfosf	margskonar
ráðstafanir	nvfo	ráðstöfun
sem	ct	sem
varða	sfg3fn	varða
óbeint	aa	óbeint
framfærslu	nveo	framfærsla
barna	nhfe	barn
(	(	(
Bragi	nken-s	Bragi
,	,	,
1994	ta	1994
)	)	)
.	.	.

Niðurstaða	nven	niðurstaða
Braga	nkee-s	Bragi
(	(	(
1994	ta	1994
)	)	)
er	sfg3en	vera
í	aþ	í
stuttu	lheþsf	stuttur
máli	nheþ	mál
sú	faven	sá
að	c	að
þrátt	aa	þrátt
fyrir	ao	fyrir
að	c	að
fjölskyldan	nveng	fjölskylda
skipi	svg3en	skipa
ákveðinn	lkeosf	ákveðinn
sess	nkeo	sess
í	aþ	í
hinu	gheþ	hinn
opinbera	lheþvf	opinber
velferðarkerfi	nheþ	velferðarkerfi
og	c	og
að	c	að
á	ao	á
ýmsan	fokeo	ýmis
hátt	nkeo	háttur
sé	svg3en	vera
tekið	sþghen	taka
tillit	nhen	tillit
til	ae	til
hennar	fpvee	hún
þá	aa	þá
sé	svg3en	vera
ekki	aa	ekki
að	cn	að
finna	sng	finna
neina	foveo	neinn
heildarstefnu	nveo	heildarstefna
í	aþ	í
fjölskyldumálum	nhfþ	fjölskyldumál
á	aþ	á
Íslandi	nheþ-s	Ísland
.	.	.

Velferðarkerfið	nheng	velferðarkerfi
er	sfg3en	vera
almennt	aa	almennt
skipulagt	lhensf	skipulagður
út	aa	út
frá	aþ	frá
öðrum	fohfþ	annar
yfirlýstum	lhfþsf	yfirlýstur
markmiðum	nhfþ	markmið
en	c	en
velferð	nveþ	velferð
fjölskyldunnar	nveeg	fjölskylda
.	.	.

Það	fphen	það
beinist	sfm3en	beina
þannig	aa	þannig
gjarnan	aa	gjarnan
að	aþ	að
tilteknum	lhfþsf	tiltekinn
viðfangsefnum	nhfþ	viðfangsefni
og	c	og
hópum	nkfþ	hópur
eins	aa	eins
og	c	og
nemendum	nkfþ	nemandi
,	,	,
fötluðum	lkfþsf	fatlaður
og	c	og
sjúkum	lkfþsf	sjúkur
,	,	,
sem	ct	sem
gerir	sfg3en	gera
það	fpheo	það
að	aþ	að
verkum	nhfþ	verk
að	c	að
fjölskyldan	nveng	fjölskylda
verður	sfg3en	verða
einskonar	lvenof	einskonar
afgangsstærð	nven	afgangsstærð
.	.	.

Þá	aa	þá
sé	svg3en	vera
velferðarkerfið	nheng	velferðarkerfi
á	aþ	á
hendi	nveþ	hönd
mismunandi	lkfeof	mismunandi
stjórnsýsluaðila	nkfe	stjórnsýsluaðili
;	;	;
ríkis	nhee	ríki
og	c	og
sveitarfélaga	nhfe	sveitarfélag
,	,	,
ráðuneyta	nhfe	ráðuneyti
og	c	og
stjórnsýslustofnana	nvfe	stjórnsýslustofnun
,	,	,
og	c	og
þess	fphee	það
vegna	ae	vegna
séu	svg3fn	vera
velferðarráðstafanir	nvfn	velferðarráðstöfun
oft	aa	oft
ómarkvissar	lvfnsf	ómarkviss
með	aþ	með
tilliti	nheþ	tillit
til	ae	til
þarfa	nvfe	þörf
fjölskyldunnar	nveeg	fjölskylda
.	.	.

Aðgerðir	nvfn	aðgerð
stjórnvalda	nhfe	stjórnvald
geta	sfg3fn	geta
jafnvel	aa	jafnvel
haft	ssg	hafa
mótverkandi	lhfoof	mótverkandi
áhrif	nhfo	áhrif
.	.	.

Opinber	lvensf	opinber
umræða	nven	umræða
um	ao	um
fjölskylduna	nveog	fjölskylda
hefur	sfg3en	hafa
ennfremur	aa	ennfremur
tilhneigingu	nveo	tilhneiging
til	ae	til
að	cn	að
vera	sng	vera
lítil	lvensf	lítill
þar	aa	þar
sem	c	sem
velferð	nven	velferð
hennar	fpvee	hún
er	sfg3en	vera
ekki	aa	ekki
yfirlýst	lhensf	yfirlýstur
markmið	nhen	markmið
hins	ghee	hinn
opinbera	lheevf	opinber
.	.	.

Farveg	nkeo	farvegur
skorti	sfg3eþ	skorta
einfaldlega	aa	einfaldlega
fyrir	ao	fyrir
þá	faveo	sá
umfjöllun	nveo	umfjöllun
.	.	.

Að	aþ	að
mati	nheþ	mat
Braga	nkee-s	Bragi
(	(	(
1994	ta	1994
)	)	)
er	sfg3en	vera
þetta	fahen	þessi
meginástæða	nven	meginástæða
þess	fphee	það
að	c	að
sjaldnast	aae	sjaldan
er	sfg3en	vera
gerð	sþgven	gera
tilraun	nven	tilraun
til	ae	til
að	cn	að
svara	sng	svara
áleitnum	lvfþsf	áleitinn
grundvallarspurningum	nvfþ	grundvallarspurning
um	ao	um
verkefni	nhfo	verkefni
fjölskyldunnar	nveeg	fjölskylda
,	,	,
svo	aa	svo
ráðstafanir	nvfn	ráðstöfun
hins	ghee	hinn
opinbera	lheevf	opinber
geti	svg3fn	geta
tekið	ssg	taka
mið	nheo	mið
af	aþ	af
svörum	nhfþ	svar
við	aþ	við
slíkum	fbvfþ	slíkur
spurningum	nvfþ	spurning
.	.	.

Síðan	aa	síðan
Bragi	nken-s	Bragi
fjallaði	sfg3eþ	fjalla
um	ao	um
þetta	faheo	þessi
efni	nheo	efni
árið	nheog	ár
1994	ta	1994
í	aþ	í
tilefni	nheþ	tilefni
af	aþ	af
Ári	nheþ	ár
fjölskyldunnar	nveeg	fjölskylda
hafa	sfg3fn	hafa
stjórnvöld	nhfn	stjórnvald
unnið	ssg	vinna
að	aþ	að
mótun	nveþ	mótun
fjölskyldustefnu	nvee	fjölskyldustefna
.	.	.

Alþingi	nhen-s	Alþingi
samþykkti	sfg3eþ	samþykkja
þann	fakeo	sá
13.	ta	13.
maí	nkeo	maí
1997	ta	1997
aðgerðir	nvfo	aðgerð
til	ae	til
að	cn	að
styrkja	sng	styrkja
stöðu	nveo	staða
fjölskyldunnar	nveeg	fjölskylda
.	.	.

Þá	aa	þá
var	sfg3eþ	vera
stofnað	sþghen	stofna
til	ae	til
svokallaðs	lheesf	svokallaður
fjölskylduráðs	nhee	fjölskylduráð
sem	ct	sem
skyldi	svg3eþ	skulu
vinna	sng	vinna
að	aþ	að
mótun	nveþ	mótun
