listamaðurinn	nkeng	listamaður
verið	ssg	vera
verkefnastjóri	nken	verkefnastjóri
hjá	aþ	hjá
AP-almannatengslum	nhfþ-s	AP-almannatengsl
ehf.	as	ehf.

Margit	nven-s	Margit
er	sfg3en	vera
gift	lvensf	giftur
Guðmundi	nkeþ-s	Guðmundur
Emil	nkeþ-s	Emil
Jónssyni	nkeþ-s	Jónsson
matreiðslumeistara	nkeþ	matreiðslumeistari
og	c	og
eiga	sfg3fn	eiga
þau	fphfn	það
tvo	tfkfo	tveir
syni	nkfo	sonur
.	.	.

Guðmundur	nken-s	Guðmundur
á	sfg3en	eiga
þrjú	tfhfo	þrír
börn	nhfo	barn
frá	aþ	frá
fyrra	lheþvm	fyrri
hjónabandi	nheþ	hjónaband
.	.	.

Stórsýningin	nveng	stórsýning
Verk	nhen-s	Verk
og	c	og
vit	nhen	vit
2006	ta	2006
verður	sfg3en	verða
haldin	sþgven	halda
16.	ta	16.
til	ae	til
19.	ta	19.
mars	nkee	mars
í	aþ	í
nýju	lveþvf	nýr
íþrótta-	nveþg	íþróttahöll
og	c	og
sýningarhöllinni	nveþg	sýningarhöll
í	aþ	í
Laugardal	nkeþ-s	Laugardalur
.	.	.

Á	aþ	á
sýningunni	nveþg	sýning
munu	sfg3fn	munu
um	aa	um
120	ta	120
fyrirtæki	nhfn	fyrirtæki
í	aþ	í
byggingariðnaði	nkeþ	byggingariðnaður
og	c	og
mannvirkjagerð	nveþ	mannvirkjagerð
,	,	,
sveitarfélög	nhfn	sveitarfélag
,	,	,
hönnuðir	nkfn	hönnuður
og	c	og
ráðgjafar	nkfn	ráðgjafi
kynna	sng	kynna
starfsemi	nveo	starfsemi
sína	feveo	sinn
.	.	.

Megináhersla	nven	megináhersla
verður	sfg3en	verða
lögð	sþgven	leggja
á	ao	á
fagmennsku	nveo	fagmennska
,	,	,
aukna	lveosf	aukinn
þekkingu	nveo	þekking
og	c	og
tækninýjungar	nvfo	tækninýjung
í	aþ	í
byggingariðnaði	nkeþ	byggingariðnaður
og	c	og
mannvirkjagerð	nveþ	mannvirkjagerð
en	c	en
mjög	aa	mjög
örar	lvfnsf	ör
framfarir	nvfn	framför
hafa	sfg3fn	hafa
orðið	ssg	verða
á	aþ	á
þessu	faheþ	þessi
sviði	nheþ	svið
undanfarin	lhfosf	undanfarinn
ár	nhfo	ár
.	.	.

Einnig	aa	einnig
er	sfg3en	vera
lögð	sþgven	leggja
áhersla	nven	áhersla
á	ao	á
nýjar	lvfosf	nýr
lausnir	nvfo	lausn
í	aþ	í
viðhaldi	nheþ	viðhald
og	c	og
eflingu	nveþ	efling
viðskiptatengsla	nhfe	viðskiptatengsl
.	.	.

Í	aþ	í
tengslum	nhfþ	tengsl
við	ao	við
sýninguna	nveog	sýning
,	,	,
sem	ct	sem
er	sfg3en	vera
bæði	c	bæði
fyrir	ao	fyrir
fagaðila	nkfo	fagaðili
og	c	og
almenning	nkeo	almenningur
,	,	,
verða	sfg3fn	verða
haldnar	sþgvfn	halda
ráðstefnur	nvfn	ráðstefna
,	,	,
kynningarfundir	nkfn	kynningarfundur
og	c	og
fleiri	lkfnvm	margur
viðburðir	nkfn	viðburður
,	,	,
segir	sfg3en	segja
Margit	nven-s	Margit
Elva	nven-s	Elva
Einarsdóttir	nven-s	Einarsdóttir
,	,	,
framkvæmdastjóri	nken	framkvæmdastjóri
sýningarinnar	nveeg	sýning
.	.	.

Sýningin	nveng	sýning
Verk	nhen-s	Verk
og	c	og
vit	nhen	vit
er	sfg3en	vera
sjálfstætt	lhensf	sjálfstæður
framhald	nhen	framhald
sýningarinnar	nveeg	sýning
Construct	e	Construct
Nord	e	Nord
sem	ct	sem
haldin	sþgven	halda
var	sfg3eþ	vera
í	aþ	í
Laugardalshöll	nveþ-s	Laugardalshöll
2002	ta	2002
.	.	.

Sýningin	nveng	sýning
er	sfg3en	vera
afar	aa	afar
fjölbreytt	lvensf	fjölbreyttur
og	c	og
spannar	sfg3en	spanna
öll	fohfo	allur
svið	nhfo	svið
byggingar-	nvee	byggingargerð
og	c	og
mannvirkjagerðar	nvee	mannvirkjagerð
og	c	og
skipulagsmála	nhfe	skipulagsmál
.	.	.

Fjölmargir	lkfnsf	fjölmargur
aðilar	nkfn	aðili
og	c	og
fyrirtæki	nhfn	fyrirtæki
taka	sfg3fn	taka
þátt	nkeo	þáttur
í	aþ	í
henni	fpveþ	hún
og	c	og
ættu	svg3fþ	eiga
allir	fokfn	allur
að	cn	að
finna	sng	finna
eitthvað	foheo	einhver
við	ao	við
sitt	feheo	sinn
hæfi	nheo	hæfi
.	.	.

Til	ae	til
frekari	lkeevm	frekur
fróðleiks	nkee	fróðleikur
fyrir	ao	fyrir
sýningargesti	nkfo	sýningargestur
verður	sfg3en	verða
haldin	sþgven	halda
ráðstefna	nven	ráðstefna
um	ao	um
rekstur	nkeo	rekstur
fasteigna	nvfe	fasteignir
og	c	og
kynningarfundir	nkfn	kynningarfundur
,	,	,
m.a.	as	m.a.
um	ao	um
heilbrigðan	lkeosf	heilbrigður
útboðsmarkað	nkeo	útboðsmarkaður
,	,	,
nýja	lveosf	nýr
tónlistar-	nveo	tónlistarmiðstöð
og	c	og
ráðstefnumiðstöð	nveo	ráðstefnumiðstöð
við	ao	við
Austurhöfn	nveo-s	Austurhöfn
og	c	og
nýjan	lkeosf	nýr
Landspítala	nkeo-s	Landspítali
.	.	.

Ennfremur	aa	ennfremur
mun	sfg3en	munu
Reykjavíkurborg	nven-s	Reykjavíkurborg
kynna	sng	kynna
hvað	fshen	hver
efst	aae	ofar
er	sfg3en	vera
á	aþ	á
baugi	nkeþ	baugur
í	aþ	í
skipulagsmálum	nhfþ	skipulagsmál
,	,	,
segir	sfg3en	segja
Margit	nven-s	Margit
.	.	.

Mikill	lkensf	mikill
vöxtur	nken	vöxtur
og	c	og
uppgangur	nken	uppgangur
hefur	sfg3en	hafa
verið	ssg	vera
í	aþ	í
byggingarstarfsemi	nveþ	byggingarstarfsemi
og	c	og
mannvirkjagerð	nveþ	mannvirkjagerð
síðustu	lhfove	síðari
ár	nhfo	ár
,	,	,
og	c	og
til	ae	til
marks	nhee	mark
um	ao	um
það	fpheo	það
var	sfg3eþ	vera
velta	nven	velta
þessa	fakee	þessi
hluta	nkee	hluti
atvinnulífsins	nheeg	atvinnulíf
fyrstu	lkfove	fyrstur
6	ta	6
mánuði	nkfo	mánuður
síðasta	lheeve	síðari
árs	nhee	ár
tæpir	lkfnsf	tæpur
63	ta	63
milljarðar	nkfn	milljarður
króna	nvfe	króna
,	,	,
sem	ct	sem
er	sfg3en	vera
um	aa	um
þriðjungsaukning	nven	þriðjungsaukning
frá	aþ	frá
sama	fbkeþ	sami
tíma	nkeþ	tími
árið	nheog	ár
áður	aa	áður
.	.	.

Valgerður	nven-s	Valgerður
Sverrisdóttir	nven-s	Sverrisdóttir
,	,	,
ráðherra	nken	ráðherra
iðnaðar-	nhfe	iðnaðarmál
og	c	og
viðskiptamála	nhfe	viðskiptamál
,	,	,
opnar	sfg3en	opna
sýninguna	nveog	sýning
formlega	aa	formlega
að	aþ	að
viðstöddum	lkfþsf	viðstaddur
boðsgestum	nkfþ	boðsgestur
16.	ta	16.
mars	nkeo	mars
.	.	.

Sýningin	nveng	sýning
er	sfg3en	vera
opin	lvensf	opinn
almenningi	nkeþ	almenningur
laugardaginn	nkeog	laugardagur
18.	ta	18.
mars	nkeo	mars
og	c	og
sunnudaginn	nkeog	sunnudagur
19.	ta	19.
mars	nkeo	mars
kl.	as	kl.
12	ta	12
til	aa	til
17	ta	17
báða	fokfo	báðir
dagana	nkfog	dagur
.	.	.

Dagskrá	nveo	dagskrá
og	c	og
frekari	lvfovm	frekur
upplýsingar	nvfo	upplýsing
má	sfg3en	mega
finna	sng	finna
á	aþ	á
heimasíðu	nveþ	heimasíða
sýningarinnar	nveeg	sýning
,	,	,
www.verkogvit.is	v	www.verkogvit.is
.	.	.

Þar	aa	þar
má	sfg3en	mega
einnig	aa	einnig
sjá	sng	sjá
skipulagningu	nveo	skipulagning
sýningarrýmis	nhee	sýningarrými
og	c	og
nálgast	snm	nálgast
lista	nkeo	listi
yfir	ao	yfir
sýnendur	nkfo	sýnandi
,	,	,
sem	aa	sem
og	c	og
kaupa	sng	kaupa
miða	nkfo	miði
að	aþ	að
sýningunni	nveþg	sýning
.	.	.

Sýningin	nveng	sýning
er	sfg3en	vera
haldin	sþgven	halda
í	aþ	í
samstarfi	nheþ	samstarf
við	ao	við
iðnaðar-	nheog	iðnaðarráðuneyti
og	c	og
viðskiptaráðuneytið	nheog	viðskiptaráðuneyti
,	,	,
Reykjavíkurborg	nveo-s	Reykjavíkurborg
,	,	,
Samtök	nhfo-s	Samtök
iðnaðarins	nkeeg	iðnaður
,	,	,
Landsbankann	nkeogs	Landsbanki
og	c	og
Ístak	nheo-s	Ístak
.	.	.

Skipulagning	nven	skipulagning
ráðstefnunnar	nveeg	ráðstefna
er	sfg3en	vera
í	aþ	í
höndum	nvfþ	hönd
AP	as	AP
sýninga	nvfe	sýning
,	,	,
sem	ct	sem
er	sfg3en	vera
í	aþ	í
eigu	nveþ	eiga
AP	as	AP
almannatengsla	nhfe	almannatengsl
hf.	as	hf.

Vorferðalag	nhen	vorferðalag
fermingarbarna	nhfe	fermingarbarn
Selfosskirkju	nvee-s	Selfosskirkja
í	ao	í
Skálholt	nheo-s	Skálholt
Þriðjudaginn	nkeog	þriðjudagur
14.	ta	14.
og	c	og
miðvikudaginn	nkeog	miðvikudagur
15.	ta	15.
mars	nkeo	mars
fara	sfg3fn	fara
fermingarbörn	nhfn	fermingarbarn
Selfosskirkju	nvee-s	Selfosskirkja
í	ao	í
ferðalag	nheo	ferðalag
í	ao	í
Skálholt	nheo-s	Skálholt
.	.	.

Skólastjóri	nken	skólastjóri
hefur	sfg3en	hafa
veitt	ssg	veita
börnunum	nhfþg	barn
leyfi	nheo	leyfi
frá	aþ	frá
skóla	nkeþ	skóli
þessa	fakfo	þessi
daga	nkfo	dagur
.	.	.

Á	aþ	á
þriðjudeginum	nkeþg	þriðjudagur
fara	sfg3fn	fara
8	ta	8
.	.	.
GBG	as	GBG
og	c	og
8	ta	8
.	.	.
SIÞ	as	SIÞ
,	,	,
en	c	en
á	aþ	á
miðvikudeginum	nkeþg	miðvikudagur
8	ta	8
.	.	.
BA	as	BA
og	c	og
8	ta	8
.	.	.
SÞ	as	SÞ
.	.	.

Lagt	sþghen	leggja
verður	sfg3en	verða
af	aþ	af
stað	nkeþ	staður
frá	aþ	frá
Vallaskóla	nkeþ-s	Vallaskóli
kl.	as	kl.
9	ta	9
og	c	og
farið	sþghen	fara
upp	aa	upp
eftir	aa	eftir
í	aþ	í
rútu	nveþ	rúta
.	.	.

Vegna	ae	vegna
staðarskoðunar	nvee	staðarskoðun
eru	sfg3fn	vera
börnin	nhfng	barn
beðin	sþghfn	biðja
að	cn	að
hafa	sng	hafa
með	aþ	með
sér	fphfþ	sig
hlýjan	lkeosf	hlýr
skjólfatnað	nkeo	skjólfatnaður
og	c	og
góða	lkfosf	góður
skó	nkfo	skór
.	.	.

Ég	fp1en	ég
vona	sfg1en	vona
,	,	,
að	c	að
foreldrar	nkfn	foreldrar
víkist	svm3fn	víkja
vel	aa	vel
við	aa	við
og	c	og
leyfi	svg3fn	leyfa
börnum	nhfþ	barn
sínum	fehfþ	sinn
að	cn	að
fara	sng	fara
í	ao	í
þessa	faveo	þessi
ferð	nveo	ferð
,	,	,
sem	ct	sem
þótt	ssg	þykja
hefur	sfg3en	hafa
takast	snm	taka
með	aþ	með
ágætum	nhfþ	ágæti
á	aþ	á
undanförnum	lhfþsf	undanfarinn
árum	nhfþ	ár
.	.	.

Sr.	as	Sr.
Gunnar	nken-s	Gunnar
Björnsson	nken-s	Björnsson
.	.	.

Dómkirkjan	nveng	dómkirkja
þakkar	sfg3en	þakka
tónskáldi	nheþ	tónskáld
Jón	nken-s	Jón
Nordal	nken-s	Nordal
tónskáld	nhen	tónskáld
varð	sfg3eþ	verða
áttræður	lkensf	áttræður
mánudaginn	nkeog	mánudagur
6.	ta	6.
mars	nkeo	mars
.	.	.

Af	aþ	af
því	faheþ	sá
tilefni	nheþ	tilefni
verður	sfg3en	verða
flutt	sþgven	flytja
kór-	nven	kórtónlist
og	c	og
orgeltónlist	nven	orgeltónlist
eftir	ao	eftir
hann	fpkeo	hann
við	ao	við
messuna	nveog	messa
kl.	as	kl.
11	ta	11
.	.	.

Dómkórinn	nkeng	dómkór
syngur	sfg3en	syngja
kórverkið	nheog	kórverk
Lux	e	Lux
mundi	e	mundi
sem	ct	sem
var	sfg3eþ	vera
frumflutt	sþghen	frumflytja
á	aþ	á
Tónlistardögum	nkfþ-s	Tónlistardagur
Dómkirkjunnar	nveegs	Dómkirkja
1996	ta	1996
.	.	.

Skólakór	nken	skólakór
Kársness	nhee-s	Kársnes
,	,	,
undir	aþ	undir
stjórn	nveþ	stjórn
Þórunnar	nvee-s	Þórunn
Björnsdóttur	nvee-s	Björnsdóttir
,	,	,
syngur	sfg3en	syngja
Salutatio	e	Salutatio
Mariae	e	Mariae
,	,	,
sem	ct	sem
er	sfg3en	vera
Maríubæn	nven-s	Maríubæn
.	.	.

Marteinn	nken-s	Marteinn
H.	as	H.
Friðriksson	nken-s	Friðriksson
dómorganisti	nken	dómorganisti
leikur	sfg3en	leika
orgelverk	nheo	orgelverk
eftir	ao	eftir
Jón	nkeo-s	Jón
.	.	.

Prestur	nken	prestur
verður	sfg3en	verða
sr.	as	sr.
Hjálmar	nken-s	Hjálmar
Jónsson	nken-s	Jónsson
.	.	.

Verið	sbg2fn	vera
velkomin	lhfnsf	velkominn
.	.	.

Dómkirkjan	nvengs	Dómkirkja
.	.	.

Klassísk	lvensf	klassískur
messa	nven	messa
í	aþ	í
Hallgrímskirkju	nveþ-s	Hallgrímskirkja
Lux	e	Lux
Aeterna	e	Aeterna
,	,	,
sem	ct	sem
er	sfg3en	vera
áhugahópur	nken	áhugahópur
um	ao	um
klassíska	lveosf	klassískur
messu	nveo	messa
og	c	og
iðkun	nveo	iðkun
gregorssöngs	nkee	gregorssöngur
,	,	,
stendur	sfg3en	standa
fyrir	aþ	fyrir
messu	nveþ	messa
með	aþ	með
gregorslagi	nheþ	gregorslag
2.	ta	2.
sunnudag	nkeo	sunnudagur
hvers	fokee	hver
mánaðar	nkee	mánuður
kl.	as	kl.
20	ta	20
í	aþ	í
Hallgrímskirkju	nveþ-s	Hallgrímskirkja
.	.	.

Hópurinn	nkeng	hópur
kallar	sfg3en	kalla
til	ae	til
helgiþjónustu	nvee	helgiþjónusta
ýmsa	fokfo	ýmis
presta	nkfo	prestur
.	.	.

Kynning	nven	kynning
og	c	og
æfingar	nvfn	æfing
á	aþ	á
messunum	nvfþg	messa
verða	sfg3fn	verða
hálfri	lveþsf	hálfur
klukkustund	nveþ	klukkustund
fyrir	ao	fyrir
messuna	nveog	messa
sjálfa	fbveo	sjálfur
eða	c	eða
kl.	as	kl.
19.30	ta	19.30
í	aþ	í
Hallgrímskirkju	nveþ-s	Hallgrímskirkja
.	.	.

Næsta	lvenve	næstur
messa	nven	messa
verður	sfg3en	verða
sunnudaginn	nkeog	sunnudagur
12.	ta	12.
mars	nkeo	mars
kl.	as	kl.
20	ta	20
,	,	,
prestur	nken	prestur
er	sfg3en	vera
sr.	as	sr.
Sigurður	nken-s	Sigurður
Pálsson	nken-s	Pálsson
.	.	.

Allir	fokfn	allur
eru	sfg3fn	vera
hjartanlega	aa	hjartanlega
velkomnir	lkfnsf	velkominn
.	.	.

Klassísk	lvensf	klassískur
messa	nven	messa
og	c	og
gregorssöngur	nken	gregorssöngur
er	sfg3en	vera
dýrmætur	lkensf	dýrmætur
arfur	nken	arfur
kirkjunnar	nveeg	kirkja
og	c	og
kjarnmikið	lhensf	kjarnmikill
andlegt	lhensf	andlegur
fóður	nhen	fóður
.	.	.

Það	fphen	það
er	sfg3en	vera
von	nven	von
þeirra	fakfe	sá
sem	ct	sem
að	aþ	að
þessari	faveþ	þessi
messuröð	nveþ	messuröð
standa	sfg3fn	standa
að	c	að
með	aþ	með
henni	fpveþ	hún
skapist	svm3en	skapa
vettvangur	nken	vettvangur
fyrir	ao	fyrir
þau	fahfo	sá
sem	ct	sem
gleði	nveo	gleði
hafa	sfg3fn	hafa
af	aþ	af
því	fpheþ	það
að	cn	að
iðka	sng	iðka
klassíska	lkfosf	klassískur
tilbeiðsluhætti	nkfo	tilbeiðsluháttur
,	,	,
hins	gkee	hinn
elsta	lkeeve	gamall
söngs	nkee	söngur
kirkjunnar	nveeg	kirkja
,	,	,
sem	ct	sem
tjáningarform	nheo	tjáningarform
trúarinnar	nveeg	trú
.	.	.

Tveir	tfkfn	tveir
fyrrverandi	lkfnof	fyrrverandi
prófastar	nkfn	prófastur
þjóna	sfg3fn	þjóna
í	aþ	í
Grafarvogskirkju	nveþ-s	Grafarvogskirkja
Í	aþ	í
messunni	nveþg	messa
á	ao	á
morgun	nkeo	morgunn
,	,	,
kl.	as	kl.
11	ta	11
,	,	,
munu	sfg3fn	munu
tveir	tfkfn	tveir
fyrrverandi	lkfnof	fyrrverandi
prófastar	nkfn	prófastur
þjóna	sng	þjóna
í	aþ	í
Grafarvogskirkju	nveþ-s	Grafarvogskirkja
,	,	,
þeir	fpkfn	hann
sr.	as	sr.
Ágúst	nken-s	Ágúst
Sigurðsson	nken-s	Sigurðsson
,	,	,
fyrrverandi	lkenof	fyrrverandi
prófastur	nken	prófastur
í	aþ	í
Húnavatnsprófastsdæmi	nheþ-s	Húnavatnsprófastsdæmi
og	c	og
sr.	as	sr.
Sigfús	nken-s	Sigfús
Jón	nken-s	Jón
Árnason	nken-s	Árnason
,	,	,
fyrrverandi	lkenof	fyrrverandi
prófastur	nken	prófastur
í	aþ	í
Múlaprófastsdæmi	nheþ-s	Múlaprófastsdæmi
,	,	,
ásamt	aþ	ásamt
sr.	as	sr.
Bjarna	nkeþ-s	Bjarni
Þór	nkeþ-s	Þór
Bjarnasyni	nkeþ-s	Bjarnason
.	.	.

Félagar	nkfn	félagi
úr	aþ	úr
Kvennakór	nkeþ-s	kvennakór
Reykjavíkur	nvee-s	Reykjavík
syngja	sfg3fn	syngja
við	ao	við
athöfnina	nveog	athöfn
undir	aþ	undir
stjórn	nveþ	stjórn
Sigrúnar	nvee-s	Sigrún
Þorgeirsdóttur	nvee-s	Þorgeirsdóttir
.	.	.

Vignir	nken-s	Vignir
Þór	nken-s	Þór
Stefánsson	nken-s	Stefánsson
píanóleikari	nken	píanóleikari
mun	sfg3en	munu
annast	snm	anna
undirleik	nkeo	undirleikur
.	.	.

Boðið	sþghen	bjóða
verður	sfg3en	verða
upp	aa	upp
á	ao	á
kaffi	nheo	kaffi
og	c	og
kleinur	nvfo	kleina
að	aþ	að
messu	nveþ	messa
lokinni	lveþsf	lokinn
.	.	.

Guðsþjónusta	nven	guðsþjónusta
í	aþ	í
London	e	London
Sunnudaginn	nkeog	sunnudagur
19.	ta	19.
mars	nkeo	mars
verður	sfg3en	verða
Íslensk	lvensf	íslenskur
guðsþjónusta	nven	guðsþjónusta
í	aþ	í
Þýsku	lveþvf	þýskur
kirkjunni	nveþg	kirkja
á	aþ	á
Montpelier	e	Montpelier
Place	e	Place
í	aþ	í
London	e	London
og	c	og
hefst	sfm3en	hefja
athöfnin	nveng	athöfn
klukkan	nveng	klukka
15	ta	15
.	.	.

Næsta	lvenve	næstur
jarðlestarstöð	nven	jarðlestarstöð
er	sfg3en	vera
Knightsbridge	e	Knightsbridge
.	.	.

Sunnudagaskólinn	nkeng	sunnudagaskóli
verður	sfg3en	verða
aldursskiptur	lkensf	aldursskiptur
og	c	og
í	aþ	í
umsjón	nveþ	umsjón
þeirra	fpvfe	hún
Hafdísar	nvee-s	Hafdís
,	,	,
Láru	nvee-s	Lára
og	c	og
Þóru	nvee-s	Þóra
.	.	.

Einsöng	nkeo	einsöngur
syngur	sfg3en	syngja
Björg	nven-s	Björg
Þórhallsdóttir	nven-s	Þórhallsdóttir
en	c	en
einleik	nkeo	einleikur
annast	sfm3en	anna
Guðni	nken-s	Guðni
Franzson	nken-s	Franzson
.	.	.

Íslenski	lkenvf	íslenskur
kórinn	nkeng	kór
í	aþ	í
London	e	London
syngur	sfg3en	syngja
undir	aþ	undir
stjórn	nveþ	stjórn
Margrétar	nvee-s	Margrét
Sigurðardóttur	nvee-s	Sigurðardóttir
,	,	,
sem	ct	sem
nú	aa	nú
er	sfg3en	vera
á	aþ	á
heimleið	nveþ	heimleið
í	ao	í
vor	nheo	vor
til	ae	til
Íslands	nhee-s	Ísland
eftir	ao	eftir
farsæl	lhfosf	farsæll
og	c	og
góð	lhfosf	góður
störf	nhfo	starf
fyrir	ao	fyrir
kórinn	nkeog	kór
.	.	.

Eins	aa	eins
mun	sfg3en	munu
Kór	nken-s	Kór
Kvennaskólans	nkeegs	Kvennaskóli
í	aþ	í
Reykjavík	nveþ-s	Reykjavík
syngja	sng	syngja
í	aþ	í
athöfninni	nveþg	athöfn
undir	aþ	undir
stjórn	nveþ	stjórn
Margrétar	nvee-s	Margrét
Hjartardóttur	nvee-s	Hjartardóttir
en	c	en
kórinn	nkeng	kór
er	sfg3en	vera
nú	aa	nú
í	aþ	í
söngferð	nveþ	söngferð
í	aþ	í
London	e	London
.	.	.

Eftir	ao	eftir
guðsþjónustuna	nveog	guðsþjónusta
verður	sfg3en	verða
vegleg	lvensf	veglegur
kaffisala	nven	kaffisala
til	ae	til
styrktar	nvee	styrkt
starfi	nheþ	starf
Íslenska	lkeevf	íslenskur
safnaðarins	nkeeg	söfnuður
í	aþ	í
London	e	London
og	c	og
auðvitað	aa	auðvitað
eru	sfg3fn	vera
allir	fokfn	allur
velkomnir	lkfnsf	velkominn
.	.	.

Tónleikar	nkfn	tónleikar
Kórs	nkee-s	Kór
Kvennaskólans	nkeegs	Kvennaskóli
í	aþ	í
Reykjavík	nveþ-s	Reykjavík
í	aþ	í
London	e	London
Kórinn	nkeng	kór
mun	sfg3en	munu
halda	sng	halda
tónleika	nkfo	tónleikar
í	aþ	í
Þýsku	lveþvf	þýskur
kirkjunni	nveþg	kirkja
á	aþ	á
Montpelier	e	Montpelier
Place	e	Place
sunnudaginn	nkeog	sunnudagur
19.	ta	19.
mars	nkeo	mars
næstkomandi	lkeoof	næstkomandi
klukkan	nveng	klukka
17	ta	17
.	.	.

Næsta	lvenve	næstur
jarðlestarstöð	nven	jarðlestarstöð
er	sfg3en	vera
Knightsbridge	e	Knightsbridge
.	.	.

Stjórnandi	nken	stjórnandi
er	sfg3en	vera
Margrét	nven-s	Margrét
Hjartardóttir	nven-s	Hjartardóttir
og	c	og
dagskrá	nven	dagskrá
tónleikanna	nkfeg	tónleikar
verður	sfg3en	verða
fjölbreytt	lvensf	fjölbreyttur
.	.	.

Enginn	foken	enginn
aðgangseyrir	nken	aðgangseyrir
.	.	.

Kvöldvaka	nven	kvöldvaka
í	aþ	í
Fríkirkjunni	nveþgs	Fríkirkja
í	aþ	í
Hafnarfirði	nkeþ-s	Hafnarfjörður
Kvöldvaka	nven	kvöldvaka
verður	sfg3en	verða
í	aþ	í
Fríkirkjunni	nveþgs	Fríkirkja
í	aþ	í
Hafnarfirði	nkeþ-s	Hafnarfjörður
á	ao	á
morgun	nkeo	morgunn
sunnudag	nkeo	sunnudagur
kl.	as	kl.
20.	ta	20.

Umfjöllunarefni	nhen	umfjöllunarefni
kvöldvökunnar	nveeg	kvöldvaka
að	aþ	að
þessu	faheþ	þessi
sinni	nheþ	sinn
er	sfg3en	vera
fastan	nveng	fasta
og	c	og
verður	x	verða
fluttir	sþgkfn	flytja
sálmar	nkfn	sálmur
í	aþ	í
anda	nkeþ	andi
föstunnar	nveeg	fasta
.	.	.

Hljómsveit	nven	hljómsveit
og	c	og
