mennskra	lvfesf	mennskur
sjávarútvegsmála	nhfe	sjávarútvegsmál
hjá	aþ	hjá
sambandinu	nheþg	samband
í	aþ	í
því	faheþ	sá
samhengi	nheþ	samhengi
.	.	.

Hann	fpken	hann
telur	sfg3en	telja
ummælin	nhfog	ummæli
ekki	aa	ekki
gefa	sng	gefa
tilefni	nheo	tilefni
til	ae	til
bjartsýni	nvee	bjartsýni
hjá	aþ	hjá
aðildarsinnum	nkfþ	aðildarsinni
.	.	.

--	--	--
>	>	>
Jón	nken-s	Jón
Hákon	nken-s	Hákon
Halldórsson	nken-s	Halldórsson
fjallar	sfg3en	fjalla
um	ao	um
mögulega	lveosf	mögulegur
aðild	nveo	aðild
Íslands	nhee-s	Ísland
að	aþ	að
Evrópusambandinu	nheþgs	Evrópusamband
og	c	og
ummæli	nhfo	ummæli
yfirmanns	nkee	yfirmaður
landbúnaðar-	nhfe	landbúnaðarmál
og	c	og
sjávarútvegsmála	nhfe	sjávarútvegsmál
hjá	aþ	hjá
sambandinu	nheþg	samband
í	aþ	í
því	faheþ	sá
samhengi	nheþ	samhengi
.	.	.

Hann	fpken	hann
telur	sfg3en	telja
ummælin	nhfog	ummæli
ekki	aa	ekki
gefa	sng	gefa
tilefni	nheo	tilefni
til	ae	til
bjartsýni	nvee	bjartsýni
hjá	aþ	hjá
aðildarsinnum	nkfþ	aðildarsinni
.	.	.

Jón	nken-s	Jón
Hákon	nken-s	Hákon
segir	sfg3en	segja
,	,	,
í	aþ	í
pistli	nkeþ	pistill
á	aþ	á
vefriti	nheþ	vefrit
Heimdallar	nkee-s	Heimdallur
,	,	,
frelsi.is	v	frelsi.is
:	:	:

Það	fphen	það
er	sfg3en	vera
mikilvægt	lhensf	mikilvægur
að	c	að
talsmenn	nkfn	talsmaður
Evrópusambandsins	nheegs	Evrópusamband
á	aþ	á
Íslandi	nheþ-s	Ísland
,	,	,
hvar	aa	hvar
í	aþ	í
flokki	nkeþ	flokkur
sem	ct	sem
þeir	fpkfn	hann
standa	sfg3fn	standa
,	,	,
gæti	svg3en	gæta
raunsæis	nhee	raunsæi
í	aþ	í
umræðu	nveþ	umræða
um	ao	um
sambandið	nheog	samband
og	c	og
mögulega	lkfosf	mögulegur
kosti	nkfo	kostur
og	c	og
galla	nkfo	galli
við	ao	við
inngöngu	nveo	innganga
Íslands	nhee-s	Ísland
í	ao	í
það	fpheo	það
.	.	.

Einhverjir	fokfn	einhver
ættu	svg3fþ	eiga
þá	aa	þá
að	cn	að
hafa	sng	hafa
í	aþ	í
huga	nkeþ	hugi
orð	nhfo	orð
Franz	e	Franz
Fischlers	e	Fischlers
,	,	,
yfirmanns	nkee	yfirmaður
landbúnaðar-	nhfe	landbúnaðarmál
og	c	og
sjávarútvegsmála	nhfe	sjávarútvegsmál
Evrópusambandsins	nheegs	Evrópusamband
,	,	,
sem	ct	sem
kvaðst	sfm3eþ	kveða
útiloka	sng	útiloka
að	c	að
Íslendingar	nkfn-s	Íslendingur
geti	svg3fn	geta
haldið	ssg	halda
fullum	lhfþsf	fullur
yfirráðum	nhfþ	yfirráð
yfir	aþ	yfir
fiskimiðum	nhfþ	fiskimið
sínum	fehfþ	sinn
,	,	,
gangi	svg3fn	ganga
þeir	fpkfn	hann
í	ao	í
Evrópusambandið	nheogs	Evrópusamband
.	.	.

Í	aþ	í
fréttum	nvfþ	frétt
Ríkissjónvarpsins	nheegs	ríkissjónvarp
í	ao	í
gærkvöld	nheo	gærkvöld
var	sfg3eþ	vera
gerð	sþgven	gera
ítarleg	lvensf	ítarlegur
grein	nven	grein
fyrir	aþ	fyrir
máli	nheþ	mál
Fischlers	e	Fischlers
á	aþ	á
fyrirlestri	nkeþ	fyrirlestur
og	c	og
fyrirspurnartíma	nkeþ	fyrirspurnartími
sem	ct	sem
hann	fpken	hann
hélt	sfg3eþ	halda
við	ao	við
Háskólann	nkeogs	Háskóli
í	aþ	í
Reykjavík	nveþ-s	Reykjavík
í	ao	í
gærdag	nkeo	gærdagur
.	.	.

Hann	fpken	hann
sagði	sfg3eþ	segja
að	c	að
gengju	svg3fþ	ganga
Íslendingar	nkfn-s	Íslendingur
í	ao	í
sambandið	nheog	samband
,	,	,
þyrfti	svg3eþ	þurfa
að	cn	að
semja	sng	semja
um	ao	um
fiskveiðimál	nhfo	fiskveiðimál
eins	aa	eins
og	c	og
annað	foheo	annar
.	.	.

Í	aþ	í
samtali	nheþ	samtal
við	ao	við
fréttamann	nkeo	fréttamaður
sagði	sfg3eþ	segja
hann	fpken	hann
að	c	að
útilokað	lhensf	útilokaður
væri	svg3eþ	vera
að	c	að
Íslendingar	nkfn-s	Íslendingur
héldu	svg3fþ	halda
fullum	lhfþsf	fullur
yfirráðum	nhfþ	yfirráð
yfir	aþ	yfir
12-200	ta	12-200
mílna	nvfe	míla
landhelginni	nveþg	landhelgi
.	.	.

Þessar	favfn	þessi
fullyrðingar	nvfn	fullyrðing
Fischlers	e	Fischlers
eru	sfg3fn	vera
auðvitað	aa	auðvitað
þvert	aa	þvert
á	ao	á
það	faheo	sá
sem	ct	sem
stuðningsmenn	nkfn	stuðningsmaður
aðildar	nvee	aðild
að	aþ	að
ESB	as	ESB
hafa	sfg3fn	hafa
haldið	ssg	halda
fram	aa	fram
en	c	en
sumir	fokfn	sumur
þeirra	fpkfe	hann
hafa	sfg3fn	hafa
jafnvel	aa	jafnvel
fullyrt	ssg	fullyrða
berum	lhfþsf	ber
orðum	nhfþ	orð
að	c	að
Íslendingar	nkfn-s	Íslendingur
gætu	svg3fþ	geta
samið	ssg	semja
um	ao	um
nánast	aae	náið
hvað	fsheo	hver
sem	ct	sem
væri	svg3eþ	vera
þegar	c	þegar
að	aþ	að
sjávarútvegsmálum	nhfþ	sjávarútvegsmál
kæmi	svg3eþ	koma
.	.	.

Aðrir	fokfn	annar
,	,	,
jafnvel	aa	jafnvel
virðulegustu	lkfnve	virðulegur
sjálfstæðismenn	nkfn	sjálfstæðismaður
,	,	,
sem	ct	sem
kjósa	sfg3fn	kjósa
að	cn	að
tjá	sng	tjá
skoðanir	nvfo	skoðun
sínar	fevfo	sinn
á	aþ	á
óháðum	lhfþsf	óháður
vefritum	nhfþ	vefrit
,	,	,
hafa	sfg3fn	hafa
látið	ssg	láta
að	aþ	að
því	fpheþ	það
liggja	sng	liggja
að	c	að
fiskveiðistjórnunin	nveng	fiskveiðistjórnun
skipti	svg3en	skipta
alls	fohee	allur
engu	foheþ	enginn
máli	nheþ	mál
í	aþ	í
umræðum	nvfþ	umræða
um	ao	um
Evrópusambandið	nheogs	Evrópusamband
.	.	.

Frá	aþ	frá
stofnun	nveþ	stofnun
lýðveldins	x	lýðveldi
hafa	sfg3fn	hafa
Íslendingar	nkfn-s	Íslendingur
lagt	ssg	leggja
sig	fpkfo	sig
alla	fokfo	allur
fram	aa	fram
um	ao	um
að	cn	að
tryggja	sng	tryggja
sér	fpkfþ	sig
yfirráð	nhfo	yfirráð
yfir	aþ	yfir
íslenskri	lveþsf	íslenskur
landhelgi	nveþ	landhelgi
og	c	og
jafnvel	aa	jafnvel
háð	ssg	heyja
baráttu	nveo	barátta
vegna	ae	vegna
auðlindarinnar	nveeg	auðlind
.	.	.

Sjávarútvegur	nken	sjávarútvegur
er	sfg3en	vera
enn	aa	enn
sem	c	sem
komið	sþghen	koma
er	sfg3en	vera
langmikilvægasta	lvenve	langmikilvægastur
atvinnugrein	nven	atvinnugrein
þjóðarinnar	nveeg	þjóð
og	c	og
afkoma	nven	afkoma
okkar	fp1fe	ég
byggist	sfm3en	byggja
að	aþ	að
miklu	lheþsf	mikill
leyti	nheþ	leyti
á	aþ	á
henni	fpveþ	hún
.	.	.

Þess	fphee	það
vegna	ae	vegna
hlýtur	sfg3en	hljóta
það	fphen	það
að	cn	að
skipta	sng	skipta
gríðarlegu	lheþsf	gríðarlegur
máli	nheþ	mál
hvernig	aa	hvernig
fiskveiðistjórnun	nveþ	fiskveiðistjórnun
hér	aa	hér
er	sfg3en	vera
háttað	sþghen	hátta
.	.	.

Íslendingar	nkfn-s	Íslendingur
eiga	sfg3fn	eiga
að	cn	að
halda	sng	halda
í	ao	í
yfirráð	nhfo	yfirráð
yfir	aþ	yfir
þessari	faveþ	þessi
mikilvægu	lveþvf	mikilvægur
auðlind	nveþ	auðlind
en	c	en
ekki	aa	ekki
færa	sng	færa
þau	fphfo	það
í	ao	í
hendur	nvfo	hönd
embættismanna	nkfe	embættismaður
í	aþ	í
Belgíu	nveþ-s	Belgía
,	,	,
segir	sfg3en	segja
Jón	nken-s	Jón
Hákon	nken-s	Hákon
Halldórsson	nken-s	Halldórsson
á	aþ	á
frelsi.is	v	frelsi.is
.	.	.

is	e	is
SKATTATILLÖGUR	nvfn	skattatillaga
dönsku	lveevf	danskur
ríkisstjórnar	nvee	ríkisstjórn
hafa	sfg3fn	hafa
mætt	ssg	mæta
mikilli	lveþsf	mikill
andstöðu	nveþ	andstaða
og	c	og
fullyrt	sþghen	fullyrða
er	sfg3en	vera
að	c	að
ekki	aa	ekki
sé	svg3en	vera
samstaða	nven	samstaða
um	ao	um
tillögurnar	nvfog	tillaga
innan	ae	innan
dönsku	lveevf	danskur
ríkisstjórnarinnar	nveeg	ríkisstjórn
og	c	og
stuðningsflokkurinn	nkeng	stuðningsflokkur
,	,	,
Danske	e	Danske
Folkeparti	e	Folkeparti
,	,	,
sem	ct	sem
hafði	sfg3eþ	hafa
í	aþ	í
öllum	fohfþ	allur
meginatriðum	nhfþ	meginatriði
lagt	ssg	leggja
blessun	nveo	blessun
sína	feveo	sinn
yfir	ao	yfir
þær	fpvfo	hún
,	,	,
segist	sfm3en	segja
ekki	aa	ekki
geta	sng	geta
stutt	ssg	styðja
þær	fpvfo	hún
eins	aa	eins
og	c	og
þær	fpvfn	hún
liggja	sfg3fn	liggja
fyrir	aa	fyrir
nú	aa	nú
.	.	.

Fogh	e	Fogh
stendur	sfg3en	standa
fast	aa	fast
á	aþ	á
sínu	feheþ	sinn
Því	aa	því
fer	sfg3en	fara
þó	aa	þó
víðsfjarri	aa	víðsfjarri
að	c	að
danska	lvenvf	danskur
stjórnin	nveng	stjórn
með	ao	með
Anders	e	Anders
Fogh	e	Fogh
Rasmussen	e	Rasmussen
í	aþ	í
fylkingarbrjósti	nheþ	fylkingarbrjóst
ætli	svg3en	ætla
að	cn	að
hvika	sng	hvika
frá	aþ	frá
meginmarkmiðunum	nhfþg	meginmarkmið
með	aþ	með
skattbreytingunum	nvfþg	skattbreyting
;	;	;
Fogh	e	Fogh
hefur	sfg3en	hafa
að	aþ	að
vísu	lheþsf	vís
sagst	ssm	segja
vera	sng	vera
tilbúinn	lkensf	tilbúinn
að	cn	að
hlusta	sng	hlusta
vel	aa	vel
og	c	og
taka	sng	taka
tillit	nheo	tillit
til	ae	til
rökstuddra	lvfesf	rökstuddur
athugasemda	nvfe	athugasemd
fyrirtækja	nhfe	fyrirtæki
eins	aa	eins
og	c	og
til	aa	til
að	cn	að
mynda	sng	mynda
risans	nkeeg	risi
A.P.	as	A.P.
Møller	e	Møller
-	-	-
Mærsk	e	Mærsk
.	.	.

En	c	en
Fogh	e	Fogh
hefur	sfg3en	hafa
ítrekað	ssg	ítreka
að	c	að
ríkisstjórnin	nveng	ríkisstjórn
muna	x	muna
halda	sng	halda
fast	aa	fast
í	ao	í
kjarna	nkeo	kjarni
skattbreytinganna	nvfeg	skattbreyting
.	.	.

Almenn	lvensf	almennur
ánægja	nven	ánægja
er	sfg3en	vera
með	ao	með
lækkun	nveo	lækkun
tekjuskattsins	nkeeg	tekjuskattur
úr	aþ	úr
28	ta	28
í	ao	í
22%	tp	22%
sem	ct	sem
auðvitað	aa	auðvitað
mun	sfg3en	munu
koma	sng	koma
þorra	nkeþ	þorri
danskra	lhfesf	danskur
fyrirtækja	nhfe	fyrirtæki
til	ae	til
góða	nkee	góði
.	.	.

En	c	en
það	fphen	það
er	sfg3en	vera
böggullinn	nkeng	böggull
sem	ct	sem
fylgir	sfg3en	fylgja
skammrifinu	nheþg	skammrif
sem	ct	sem
kveikt	ssg	kveikja
hefur	sfg3en	hafa
eldana	nkfog	eldur
sem	ct	sem
nú	aa	nú
brenna	sfg3fn	brenna
sem	ct	sem
glaðast	aae	glaðast
,	,	,
þ.e.	as	þ.e.
takmarkanir	nvfn	takmörkun
á	aþ	á
því	fpheþ	það
að	c	að
nota	sng	nota
megi	svg3en	mega
vaxtagjöld	nhfo	vaxtagjöld
eða	c	eða
fjármagnskostnað	nkeo	fjármagnskostnaður
umfram	ao	umfram
ákveðna	lveosf	ákveðinn
upphæð	nveo	upphæð
til	ae	til
frádráttar	nkee	frádráttur
.	.	.

Fyrir	aa	fyrir
liggur	sfg3en	liggja
að	c	að
fjárfestingasjóðir	nkfn	fjárfestingasjóður
verða	sfg3fn	verða
einna	fohfe	einn
harðast	aae	hart
úti	aa	úti
ef	c	ef
skattatillögurnar	nvfng	skattatillaga
verða	sfg3fn	verða
að	aþ	að
veruleika	nkeþ	veruleiki
enda	c	enda
er	sfg3en	vera
þeim	fpvfþ	hún
öðrum	fokeþ	annar
þræði	nkeþ	þráður
beint	aa	beint
gegn	aþ	gegn
þeim	fpkfþ	hann
.	.	.

En	c	en
þær	fpvfn	hún
koma	sfg3fn	koma
einnig	aa	einnig
niður	aa	niður
á	aþ	á
skuldsettum	lhfþsf	skuldsettur
fyrirtækjum	nhfþ	fyrirtæki
almennt	aa	almennt
,	,	,
ekki	aa	ekki
síst	aae	síður
fasteignafélögum	nhfþ	fasteignafélag
og	c	og
dönskum	lhfþsf	danskur
fyrirtækjum	nhfþ	fyrirtæki
með	ao	með
mikla	lveosf	mikill
alþjóðlega	lveosf	alþjóðlegur
starfsemi	nveo	starfsemi
.	.	.

Það	fphen	það
þarf	sfg3en	þurfa
svo	aa	svo
sem	aa	sem
ekki	aa	ekki
að	cn	að
fara	sng	fara
í	ao	í
grafgötur	nvfo	grafgötur
um	ao	um
það	fpheo	það
hvers	fshee	hver
vegna	ae	vegna
fyrirtækin	nhfng	fyrirtæki
,	,	,
ekki	aa	ekki
síst	aae	síður
fjárfestingasjóðir	nkfn	fjárfestingasjóður
og	c	og
dönsk	lhfnsf	danskur
fyrirtæki	nhfn	fyrirtæki
með	ao	með
mikla	lveosf	mikill
alþjóðlega	lveosf	alþjóðlegur
starfsemi	nveo	starfsemi
eins	aa	eins
og	c	og
t.d.	as	t.d.
stærsta	lhenve	stór
fyrirtæki	nhen	fyrirtæki
Danmerkur	nvee-s	Danmörk
A.P.	as	A.P.
Møller	e	Møller
-	-	-
Mærsk	e	Mærsk
,	,	,
hafa	sfg3fn	hafa
rekið	ssg	reka
upp	aa	upp
ramakvein	nheo	ramakvein
og	c	og
jafnvel	aa	jafnvel
látið	ssg	láta
að	aþ	að
því	fpheþ	það
liggja	sng	liggja
að	c	að
þau	fphfn	það
muni	svg3fn	munu
einfaldlega	aa	einfaldlega
pakka	sng	pakka
saman	aa	saman
og	c	og
flytja	sng	flytja
starfsemi	nveo	starfsemi
sína	feveo	sinn
úr	aþ	úr
landi	nheþ	land
eða	c	eða
hluta	nkeþ	hluti
hennar	fpvee	hún
eins	aa	eins
og	c	og
Jess	e	Jess
Søderberg	e	Søderberg
,	,	,
forstjóri	nken	forstjóri
Møller	e	Møller
-	-	-
Mærsk	e	Mærsk
,	,	,
hefur	sfg3en	hafa
látið	ssg	láta
í	aþ	í
veðri	nheþ	veður
vaka	sng	vaka
.	.	.

En	c	en
hvers	fshee	hver
vegna	ae	vegna
leggur	sfg3en	leggja
danska	lvenvf	danskur
ríkisstjórnin	nveng	ríkisstjórn
,	,	,
sem	ct	sem
almennt	aa	almennt
er	sfg3en	vera
talin	sþgven	telja
fremur	aam	fremur
hliðholl	lvensf	hliðhollur
fyrirtækjum	nhfþ	fyrirtæki
og	c	og
viðskiptalífinu	nheþg	viðskiptalíf
,	,	,
fram	aa	fram
skattatilllögur	nvfo	skattatilllaga
sem	ct	sem
vakið	ssg	vekja
hafa	sfg3fn	hafa
svo	aa	svo
hörð	lhfosf	harður
viðbrögð	nhfo	viðbragð
einmitt	aa	einmitt
í	aþ	í
þeim	fakeþ	sá
ranni	nkeþ	rannur
?	?	?

Skuldettar	x	skuldettar
yfirtökur	nvfn	yfirtaka
erfiðari	lvfnvm	erfiður
Svarið	nheng	svar
við	aþ	við
því	fpheþ	það
er	sfg3en	vera
í	aþ	í
grunnatriðum	nhfþ	grunnatriði
frekar	aam	frekar
einfalt	lhensf	einfaldur
,	,	,
þ.e.	as	þ.e.
að	cn	að
stemma	sng	stemma
stigu	nkfo	stigur
við	aþ	við
því	fpheþ	það
að	c	að
fjárfestingasjóðirnir	nkfng	fjárfestingasjóður
komi	svg3fn	koma
gríðarlega	aa	gríðarlega
háum	lvfþsf	hár
fjárhæðum	nvfþ	fjárhæð
undan	aþ	undan
skatti	nkeþ	skattur
.	.	.

Um	ao	um
leið	nveo	leið
myndu	svg3fþ	munu
breytingarnar	nvfng	breyting
hafa	sng	hafa
í	aþ	í
för	nveþ	för
með	aþ	með
sér	fpvfþ	sig
að	c	að
fjármagnskostnaður	nken	fjármagnskostnaður
þeirra	fahfe	sá
fyrirtækja	nhfe	fyrirtæki
,	,	,
sem	ct	sem
taka	sfg3fn	taka
mikið	lheosf	mikill
að	aþ	að
láni	nheþ	lán
,	,	,
vex	sfg3en	vaxa
sem	c	sem
aftur	aa	aftur
myndi	svg3eþ	munu
gera	sng	gera
svokallaðar	lvfosf	svokallaður
skuldsettar	lvfosf	skuldsettur
yfirtökur	nvfo	yfirtaka
erfiðari	lvfovm	erfiður
,	,	,
þ.e.	as	þ.e.
þegar	c	þegar
menn	nkfn	maður
kaupa	sfg3fn	kaupa
fyrirtæki	nheo	fyrirtæki
og	c	og
greiða	sfg3fn	greiða
kaupverðið	nheog	kaupverð
með	aþ	með
fjárstreymi	nheþ	fjárstreymi
úr	aþ	úr
fyrirtækinu	nheþg	fyrirtæki
sjálfu	fbheþ	sjálfur
.	.	.

Enda	c	enda
hefur	sfg3en	hafa
danska	lvenvf	danskur
ríkistjórnin	nveng	ríkistjórn
lagt	ssg	leggja
áherslu	nveo	áhersla
á	ao	á
að	c	að
skattalækkunin	nveng	skattalækkun
komu	x	koma
fyrirtækjum	nhfþ	fyrirtæki
almennt	aa	almennt
til	ae	til
góða	nkee	góði
og	c	og
að	c	að
skorður	nvfn	skorða
við	aþ	við
frádrætti	nkeþ	frádráttur
á	aþ	á
fjármagnskostnaði	nkeþ	fjármagnskostnaður
komi	svg3fn	koma
ekki	aa	ekki
niður	aa	niður
á	aþ	á
venjulegum	lhfþsf	venjulegur
dönskum	lhfþsf	danskur
fyrirtækjum	nhfþ	fyrirtæki
né	c	né
vaxtamöguleikum	nkfþ	vaxtamöguleiki
þeirra	fphfe	það
.	.	.

Og	c	og
ekki	aa	ekki
er	sfg3en	vera
heldur	aam	heldur
gert	sþghen	gera
ráð	nhen	ráð
fyrir	aþ	fyrir
að	c	að
breytingarnar	nvfng	breyting
verði	svg3fn	verða
til	ae	til
þess	fphee	það
að	cn	að
auka	sng	auka
heildarskatttekjur	nvfo	heildarskatttekja
ríkisins	nheeg	ríki
af	aþ	af
fyrirtækjum	nhfþ	fyrirtæki
;	;	;
þær	favfn	sá
skatttekjur	nvfn	skatttekjur
sem	ct	sem
fást	sfm3fn	fá
með	aþ	með
því	fpheþ	það
að	cn	að
þrengja	sng	þrengja
möguleika	nkfo	möguleiki
á	aþ	á
frádrætti	nkeþ	frádráttur
mun	sfg3fn	munu
að	aþ	að
sögn	nveþ	sögn
ríkisstjórnarinnar	nveeg	ríkisstjórn
dönsku	lveevf	danskur
renna	sng	renna
út	aa	út
jafnharðan	aa	jafnharðan
vegna	ae	vegna
lækkunar	nvee	lækkun
á	aþ	á
tekjuskattshlutfallinu	nheþg	tekjuskattshlutfall
.	.	.

Í	aþ	í
raun	nveþ	raun
má	sfg3en	mega
setja	sng	setja
tillögurnar	nvfog	tillaga
og	c	og
umræðuna	nveog	umræða
í	aþ	í
Danmörku	nveþ-s	Danmörk
í	ao	í
mun	nkeþ	munur
stærra	lheovm	stór
evrópskt	lheosf	evrópskur
samhengi	nheo	samhengi
.	.	.

Sumir	fokfn	sumur
eru	sfg3fn	vera
á	aþ	á
þeirri	faveþ	sá
skoðun	nveþ	skoðun
að	c	að
núverandi	lvenof	núverandi
skattalöggjöf	nven	skattalöggjöf
Evrópuríkja	nhfe-s	Evrópuríki
styðji	svg3en	styðja
við	aa	við
og	c	og
ýti	svg3en	ýta
undir	ao	undir
skuldsett	lhfosf	skuldsettur
kaup	nhfo	kaup
á	aþ	á
fyrirtækjum	nhfþ	fyrirtæki
og	c	og
er	sfg3en	vera
röksemdarfærslan	nveng	röksemdarfærsla
á	ao	á
þá	faveo	sá
leið	nveo	leið
að	c	að
fyrirtækin	nhfng	fyrirtæki
greiði	svg3fn	greiða
aðeins	aa	aðeins
skatt	nkeo	skattur
af	aþ	af
hagnaði	nkeþ	hagnaður
þegar	c	þegar
vaxtagjöld	nhfn	vaxtagjöld
/	/	/
fjármagnskostnaður	nken	fjármagnskostnaður
hefur	sfg3en	hafa
verið	ssg	vera
dreginn	sþgken	draga
frá	aa	frá
en	c	en
arður	nken	arður
til	ae	til
hluthafa	nkfe	hluthafi
sé	svg3en	vera
á	ao	á
hinn	fakeo	hinn
bóginn	nkeog	bógur
greiddur	sþgken	greiða
af	aþ	af
hagnaði	nkeþ	hagnaður
eftir	ao	eftir
skatta	nkfo	skattur
.	.	.

Þannig	aa	þannig
munu	sfg3fn	munu
fleiri	lhfnvm	margur
ríki	nhfn	ríki
en	c	en
Danmörk	nven-s	Danmörk
hafa	sng	hafa
