risastóra	lheovf	risastór
einhvernveginn	aa	einhvernveginn
,	,	,
að	cn	að
vinna	sng	vinna
á	aþ	á
ensku	nveþ	enska
.	.	.
Ég	fp1en	ég
á	sfg1en	eiga
það	fpheo	það
til	aa	til
að	c	að
þegar	c	þegar
ég	fp1en	ég
er	sfg1en	vera
orðin	sþgven	verða
lúin	lvensf	lúinn
að	cn	að
tala	sng	tala
svolítið	aa	svolítið
þvoglumælta	lveosf	þvoglumæltur
ensku	nveo	enska
..	..	..
þýða	sng	þýða
þá	aa	þá
bókstaflega	aa	bókstaflega
af	aþ	af
íslensku	nveþ	íslenska
yfir	aa	yfir
á	ao	á
ensku	nveo	enska
og	c	og
geta	sfg3fn	geta
orðin	nhfng	orð
og	c	og
setningarnar	nvfng	setning
komið	ssg	koma
svolítið	aa	svolítið
heimskulega	aa	heimskulega
út	aa	út
vegna	ae	vegna
þess	fphee	það
.	.	.
En	c	en
ég	fp1en	ég
hef	sfg1en	hafa
ekki	aa	ekki
nokkrar	fovfo	nokkur
áhyggjur	nvfo	áhyggja
af	aþ	af
því	fpheþ	það
,	,	,
ég	fp1en	ég
fann	sfg1eþ	finna
bara	aa	bara
fyrir	aþ	fyrir
því	fpheþ	það
í	aa	í
gær	aa	gær
.	.	.
Ég	fp1en	ég
vaknaði	sfg1eþ	vakna
fyrir	ao	fyrir
allar	fovfo	allur
aldir	nvfo	öld
í	ao	í
gærmorgun	nkeo	gærmorgunn
svoleiðis	aa	svoleiðis
að	c	að
ég	fp1en	ég
fann	sfg1eþ	finna
á	aþ	á
mér	fp1eþ	ég
þegar	c	þegar
ég	fp1en	ég
fór	sfg1eþ	fara
til	ae	til
vinnu	nvee	vinna
að	c	að
þvoglumælskan	nveng	þvoglumælska
myndi	svg3eþ	munu
heilsa	sng	heilsa
upp	aa	upp
á	aa	á
sem	c	sem
hún	fpven	hún
og	aa	og
gerði	sfg3eþ	gera
,	,	,
og	c	og
það	fphen	það
með	aþ	með
brosi	nheþ	bros
á	aþ	á
vör	nveþ	vör
.	.	.
Mér	fp1eþ	ég
virðist	sfm3en	virða
sem	c	sem
gott	lhensf	góður
fólk	nhen	fólk
vinni	svg3en	vinna
þarna	aa	þarna
.	.	.
Talé	e	Talé
,	,	,
eigandinn	nkeng	eigandi
,	,	,
er	sfg3en	vera
grískur	lkensf	grískur
.	.	.
Hann	fpken	hann
lítur	sfg3en	líta
út	aa	út
fyrir	ao	fyrir
að	cn	að
vera	sng	vera
Grikki	nken-s	Grikki
,	,	,
enda	c	enda
gerir	sfg3en	gera
hann	fpken	hann
manni	nkeþ	maður
grikk	nkeo	grikkur
!	!	!
hahahahahaha	au	haha
(	(	(
eruð	sfg2fn	vera
þið	fp2fn	þú
að	cn	að
hlæja	sng	hlæja
núna	aa	núna
?	?	?
)	)	)
Hann	fpken	hann
fer	sfg3en	fara
yfir	aþ	yfir
góðu	lheþsf	góður
starfsliði	nheþ	starfslið
og	c	og
þeir	fakfn	sá
sem	ct	sem
ég	fp1en	ég
elti	sfg1eþ	elta
gerðu	sfg3fþ	gera
allt	foheo	allur
sem	ct	sem
þeir	fpkfn	hann
gátu	sfg3fþ	geta
til	ae	til
þess	fphee	það
að	cn	að
kenna	sng	kenna
mér	fp1eþ	ég
.	.	.
Ég	fp1en	ég
held	sfg1en	halda
að	c	að
það	fahen	sá
sem	ct	sem
ég	fp1en	ég
á	sfg1en	eiga
eftir	aa	eftir
að	cn	að
eiga	sng	eiga
í	aþ	í
mestum	lkfþse	mikill
erfiðleikum	nkfþ	erfiðleiki
með	ao	með
að	cn	að
muna	sng	muna
eru	sfg3fn	vera
allar	fovfn	allur
matartegundirnar	nvfng	matartegund
.	.	.
Ég	fp1en	ég
veit	sfg1en	vita
ósköp	nhfn	ósköp
vel	aa	vel
að	c	að
það	fahen	sá
sem	ct	sem
ég	fp1en	ég
er	sfg1en	vera
að	cn	að
gera	sng	gera
eru	sfg3fn	vera
ekki	aa	ekki
heilaskurðlækningar	nvfn	heilaskurðlækning
en	c	en
ég	fp1en	ég
vil	sfg1en	vilja
gera	sng	gera
vel	aa	vel
og	c	og
því	aa	því
vil	sfg1en	vilja
ég	fp1en	ég
vita	sng	vita
allt	foheo	allur
og	c	og
líka	aa	líka
ná	sng	ná
sem	ct	sem
mestu	lheþse	mikill
þjórféi	nheþ	þjórfé
út	aa	út
úr	aþ	úr
fólki	nheþ	fólk
:	:	:
)	)	)
En	c	en
núna	aa	núna
ætla	sfg1en	ætla
ég	fp1en	ég
að	cn	að
gera	sng	gera
mig	fp1eo	ég
klára	lveosf	klár
í	ao	í
bíó	nheo	bíó
.	.	.
Ég	fp1en	ég
ætla	sfg1en	ætla
að	cn	að
sjá	sng	sjá
myndina	nveog	mynd
Friends	e	Friends
with	e	with
Money	e	Money
og	c	og
hefst	sfm3en	hefja
hún	fpven	hún
eftir	ao	eftir
klukkutíma	nkeo	klukkutími
..	..	..
ég	fp1en	ég
ætla	sfg1en	ætla
ein	lvensf	einn
í	ao	í
bíó	nheo	bíó
-	-	-
sjá	sng	sjá
síðustu	lveove	síðari
sýningu	nveo	sýning
kvöldsins	nheeg	kvöld
,	,	,
borða	sng	borða
stóran	lkeosf	stór
smjörpopp	nkeo	smjörpoppur
og	c	og
drekka	sng	drekka
kók	nheo	kók
.	.	.
Hversu	aa	hversu
gott	lhensf	góður
getur	sfg3en	geta
lífið	nheng	líf
orðið	ssg	verða
?	?	?
Þannig	aa	þannig
að	c	að
ég	fp1en	ég
kveð	sfg1en	kveða
ykkur	fp2fo	þú
í	ao	í
kútinn	nkeog	kútur
og	c	og
óska	sng	óska
ykkar	fp2fe	þú
góðs	lkeesf	góður
dags	nkee	dagur
.	.	.
Svanfríður	nven-s	Svanfríður
Í	ao	í
allan	fokeo	allur
dag	nkeo	dagur
hef	sfg1en	hafa
ég	fp1en	ég
verið	ssg	vera
að	aþ	að
«	«	«
dabbi	nheþ	dabb
«	«	«
og	c	og
horfa	sng	horfa
á	ao	á
«	«	«
væ	x	væ
»	»	»
.	.	.
Ég	fp1en	ég
hef	sfg1en	hafa
semsagt	aa	semsagt
verið	ssg	vera
að	c	að
úti	aa	úti
að	cn	að
labba	sng	labba
með	aþ	með
Eyjólfi	nkeþ-s	Eyjólfur
og	c	og
séð	ssg	sjá
flugvélar	nvfo	flugvél
.	.	.
Ekki	aa	ekki
veit	sfg1en	vita
ég	fp1en	ég
afhverju	aa	afhverju
barnið	nheng	barn
kallar	sfg3en	kalla
flugvélar	nvfo	flugvél
«	«	«
væ	x	væ
»	»	»
-mér	fp1eþ	ég
finnst	sfm3en	finna
ekkert	fohen	enginn
líkt	lhensf	líkur
með	aþ	með
þessum	fahfþ	þessi
tveimur	tfhfþ	tveir
orðum	nhfþ	orð
,	,	,
flugvél	nveþ	flugvél
og	c	og
væ	x	væ
.	.	.
hmmmm	au	hmm
.	.	.
Hann	fpken	hann
var	sfg3eþ	vera
nú	aa	nú
eitthvað	fohen	einhver
að	cn	að
myndast	snm	mynda
við	ao	við
að	cn	að
segja	sng	segja
nafnið	nheog	nafn
sitt	feheo	sinn
í	ao	í
dag	nkeo	dagur
.	.	.
Ég	fp1en	ég
spurði	sfg1eþ	spyrja
hvað	fsheo	hver
hann	fpken	hann
héti	svg3eþ	heita
og	c	og
hann	fpken	hann
sagði	sfg3eþ	segja
«	«	«
ÆS	nxen-s	ÆS
«	«	«
Ég	fp1en	ég
ætla	sfg1en	ætla
að	cn	að
spyrja	sng	spyrja
hann	fpkeo	hann
aftur	aa	aftur
á	ao	á
morgun	nkeo	morgunn
og	c	og
sjá	sng	sjá
hvað	fsheo	hver
hann	fpken	hann
segir	sfg3en	segja
.	.	.
Kannski	aa	kannski
að	c	að
hann	fpken	hann
heiti	svg3en	heita
bara	aa	bara
næs	nxen	næs
þá	aa	þá
.	.	.
Það	fphen	það
er	sfg3en	vera
aldrei	aa	aldrei
að	cn	að
vita	sng	vita
.	.	.
Nágrannar	nkfn	nágranni
mínir	fekfn	minn
kíktu	sfg3fþ	kíkja
í	ao	í
garðinn	nkeog	garður
til	ae	til
mín	fp1ee	ég
í	aa	í
gær	aa	gær
en	c	en
ég	fp1en	ég
er	sfg1en	vera
að	cn	að
myndast	snm	mynda
við	ao	við
að	cn	að
lappa	sng	lappa
upp	aa	upp
á	ao	á
hann	fpkeo	hann
.	.	.
Það	fphen	það
er	sfg3en	vera
þó	aa	þó
eitt	tfhen	einn
vandamál	nhen	vandamál
:	:	:
ég	fp1en	ég
kann	sfg1en	kunna
ekkert	fohen	enginn
á	ao	á
garðavinnu	nveo	garðavinna
og	c	og
því	aa	því
var	sfg3eþ	vera
gott	lhensf	góður
að	cn	að
fá	sng	fá
nágrannana	nkfog	nágranni
yfir	aa	yfir
í	aa	í
gær	aa	gær
.	.	.
Ég	fp1en	ég
komst	sfm1eþ	koma
semsagt	aa	semsagt
að	aþ	að
því	fpheþ	það
að	c	að
ég	fp1en	ég
er	sfg1en	vera
með	ao	með
eitt	tfheo	einn
stk	as	stk
eplatré	nheo	eplatré
og	c	og
vínberjavið	nkeo	vínberjaviður
í	aþ	í
bakgarðinum	nkeþg	bakgarður
en	c	en
þau	fphfn	það
munu	sfg3fn	munu
sjálfsagt	aa	sjálfsagt
engan	fokeo	enginn
ávöxt	nkeo	ávöxtur
bera	sng	bera
í	ao	í
sumar	nheo	sumar
því	fpheþ	það
ég	fp1en	ég
snyrti	sfg1eþ	snyrta
þau	fphfo	það
ekki	aa	ekki
í	ao	í
vetur	nkeo	vetur
og	c	og
vor	nheo	vor
.	.	.
Ég	fp1en	ég
fæ	sfg1en	fá
vonandi	aa	vonandi
bara	aa	bara
epli	nhfo	epli
og	c	og
vínber	nhfo	vínber
næsta	lheove	næstur
sumar	nheo	sumar
.	.	.
Það	fphen	það
yrði	svg3eþ	verða
ekki	aa	ekki
slæmt	lhensf	slæmur
að	cn	að
geta	sng	geta
gengið	ssg	ganga
sér	fpkeþ	sig
útí	ao	útí
garð	nkeo	garður
og	c	og
týnt	ssg	týna
ávexti	nkfo	ávöxtur
af	aþ	af
trjánum	nhfþg	tré
!	!	!
Alltaf	aa	alltaf
að	cn	að
spara	sng	spara
:	:	:
)	)	)
(	(	(
Vonandi	aa	vonandi
urðuð	sfg2fþ	verða
þið	fp2fn	þú
ekki	aa	ekki
leið	lhfnsf	leiður
á	aþ	á
að	cn	að
bíða	sng	bíða
eftir	aþ	eftir
mér	fp1eþ	ég
-	-	-
Ég	fp1en	ég
stóð	sfg1eþ	standa
nefnilega	aa	nefnilega
upp	aa	upp
frá	aþ	frá
tölvunni	nveþg	tölva
til	ae	til
þess	fphee	það
að	cn	að
ná	sng	ná
mér	fp1eþ	ég
í	ao	í
einn	tfkeo	einn
ískaldan	lkeosf	ískaldur
Heineken	e	Heineken
....	....	....
)	)	)
Á	ao	á
morgun	nkeo	morgunn
mæti	sfg1en	mæta
ég	fp1en	ég
í	ao	í
fyrsta	lheove	fyrstur
sinn	nheo	sinn
á	ao	á
nýja	lkeovf	nýr
vinnustaðinn	nkeog	vinnustaður
minn	fekeo	minn
og	c	og
ég	fp1en	ég
hlakka	sfg1en	hlakka
voðalega	aa	voðalega
mikið	aa	mikið
til	aa	til
.	.	.
Ég	fp1en	ég
fór	sfg1eþ	fara
í	ao	í
búð	nveo	búð
í	aa	í
gær	aa	gær
og	c	og
keypti	sfg1eþ	kaupa
mér	fp1eþ	ég
vinnuföt	nhfo	vinnuföt
því	fpheþ	það
ég	fp1en	ég
þarf	sfg1en	þurfa
að	cn	að
þjóna	sng	þjóna
í	aþ	í
svörtum	lvfþsf	svartur
buxum	nvfþ	buxur
,	,	,
svartri	lveþsf	svartur
skyrtu	nveþ	skyrta
og	c	og
með	ao	með
bindi	nheo	bindi
.	.	.
Voða	nkee	voði
fínt	lhensf	fínn
.	.	.
Ég	fp1en	ég
er	sfg1en	vera
bara	aa	bara
guðslifandi	lvenof	guðslifandi
fegin	lvensf	feginn
að	cn	að
þurfa	sng	þurfa
ekki	aa	ekki
að	cn	að
þjóna	sng	þjóna
í	aþ	í
pilsi	nheþ	pils
...	...	...
ég	fp1en	ég
bara	aa	bara
passa	sfg1en	passa
svo	aa	svo
illa	aa	illa
í	ao	í
pils	nheo	pils
.	.	.
En	c	en
ég	fp1en	ég
ætla	sfg1en	ætla
í	ao	í
göngutúr	nkeo	göngutúr
...	...	...
svo	aa	svo
ég	fp1en	ég
kveð	sfg1en	kveða
ykkur	fp2fo	þú
í	ao	í
kútinn	nkeog	kútur
og	c	og
býð	sfg1en	bjóða
góða	lveosf	góður
nótt	nveo	nótt
.	.	.
Svanfríður	nven-s	Svanfríður
KÆRU	lkfnvf	kær
VINIR	nkfn	vinur
.	.	.
GLEÐILEGT	lheosf	gleðilegur
SUMAR	nheo	sumar
OG	c	og
TAKK	au	takk
FYRIR	ao	fyrir
VETURINN	nkeog	vetur
.	.	.
Eins	aa	eins
og	c	og
sést	sfm3en	sjá
þá	aa	þá
skein	sfg3eþ	skína
sólin	nveng	sól
skært	lhensf	skær
á	ao	á
okkur	fp1fo	ég
í	aa	í
gær	aa	gær
enda	c	enda
þurftu	sfg3fþ	þurfa
sumir	fokfn	sumur
að	cn	að
vera	sng	vera
með	ao	með
sólgleraugu	nhfo	sólgleraugu
;	;	;
algjör	lkensf	algjör
gæi	nken	gæi
.	.	.
Með	aþ	með
hækkandi	lveþof	hækkandi
sól	nveþ	sól
þá	aa	þá
blómstrar	sfg3en	blómstra
allt	fohen	allur
og	c	og
góðar	lvfnsf	góður
fréttir	nvfn	frétt
fæðast	sfm3fn	fæða
.	.	.
Rétt	aa	rétt
í	aþ	í
þessu	faheþ	þessi
voru	sfg3fþ	vera
góð	lhfnsf	góður
vinahjón	nhfn	vinahjón
okkar	fp1fe	ég
að	cn	að
eignast	snm	eigna
þeirra	fphfe	það
fyrsta	lheove	fyrstur
barn	nheo	barn
eftir	ao	eftir
að	cn	að
hafa	sng	hafa
misst	ssg	missa
fóstur	nheo	fóstur
7	ta	7
sinnum	nhfþ	sinn
!	!	!
Ég	fp1en	ég
fékk	sfg1eþ	fá
mitt	feheo	minn
fyrsta	lheove	fyrstur
túlkasímtal	nheo	túlkasímtal
í	aa	í
gær	aa	gær
og	c	og
ef	c	ef
ég	fp1en	ég
mætti	svg1eþ	mega
segja	sng	segja
ykkur	fp2fþ	þú
um	ao	um
hvað	fsheo	hver
það	fphen	það
fjallaði	svg3eþ	fjalla
þá	aa	þá
mynduð	svg2fþ	munu
þið	fp2fn	þú
liggja	sng	liggja
í	aþ	í
hláturskrampa	nkeþ	hláturskrampi
lengi	aa	lengi
vel	aa	vel
rétt	aa	rétt
eins	aa	eins
og	c	og
ég	fp1en	ég
gerði	sfg1eþ	gera
í	aþ	í
gærkveldi	nheþ	gærkveld
.	.	.
Einnig	aa	einnig
varð	sfg1eþ	verða
ég	fp1en	ég
því	faheþ	sá
láni	nheþ	lán
fagnandi	slg	fagna
í	ao	í
gærmorgun	nkeo	gærmorgunn
að	c	að
mér	fp1eþ	ég
var	sfg3eþ	vera
boðin	sþgven	bjóða
VINNA	nven	vinna
!	!	!
Og	c	og
í	aþ	í
gærkveldi	nheþ	gærkveld
var	sfg3eþ	vera
gengið	sþghen	ganga
frá	aþ	frá
því	fpheþ	það
og	c	og
ég	fp1en	ég
byrja	sfg1en	byrja
á	ao	á
laugardaginn	nkeog	laugardagur
kemur	sfg3en	koma
...	...	...
þá	aa	þá
fer	sfg1en	fara
ég	fp1en	ég
í	ao	í
kennslu	nveo	kennsla
og	c	og
þjálfun	nveo	þjálfun
.	.	.
Ég	fp1en	ég
verð	sfg1en	verða
flottasta	lvenve	flottur
þjónustustúlka	nven	þjónustustúlka
hér	aa	hér
í	aþ	í
Cary	e	Cary
-	-	-
sjáið	sbg2fn	sjá
bara	aa	bara
til	aa	til
.	.	.
Ég	fp1en	ég
fékk	sfg1eþ	fá
semsagt	aa	semsagt
vinnu	nveo	vinna
á	aþ	á
góðu	lheþsf	góður
veitingarhúsi	nheþ	veitingarhús
sem	ct	sem
heitir	sfg3en	heita
Cary	e	Cary
Restaurant	e	Restaurant
og	c	og
er	sfg3en	vera
eigandinn	nkeng	eigandi
grískur	lkensf	grískur
.	.	.
Ég	fp1en	ég
gæti	svg1eþ	geta
ekki	aa	ekki
verið	ssg	vera
glaðari	lvenvm	glaður
með	ao	með
þetta	faheo	þessi
allt	foheo	allur
saman	aa	saman
.	.	.
Ég	fp1en	ég
verð	sfg1en	verða
að	cn	að
vinna	sng	vinna
4-5	ta	4-5
kvöld	nhfo	kvöld
í	aþ	í
viku	nveþ	vika
og	c	og
get	sfg1en	geta
ekki	aa	ekki
beðið	ssg	bíða
eftir	aþ	eftir
að	cn	að
byrja	sng	byrja
.	.	.
Það	fphen	það
verður	sfg3en	verða
gott	lhensf	góður
að	cn	að
fara	sng	fara
út	aa	út
á	ao	á
vinnumarkaðinn	nkeog	vinnumarkaður
aftur	aa	aftur
.	.	.
Ég	fp1en	ég
læt	sfg1en	láta
þetta	faheo	þessi
nægja	sng	nægja
í	aþ	í
bili	nheþ	bil
,	,	,
kveð	sfg1en	kveða
ykkur	fp2fo	þú
í	ao	í
kútinn	nkeog	kútur
og	c	og
vona	sfg1en	vona
að	c	að
þið	fp2fn	þú
séuð	svg2fn	vera
glöð	lhfnsf	glaður
og	c	og
ánægð	lhfnsf	ánægður
.	.	.
Svanfríður	nven-s	Svanfríður
Posted	e	Posted
by	e	by
Picasa	e	Picasa
Ég	fp1en	ég
er	sfg1en	vera
pirruð	lvensf	pirraður
!	!	!
Fyrir	aþ	fyrir
margt	aa	margt
löngu	lheþsf	langur
þá	aa	þá
lenti	sfg1eþ	lenda
ég	fp1en	ég
inn	aa	inn
á	ao	á
eina	tfveo	einn
bloggsíðu	nveo	bloggsíða
.	.	.
Það	fphen	það
fór	sfg3eþ	fara
nú	aa	nú
ekki	aa	ekki
betur	aam	vel
en	c	en
svo	aa	svo
að	c	að
ég	fp1en	ég
er	sfg1en	vera
orðin	sþgven	verða
heltekin	lvensf	heltekinn
af	aþ	af
þessari	faveþ	þessi
síðu	nveþ	síða
og	c	og
það	fphen	það
ekki	aa	ekki
af	aþ	af
góðu	lheþsf	góður
.	.	.
Allt	fohen	allur
sem	ct	sem
ég	fp1en	ég
les	sfg1en	lesa
þar	aa	þar
fer	sfg3en	fara
svo	aa	svo
rosalega	aa	rosalega
í	ao	í
taugarnar	nvfog	taug
á	aþ	á
mér	fp1eþ	ég
en	c	en
samt	aa	samt
get	sfg1en	geta
ég	fp1en	ég
ekki	aa	ekki
hætt	ssg	hætta
að	cn	að
fara	sng	fara
inn	aa	inn
á	ao	á
hana	fpveo	hún
.	.	.
Hún	fpven	hún
virkar	sfg3en	virka
á	ao	á
mig	fp1eo	ég
eins	aa	eins
og	c	og
sagt	sþghen	segja
er	sfg3en	vera
um	ao	um
bílslys	nheo	bílslys
...	...	...
maður	nken	maður
vill	sfg3en	vilja
ekki	aa	ekki
horfa	sng	horfa
en	c	en
gerir	sfg3en	gera
það	fpheo	það
samt	aa	samt
og	c	og
fyllist	sfm3en	fylla
ófögnuði	nkeþ	ófögnuður
.	.	.
Þessi	faven	þessi
blessaða	lvenvf	blessaður
síða	nven	síða
sem	ct	sem
haldin	sþgven	halda
er	sfg3en	vera
út	aa	út
af	aþ	af
nokkrum	fokfþ	nokkur
strákum	nkfþ	strákur
á	aþ	á
þrítugsaldri	nkeþ	þrítugsaldur
er	sfg3en	vera
gjörsamlegt	lhensf	gjörsamlegur
bull	nhen	bull
út	aa	út
í	ao	í
eitt	tfheo	einn
eða	c	eða
það	fphen	það
er	sfg3en	vera
mín	feven	minn
persónulega	lvenvf	persónulegur
skoðun	nven	skoðun
.	.	.
Málfarið	nheng	málfar
er	sfg3en	vera
fyrir	ao	fyrir
neðan	aa	neðan
allar	fovfo	allur
hellur	nvfo	hella
,	,	,
heimurinn	nkeng	heimur
þeirra	fpkfe	hann
virðist	sfm3en	virða
samanstanda	sng	samanstanda
af	aþ	af
engu	foheþ	enginn
nema	c	nema
