þrír nefndarmenn
ákvarðanir
verðjöfnun
verð
upplýsingum
tollalaga
tilliti
teljast
september
sauðfjár
samninga
reglum
nýju
nefndarinnar
magn
lögbýli
kröfum
komi
kemur
kafla
innflutning
i
hverju
heimild
greiðslur
greiðslumarki
greiðslna
gildi
einn
aðili
annast
2017
2016
2007
2002
1997
1995
1994
1993
16
15
10
01
þróun
þessari
útflutning
áhrif
ábúanda
verðlagsár
verkefni
vara
uppruna
upplýsingar
tilnefndur
tilfærslur
tekið
tegunda
talið
séu
stærð
stuðningur
stuðla
stjórn
starfsemi
standa
skylt
skráningar
skrá
skipt
skilgreint
sauðfjárræktar
samræmi
samningum
samningi
samning
samið
sala
rétt
ræða
reglugerðum
reglugerð
rannsóknir
nægjanlegt
nánari
nefndinni
nauðsynlegt
nautgriparæktar
miðast
misnotkun
matvælastofnunar
mats
mat
markmið
markað
magni
lögum
lögbýla
láta
leita
landbúnaðarvörum
landbúnað
laganna
kveðið
kostnaði
jarðareigandi
iv
innlausnar
innlausn
innflutnings
hollustu
heildargreiðslumarks
heildargreiðslumarki
heildargreiðslumark
heilbrigði
hagkvæmni
grænmeti
grundvelli
greiðslumarkinu
greiddar
gerður
garðyrkjubýli
garðyrkjuafurðum
fríverslunar
framlögum
framleiðsluaðstæður
framleiðendur
framleiðendum
framleiðanda
framboði
framboð
formaður
fleiri
fjárhæð
fela
f
eftirspurn
eftirlit
dreifingar
býli
breytingum
beingreiðslu
aðstöðu
atriði
alþjóðaviðskiptastofnunarinnar
afurðum
afurðaverðs
afurðastöðvar
99
8
70
65
57
49
41
38
32
30
29
28
27
2015
2013
2012
2011
2010
2009
2008
2004
2003
2000
1998
1985
18
12
0602
þörf
þætti
þrjú
þjónustu
þ
ýmis
úttektaraðila
úttekt
úthlutunarkvóti
úthlutunarheimildir
ú
öllum
óvirkt
óskir
óskað
ósk
óheimilt
óheimil
óheftur
ísland
ísat2008
ærkjöts
ærgilda
ær
áætlanir
átt
ástæðum
áskilja
árs
ári
álagsgreiðsla
álagningu
ákvörðunar
ákvæðinu
ákveðnir
ákveða
ákvarðana
ákvarða
áhættuflokkun
áheyrnarfulltrúa
ábúendaskipti
ábyrgð
ábyrgur
z
yfirstjórn
yfirmat
y
xxii
xiii
xii
xi
x
w
vörur
vöruna
vörum
vísað
vísa
víkja
viðveru
viðurlög
viðskiptakjör
viðmiðunarverð
viðmiði
viðmiðanir
vitund
virðisaukaskattsnúmer
virðisaukaskatt
vinnur
vinnulaunum
vinnuframlag
vinna
viii
vii
vi
vetur
verðákvörðun
verðtilfærslu
verðskráningu
verðmyndun
verðlagðar
verðlagsgrundvöll
verðlagsbreytingum
verðjafna
verðbreytingar
versla
verkefnum
verkaskiptingu
velja
veldur
veitt
veita
veg
varamenn
valdsvið
v
uppgerðir
uppfyllt
uppfylli
umsækjandi
umsjón
umhverfisvitund
umboð
ull
u
tímabilum
tímabilinu
tvö
tré
tryggja
tryggi
tregðast
tollur
tollum
tolltaxtar
tollstjórinn
tollskrárnúmer
tollskrá
tollkvóti
tolli
tollataxtar
tollalögum
tollalög
toll
tjóns
tilteknar
tiltekinn
tilnefningarrétt
tilnefningar
tilnefndir
tillögurétt
tillögur
tillögunum
tilkynnt
tilkynningar
tilgreindur
tilgreindir
tilgreind
tilgangi
tilbúnir
tilbúinn
tengjast
teknar
tekna
tekin
tegundum
talin
takmörkunum
taki
t
sýnatökur
sýnatöku
söluna
sölumeðferðar
síðar
sérhæfni
sáttar
synja
svína
styttra
stuðningsgreiðslur
stuðning
stofnunum
stofna
stjórnvaldsreglum
stjórnsýslustigi
staðfesting
staðfest
stað
starfsstéttum
starfsreglur
starfi
starfa
starf
ssg
smásöluverslunar
sláturtíma
sláturafurðum
slátrun
skýrsluhalds
skýrslu
sköttum
skógræktarinnar
skyni
skugga
skráður
skráð
skráningu
skráning
skrautjurtir
skortur
skorið
skjalfestar
skipuð
skipuleggur
skiptist
skiptingu
skipaðir
skilyrði
skilmálar
skerðir
skerðingu
skerða
sjávarútvegs
sjálfstæð
sinnt
setur
settar
sett
sept
semja
seljanda
selja
sekur
segir
sbr
sauðir
sauðfjárrækt
sauðfjárbúi
sauðfjárbændur
sauðfjárafurða
samþykktum
samræmis
samráði
samningur
samningunum
samningstímanum
samningsins
samningsgerðar
samningsbundin
samningnum
samninginn
samningaviðræður
samningar
samninganefnd
samkomulagi
samkomulag
samkeppnislaga
samkeppni
sameinast
sambúðarfólk
sagt
s
röngum
ríkjum
ríkisstofnanir
ríkissjóði
ríkissjóð
ríkisbú
réttarstöðu
ráðuneytisins
ráðuneytis
ráðuneyti
ráðstöfunar
ráðgjafar
ráða
runna
rgl
reynslu
renna
rekstri
rekstrarkostnaði
rekstrarkostnaðar
rekstrargjöld
rekið
reglur
raskast
rannsóknum
r
q
pökkunar
plöntusjúkdóma
plantna
p
orðaskýringar
okt
o
nýttir
nýtt
nýsköpunarráðuneyti
nýsköpun
nýliðar
nóv
náð
náttúruhamfara
ná
noti
notað
notar
niðurstöðu
niðurstaðna
niðurgreiðslu
neytendur
neytenda
neyslu
nefndina
nautgripakjöti
n
mönnum
mætt
mælt
mæla
mánuði
mánaðar
málsmeðferð
mála
mjólkurvörur
mjólkurvörum
mjólkursamlaga
mjólkurafurðum
mjólkurafurðir
miðað
mið
milliríkjasamningum
mgr
meðferðar
meðalbúi
meðalbú
metin
mest
merktar
merkt
menn
matvæli
matsreglur
matsmönnum
matsmenn
matinu
markaðsvitund
markaði
margra
magntollur
m
lýtur
lömb
lögtaki
löggilda
lögbýlum
lögbýlið
lögaðili
lögaðila
lög
lítrum
lækkunar
látið
lágmarksverð
lyfjanotkunar
loðdýra
ljós
liðum
liðir
liðin
lið
liggur
leyti
leyft
leiðir
leitt
leitað
leigu
launakostnað
launabreytingum
landsvæðum
landsvæðis
lands
landnota
landinu
landi
landbúnaðarvörur
landbúnaðarráðherra
landbúnaðarframleiðslu
landbótaáætlun
landbótaáætlanir
l
kíló
kæruheimildir
kvöðum
kvótinn
kveða
kunna
kostnaður
kostnaðarútreikninga
kostnað
komu
komið
kjöti
kjör
kaupum
kaupanda
kaup
kartöflur
kafli
k
jörð
jökulflóða
jöfnuði
jarðræktar
jarðalaga
jan
j
ix
innleyst
innleggsmánuð
innleggsdegi
innlegg
innlausnarskyldu
innheimtu
innflutningstímabil
innflutninginn
innanlandsmarkaði
iii
ii
hærra
háðir
hvern
hrútar
hráefnistegundir
hrossa
hollustuhætti
hlutkesti
hlutfall
hluta
hlotið
hliðsjón
hjúskap
hjón
hins
hinn
hendi
heimildir
heilsufars
heildsöluverðlagningar
heildsöluverð
heildsölu
heildarmagni
heildarframlögum
heildarframleiðsla
heilbrigðisskoðun
hagstofustjóri
hagsbóta
hagnýtingar
hagkvæmt
h
gæðum
gæðastjórn
gæðamat
gæðakerfi
gæðaflokkun
gæðaflokkum
gærum
gróðrarstöð
greiðslumarkshafa
greiðsla
greiðist
greinir
greininni
greiddur
greidd
gr
gjald
gilda
geymslu
getið
gerst
gerist
gengið
gemlinga
gefur
gefin
gefa
garðávextir
garðyrkjubýlum
garðyrkju
garðplöntur
gagni
g
för
fóðrunar
félagsmaður
félagsbúi
félagar
fé
færni
færist
fáanleg
fyrirtækjum
fyrirsvar
fyrirsjáanlegur
fyrirmælum
fyrirgreiðslu
fundargerðir
fulltrúar
fullnustu
frumframleiðendum
frests
fresti
framsal
framleiðsluöryggi
framleiðsluskilyrði
framleiðsluskeiðinu
framleiðsluskeiði
framleiðslumagn
framleiðslukostnaður
framleiðsluaðstöðu
framleiðsluaðferðir
framleiddar
framförum
forsetaúrskurði
forkaupsrétt
forgang
flutnings
flutning
flokkunar
flokkun
flokkað
flokkast
fjármagnskostnað
fjármagns
fjallað
fjalla
fellur
fella
farið
fallið
falla
falin
fagmennsku
endurútgefin
endurskoðunar
endanlegar
eldi
eitt
einstaklingur
einstaklingum
einkaaðila
einingar
eiganda
egg
eftirlitsáætlun
eftirliti
efna
e
des
dagsektir
daga
d
c
býlum
býlið
býlinu
búvörum
búvörulög
búvöruframleiðslu
búvöruframleiðenda
bústofni
búskaparáform
búskaparlok
búnaðarmálasjóðsgjaldi
búinu
búgreinafélög
búfjárhald
búa
bú
bönnuð
bætur
bændur
bændum
bæja
byggðasjónarmiða
byggða
brýtur
bráðabirgða
brot
breytt
bregðast
brbákv
birtur
birtir
birta
birgðir
birgða
bindandi
ber
beitiland
b
aðstoðar
aðilinn
aðilaskiptingu
aðilaskipti
aðför
aðbúnaðarkröfum
aðbúnaðar
aðbúnað
aðalmenn
atvinnuvega
atvinnu
almanaksárið
almanaksár
alifugla
afurðaverði
afurðastöðvum
afurðasala
afurð
afnota
aa
98
938
92
9093
9091
9
88
87
86
85
84
83
82
81
807
80
792
79
78
777
77
76
75
74
726
72
71
69
68
67
660
66
651
64
63
624
62
617
615
61
60
59
58
56
55
54
535
53
524
523
522
52
511
51
500
50
488
482
46
448
422
42
407
40
39
373
37
36
35
34
33
31
26
25
24
234
23
224
22
21
2018
2014
2006
2005
2001
20
1999
1996
1992
1989
1988
1909
19
182
173
17
167
162
160
147
141
1400
140
14
138
131
130
13
129
126
124
121
119
1183
1182
1181
1180
112
1100
11
102
101
0603
02
tók gildi
bæja
ábyrgð
fullorðið sauðfé
máli skipta
9
10
kvótinn
l
landssamtökum sauðfjárbænda
tollalögum
magn mjólkur
ix
tilgangi
vi
annast verkefni
uppgerðir
kaupum
hverri búgrein
velferð dýra
veitir rétt
lands
yfirstjórn
heildsöluverð
færni
hagkvæmri stærð
framleiðslu búvara
leita tilboða
velferð búfjár
skógræktarinnar
alvarlegra búfjár
staðfesting
röskun framleiðsluskilyrða
stofnun alþjóðaviðskiptastofnunarinnar
reglugerð
nauðsynleg kynslóðaskipti
tilnefna mann
aðilinn
92
desember 2020
landi
komandi verðlagsár
ákvörðun heildargreiðslumarks
tilnefningu fulltrúa
bókhaldsskyldra einstaklinga
1995
beingreiðslur
30
samningunum
62
júní 2002
gæðaflokkum
gefur
88
nefndin fjallar
ákvörðunar
fresti
júlí 2011
láta matvælastofnun
viðauka i
fjölbreyttara framboði
gæðastýringargreiðslna skv
fyrirmælum
vinnsluaðilum mjólk
úttektir skv
h
greiðslumarks
neytenda
ríkisbú
úthlutar tollkvótum
sbr
eldi
75
greiðslumarki lögbýlisins
samningstímanum
hléi lýkur
kveðið
kunna
fráviksmörk beingreiðslu
gerður
1100
verðtilfærslu
fjármagns
8
afsetningu afurða
áheyrnarfulltrúa
beingreiðslna
skipt
65
flokkast
jan
tregðast
undirflokkum 01
615
hollustu
framangreindu ásetningshlutfalli
stenst kröfur
láta
reglum
i
aðför
vísa
hverju
komu
– 16
01
tilnefndir
heildarmagni
lögtaki
mat
fjárhæð
ljós
tilfærslur framlaga
desember 2017
óvenjulegs veðurfars
slík ákvörðun
aðalmenn
tilkynningar
merking orða
hefðbundinnar sérstöðu
tilgangur laganna
skráður
samninganefnd
64
látið
bændasamtökum íslands
bændur
heimild verðlagsnefndar
tilnefningar
seljanda
ráðgjafar
almennum vinnumarkaði
tiltekin krónutala
verkefnum
óvígðri sambúð
36
viðkomandi vöru
stuðningur ríkisins
1996
flokkunar
noti
31
óvirkt
framleiðslu
veg
brýtur
ærgildi greiðslumarks
hráefnistegundir
endanlegar
júní 1998
xi
12
verðjöfnun skal
apríl 2003
skráð
virða endurgjald
garðyrkju
skýrsluhalds
sauðir
tímabilum
ísland
skilgreint
rætt hverju
semja
ábúendaskipti
46
fjalla
verðlagsnefnd ákveður
slátrun
2003
x
182
breytilegar aðstæður
fóðrunar
fullnustu
söluaðilar skuli
2002
landbúnaðarvörur
hvern
m
samningum
kröfu stjórnvalda
dreifingu raforku
innlausnarskyldu
55
jöfn mismun
þessari
viðskiptakjör
mgr
för
neyslu
38
alifugla
maí 1994
málefni vinnumarkaðar
skorið
t
handhafi
kíló
– 18
standa straum
lögaðila
147
viðmiðanir
kartöflur
geymslu
verði eigendaskipti
birgða
verðlagningu búvara
vinnslufyrirtækja mjólkur
rekið
skal tilnefndur
heilsufars
haga greiðslum
úthluta tollkvótum
landsvæðis
greininni
félagi atvinnurekenda
mjólkurafurðum
áframhaldandi hagræðingu
ráðherra heimilt
488
komi
50
einingar
mars 2007
séu
rekstrarkostnaðar
ii
119
2005
9093
sé tekið
kostnað
búvörum
35
nemur
– 32
neytendur
mjólkurvörur
segir
aðild sína
79
orðaskýringar
hönd ríkisstjórnarinnar
framleiðandi kann
síðari breytingum
nafn leiguliða
lítrum
undangengins dóms
bættri samkeppnishæfni
25
stofna
greiðslumark
landbúnaðarvörum
janúar 2007
61
viðkomandi landbúnaðarvörum
sérstakra rannsókna
tilgreind
13
magn
reglugerðum
dreifingu mjólkurafurða
hærra
69
annan hátt
markmið
samráði
loknu hléi
leiðir
nýtt
eigandi lögbýlis
halda
yfirmat
422
kaupa greiðslumark
skuli innheimt
þarfir þjóðarinnar
verðlagsgrundvöll
tollalög
000 kr
viðaukum i
tilgreindir
meðferðar
áframhaldandi þróun
fella
maí 2002
lög
jarðareigandi
umboð
ábyrgur
bregðast
afurðastöðva
rekstrarkostnaði
úthlutunarkvóti
86
kaup
opinberum heilbrigðis
garðyrkjubýli
áætla má
vörulið 0406
framleiðenda garðyrkjuafurða
hlutfall
nánustu samræmi
kafli
2014
starfsskilyrði nautgriparæktar
83
viðurkenningu skv
sagt
bindandi
vinnslu
1909
endurnýjunar fjárstofnsins
tímabilinu
smásöluverslunar
beingreiðslna takmarkast
falin
16
76
mjólkurafurðir
auðvelda nýliðun
markmiðum stjórnvalda
verðlagsnefnd búvöru
framsal
búskaparáform
vara
1400
807
ákveður
meiri innflutning
stjórnvaldsreglum
77
heildsöluverðlagningar
styðja framleiðslu
tekjuöflun ríkisins
heildargreiðslumarki
2009
stjórn búvöruframleiðslunnar
fáanleg
tilfærslur
ull
miklu álagi
kostnaður
skerðingu
vitund
álagningin tekur
skuli metið
júní
129
þessara félagssamtaka
löggildingu matsmanna
tollkvóti
búskaparlok
forsetaúrskurði
óheftur
eitt
938
má gjaldið
2004
málefnalegar ástæður
gemlinga
gæðamat
hlotið
aðskilinn búrekstur
heimilað sölu
takmörkunum
einstakar búvörur
greiðslumark sauðfjár
ákveðnir
14
áhrif
víkja
bændum
2012
hverja þyngdareiningu
framleiðsluöryggi
atvinnugreinanúmer 01
hverju lögbýli
óskir
birgðir
býlið
sambúðarfólk
sé
innlagðar búvörur
tryggi
misvísandi upplýsingum
sláturafurðum
talin
fyrirsvar
efna
lyfjanotkunar
tilkynna skal
neytendasamtökunum drög
greiðslumarkshafa
1181
framkvæma matið
mætt
viðveru
búvöruframleiðslu
sjálfbæra landnýtingu
falla
aðili
samið
endurútgefin
xii
ræða viðskipti
nánari reglum
sölu skal
gæðum
sáttar
heildsölu
veitingu innflutningsleyfa
búgreinafélög
tilkynnt
búa
sinnt
tilteknu marki
leitt
nýttir
afurðastöðvar
p
72
störf stofnunarinnar
lok ábúðar
jafnmörgum líflömbum
verð búvara
almanaksárið
nægjanlegt
virðisaukaskatt
greiðslna
breytingu skráningar
matsmönnum
framleiðslumagn
xiii
nauðsynlegt starfslið
frumframleiðendum
ráðherra skal
fyrirsjáanlegur
tré
úttektaraðila
afnota
veita
félagsmaður
gagni
lægra vöruverði
konar samstarf
mjólk
garðyrkjubýli skal
s
greiðslumarki
fleiri
74
júní 2008
júlí 2016
formaður nefndarinnar
57
samtaka afurðastöðva
bústofni
ríkisstofnanir
lögbýla
virðisaukaskattsskylda veltu
samráðsvettvangur samningsaðila
framleiðandi búvöru
efri marka
skýrslu
27
gærum
sýnatöku
nefndin skal
talið
afurð
júní 2004
gengið
– 73
sækja skal
greinir
handhafi greiðslumarks
ær
140
birtir
upplýsingum
atvinnulegu tilliti
ákveðinna tímamarka
samtökum verslunar
flokks mjólk
224
20
160
126
opinberum aðila
stað
leitað
greiðslumarki skv
framleiðenda teljast
verðjafna
ganga megi
sýnt þykir
15
eftirlit skv
liðum
mönnum
57 16
samþykktum
e
innheimtu
stöðugrar dreifingar
afurðastöð skylt
fela matvælastofnun
mest
greiðslumarkinu
2000
tjóns
524
ber
80
góða þekkingu
407
511
skv
kjör
júní 2016
dreifingu
nefndarinnar
v
standa
framleiddar
handhafa greiðslna
viðkomandi
nr
sama verði
framboð
stunda landbúnað
28
2018
tvö
viðauka iia
verði mjólkur
fengnu samþykki
síðar
41
teljast
garðyrkjuafurðum
júlí 1985
sauðfé
landbúnaðarráðherra
sjálfstæð
skipuð
sama tíma
sauðfjárrækt
afurðir búfjár
binda samninga
handhafa
2007
innleggsdegi
mið
fela
