[ [
tóku sfg3fþ
gildi nheo
3. ta
mars nkeo
2007 ta
) )
, ,
l. lhfnsf
58/2007 ta
( (
tóku sfg3fþ
gildi nheo
1. ta
jan. nkeo
2008 ta
; ;
komu sfg3fþ
til ae
framkvæmda nvfe
skv. aþ
fyrirmælum nhfþ
í aþ
24. ta
gr. nveo
) )
, ,
l. lhfnsf
167/2007 ta
( (
tóku sfg3fþ
gildi nheo
1. ta
jan. nkeo
2008 ta
) )
, ,
l. lhfnsf
88/2008 ta
( (
tóku sfg3fþ
gildi nheo
1. ta
jan. nkeo
2009 ta
nema c
brbákv nhen
. .
 
VII lkenvf
sem ct
tók sfg3eþ
gildi nheo
21. ta
júní nkeo
2008 ta
) )
, ,
l. lhfnsf
173/2008 ta
( (
tóku sfg3fþ
gildi nheo
1. ta
jan. nkeo
2009 ta
; ;
komu sfg3fþ
til ae
framkvæmda nvfe
skv. aþ
fyrirmælum nhfþ
í aþ
20. ta
gr. nveo
) )
, ,
l. lhfnsf
67/2009 ta
( (
tóku sfg3fþ
gildi nheo
25. ta
júní nkeo
2009 ta
) )
, ,
l. lhfnsf
98/2009 ta
( (
tóku sfg3fþ
gildi nheo
1. ta
okt. nvfo
2009 ta
nema c
69. ta
og c
70. ta
gr. nven
sem ct
tóku sfg3fþ
gildi nheo
1. ta
jan. nkeo
2010 ta
) )
, ,
l. lhfnsf
46/2010 ta
( (
tóku sfg3fþ
gildi nheo
29. ta
maí nkeo
2010 ta
) )
, ,
l. lhfnsf
162/2010 ta
( (
tóku sfg3fþ
gildi nheo
1. ta
jan. nkeo
2011 ta
) )
, ,
l. lhfnsf
74/2011 ta
( (
tóku sfg3fþ
gildi nheo
1. ta
jan. nkeo
2012 ta
) )
, ,
l. lhfnsf
92/2011 ta
( (
tóku sfg3fþ
gildi nheo
1. ta
júlí nkeo
2011 ta
) )
, ,
l. lhfnsf
126/2011 ta
( (
tóku sfg3fþ
gildi nheo
30. ta
sept. nvfo
2011 ta
) )
, ,
l. lhfnsf
129/2012 ta
( (
tóku sfg3fþ
gildi nheo
1. ta
jan. nkeo
2013 ta
) )
, ,
l. lhfnsf
160/2012 ta
( (
tóku sfg3fþ
gildi nheo
3. ta
jan. nkeo
2013 ta
) )
, ,
l. lhfnsf
55/2013 ta
( (
tóku sfg3fþ
gildi nheo
1. ta
jan. nkeo
2014 ta
) )
, ,
l. lhfnsf
140/2013 ta
( (
tóku sfg3fþ
gildi nheo
31. ta
des. nveþ
2013 ta
nema c
1. ta
– nhen
2. ta
, ,
4. ta
– nhen
12. ta
, ,
16. ta
– nhen
18. ta
, ,
23. ta
– nhen
29. ta
, ,
31. ta
– nhen
32. ta
, ,
34. ta
– nhen
38. ta
og c
40. ta
– nhen
48. ta
gr. nven
sem ct
tóku sfg3fþ
gildi nheo
1. ta
jan. nkeo
2014 ta
og c
21. ta
gr. nven
sem ct
tók sfg3eþ
gildi nheo
1. ta
jan. nkeo
2016 ta
; ;
komu sfg3fþ
til ae
framkvæmda nvfe
skv. aþ
fyrirmælum nhfþ
í aþ
49. ta
gr. nveo
) )
, ,
l. lhfnsf
124/2014 ta
( (
tóku sfg3fþ
gildi nheo
1. ta
jan. nkeo
2015 ta
nema c
3. ta
gr. nven
sem ct
tók sfg3eþ
gildi nheo
31. ta
des. nveþ
2014 ta
og c
a x
– nhen
d- lhfnsf
, ,
f sfg3eþ
– nhen
h- nhen
og c
j nhen
– nhen
l-liðir nkfn
1. ta
gr. nven
sem ct
tóku sfg3fþ
gildi nheo
1. ta
jan. nkeo
2016 ta
; ;
komu sfg3fþ
til ae
framkvæmda nvfe
skv. aþ
fyrirmælum nhfþ
í aþ
11. ta
gr. nveo
) )
, ,
l. lhfnsf
46/2015 ta
( (
tóku sfg3fþ
gildi nheo
11. ta
júlí nkeo
2015 ta
) )
, ,
l. lhfnsf
60/2016 ta
( (
tóku sfg3fþ
gildi nheo
1. ta
júlí nkeo
2016 ta
nema c
2. ta
og c
11. ta
gr. nven
sem ct
tóku sfg3fþ
gildi nheo
22. ta
júní nkeo
2016 ta
) )
og c
l. nhfe
102/2016 ta
( (
tóku sfg3fþ
gildi nhfn
1. ta
jan. nken
2017 ta
) )
. .
 
Ef c
í aþ
lögum nhfþ
þessum fahfþ
er sfg3en
getið sþghen
um ao
ráðherra nkeo
eða c
ráðuneyti nheo
án ae
þess fphee
að c
málefnasvið nhen
sé svg3en
tilgreint sþghen
sérstaklega aa
eða c
til ae
þess fphee
vísað sþghen
, ,
er sfg3en
átt sþghen
við ao
sjávarútvegs- nkeo
og c
landbúnaðarráðherra nkeo
eða c
atvinnuvega- nhen
og c
nýsköpunarráðuneyti nhen
sem ct
fer sfg3en
með ao
lög nhfo
þessi fahfo
. .
 
Upplýsingar nvfn
um ao
málefnasvið nheo
ráðuneyta nhfe
skv. aþ
forsetaúrskurði nkeþ
er sfg3en
að cn
finna sng
hér aa
. .
 
I. lkensf
kafli nken
. .
 
Tilgangur nken
laganna nhfeg
og c
orðaskýringar nvee
. .
 
1. ta
gr. nven
 
Tilgangur nken
þessara fahfe
laga nhfe
er sfg3en
: :
a. fohee
að cn
stuðla sng
að aþ
framförum nvfþ
og c
aukinni lveþsf
hagkvæmni nveþ
í aþ
búvöruframleiðslu nveþ
og c
vinnslu nveþ
og c
sölu nveþ
búvara nkee
til ae
hagsbóta nvfe
fyrir ao
framleiðendur nkfn
og c
neytendur nken
, ,
b. nhen
að c
framleiðsla nven
búvara nkee
til ae
neyslu nvee
og c
iðnaðar nkee
verði svg3en
í aa
sem aa
nánustu lhfnve
samræmi nhfn
við ao
þarfir nvfo
þjóðarinnar nveeg
og c
tryggi svg3en
ávallt aa
nægjanlegt lheosf
vöruframboð nheo
við ao
breytilegar lvfosf
aðstæður nvfo
í aþ
landinu nheþg
, ,
c. x
að c
nýttir sþgkfn
verði svg3fn
sölumöguleikar nkfn
fyrir ao
búvörur nvfo
erlendis aa
eftir aþ
því faheþ
sem ct
hagkvæmt lhensf
er sfg3en
talið sþghen
, ,
d. nhen
að c
kjör nhfn
þeirra fphfe
sem ct
landbúnað nkeo
stunda sfg3fn
verði nheþ
í aa
sem aa
nánustu lhfove
samræmi nhfo
við ao
kjör nhfo
annarra fovfe
stétta nvfe
, ,
e. sfg3en
að c
innlend lhfnsf
aðföng nhfn
nýtist svm3fn
sem aa
mest aae
við ao
framleiðslu nveo
búvara nkee
, ,
bæði c
með aþ
hliðsjón nveþ
af aþ
framleiðsluöryggi nheþ
og c
atvinnu nveþ
, ,
f. ao
að cn
stuðla sng
að aþ
jöfnuði nkeþ
á aa
milli ae
framleiðenda nkfe
í aþ
hverri foveþ
búgrein nveþ
hvað fshen
varðar sfg3en
afurðaverð nheo
og c
markað nkeo
. .
 
2. ta
gr. nven
 
[ [
Merking nven
orða nhfe
í aþ
lögum nhfþ
þessum fahfþ
er sfg3en
sem c
hér aa
segir sfg3en
: :
1 ta
. .
 
Afurðastöð nven
er sfg3en
hver fsken
sá faken
lögaðili nken
eða c
einstaklingur nken
sem ct
tekur sfg3en
við aa
afurðum nvfþ
úr aþ
höndum nvfþ
frumframleiðenda nkfe
til ae
vinnslu nvee
, ,
flokkunar nvee
, ,
pökkunar nvee
, ,
geymslu nvee
, ,
heildsölu nvee
eða c
dreifingar nvee
eða c
vinnur sfg3en
úr aa
eða c
selur sfg3en
eigin lveoof
frumframleiðslu nveo
umfram ao
magn nheo
sem ct
skilgreint sþghen
er sfg3en
. .
 
2 ta
. .
 
Álagsgreiðsla nven
er sfg3en
tiltekin lvensf
fjárhæð nven
sem ct
greiðist sfm3eþ
fyrir ao
gæðastýrða nkeo
framleiðslu nveþ
, ,
sbr. as
41. ta
gr. nveo
 
3 ta
. .
 
Búvörur nvfn
teljast sfm3fn
í aþ
lögum nhfþ
þessum fahfþ
afurðir nvfo
búfjár nhee
, ,
þ.m.t. as
afurðir nvfn
nautgripa nkfe
, ,
sauðfjár nhee
, ,
hrossa nhfe
, ,
svína sfg3fn
, ,
alifugla nkfe
og c
loðdýra nhfe
, ,
afurðir nvfo
nytjajurta nvfe
og c
afurðir nvfo
hlunninda nhfe
. .
 
Lög nhfn
þessi faven
taka nven
ekki aa
til ae
afurða nvfe
alifiska nkfe
. .
 
4 ta
. .
 
Framleiðandi lkenof
er sfg3en
hver fsken
sá faken
sem ct
á aþ
eigin lkfþof
vegum nkfþ
hefur sfg3en
með aþ
búvöruframleiðslu nveþ
að cn
gera sng
, ,
hvort c
sem c
er sfg3en
einstaklingur nken
, ,
lögaðili nken
, ,
aðili nken
að aþ
félagsbúi nheþ
eða c
ríkisbú nheo
. .
 
5 ta
. .
 
Garðyrkjubýli nheþ
, ,
gróðrarstöð nveþ
og c
garðyrkjustöð nven
merkir sfg3en
í aþ
lögum nhfþ
þessum fakeþ
lögaðila nkeþ
eða c
býli nheþ
, ,
með aa
virðisaukaskattsskylda nven
veltu sfg3fþ
, ,
sem ct
framleiðir sfg3en
grænmeti nheo
( (
útirækt nveo
/ /
ylrækt nveo
) )
, ,
skrautjurtir nvfn
, ,
garðplöntur nvfo
eða c
tré nheþ
og c
runna nkeþ
. .
 
6 ta
. .
 
Greiðslumark nhen
lögbýlis nhee
er sfg3en
tiltekinn lkensf
fjöldi nken
ærgilda nhfe
eða c
magn nhen
mjólkur nvfn
mælt sþghen
í aþ
lítrum nkfþ
sem ct
ákveðið sþghen
er sfg3en
fyrir ao
hvert foheo
lögbýli nheþ
og c
veitir sfg3en
rétt aa
til ae
beingreiðslu nvee
úr aþ
ríkissjóði nkeþ
. .
 
7 ta
. .
 
Gæðastýrð lvensf
sauðfjárframleiðsla nven
eru sfg3fn
afurðir nvfn
sem ct
framleiddar sþgvfn
eru sfg3fn
samkvæmt aþ
kröfum nvfþ
í aþ
41. ta
gr. nveo
 
8 ta
. .
 
Heildargreiðslumark nhen
er sfg3en
fjöldi nken
ærgilda nhfe
eða c
tiltekið lhensf
magn nhen
mjólkur nvfn
mælt sþghen
í aþ
lítrum nkfþ
sem ct
ákveðið sþghen
er sfg3en
í aþ
samræmi nheþ
við ao
samning nkeo
skv. aþ
30. ta
gr. nveþ
og c
skiptist sfm3en
milli ae
lögbýla nhfe
eftir aþ
greiðslumarki nheþ
þeirra fphfe
. .
 
9 ta
. .
 
Lögbýli nheþ
eða c
jörð nven
er sfg3en
í aþ
lögum nhfþ
þessum fahfþ
skilgreint sþghen
skv. aþ
2. ta
gr. nveþ
jarðalaga nhfe
. .
 
10 ta
. .
 
Verðlagsár nhen
er sfg3en
almanaksárið nheng
. .
 
11 ta
. .
 
Vetrarfóðraðar lvfnsf
kindur nvfn
eru sfg3fn
ær nvfn
, ,
hrútar nkfn
, ,
sauðir nkfn
og c
lömb nhfn
sem ct
sett sþgven
eru sfg3fn
á ao
vetur nkeo
og c
talin sþghfn
eru sfg3fn
fram aa
skv. aþ
10. ta
gr. nveþ
laga nhfe
um ao
búfjárhald nheo
. .
] ]
1 ta
) )
1 ta
) )
L. nhfe
 
102/2016 ta
, ,
1. ta
gr. nveo
 
II. ta
 
kafli nken
. .
 
Yfirstjórn nven
og c
samtök nhfn
framleiðenda nkfe
. .
 
3. ta
gr. nven
 
[ [
[ [
Ráðherra nken
] ]
1 ta
) )
fer sfg3en
með ao
yfirstjórn nveo
þeirra fpvfe
mála sng
sem c
lög nhfn
þessi faven
taka nven
til aa
, ,
þar aa
með aa
talinn sþgken
útflutning nkeo
landbúnaðarvara nkee
. .
] ]
2 ta
) )
1 ta
) )
L. nhfe
 
126/2011 ta
, ,
182. ta
gr. nveo
2 ta
) )
L. nhfe
 
85/1994 ta
, ,
1. ta
gr. nveo
 
4. ta
gr. nven
 
[ [
Bændasamtök nhfn-s
Íslands nhee-s
] ]
1 ta
) )
fara sfg3fn
með ao
fyrirsvar nheo
framleiðenda nkfe
búvara nkee
við ao
framkvæmd nveo
laga nhfe
þessara fahfe
nema c
öðruvísi aa
sé svg3en
kveðið sþghen
á aa
um aa
í aþ
lögum nhfþ
þessum fahfþ
. .
 
Ráðherra nken
getur sfg3en
, ,
að c
fengnu lheþsf
samþykki nheþ
[ [
Bændasamtaka nkfe-s
Íslands nhee-s
] ]
, ,
1 ta
) )
viðurkennt ssg
einstök lhfosf
landssamtök nhfo
framleiðenda nkfe
búvara nkee
til ae
að cn
fara sng
með ao
fyrirsvar nheo
vegna ae
framleiðenda nkfe
í aþ
viðkomandi lveþof
grein nveþ
við ao
gerð nveo
samninga nkfo
skv. aþ
a-lið nveþ
1. ta
mgr. nveþ
30. ta
gr. nveþ
og c
aðrar fovfo
ákvarðanir nvfo
samkvæmt aþ
lögum nhfþ
þessum fahfþ
. .
 
[ [
Bændasamtök nhfn-s
Íslands nhee-s
] ]
1 ta
) )
eða c
landssamtök nhfn
skv. aþ
2. ta
mgr. nveþ
skulu sfg3fn
velja sng
sér fphfþ
samninganefnd nveo
sem ct
fer sfg3en
með ao
umboð nheo
þeirra fphfe
til ae
samningsgerðar nvee
. .
 
… nhen
2 ta
) )
Framleiðandi nheþ-s
búvöru nvee
, ,
sem ct
lög nhfn
þessi faven
taka nven
til aa
, ,
á ao
rétt nkeo
til ae
að cn
vera sng
félagsmaður nken
í aa
[ [
Bændasamtökum nhfþ-s
Íslands nhee-s
] ]
1 ta
) )
eða c
viðurkenndum lhfþvf
samtökum nhfþ
búvöruframleiðenda nkfe
skv. aþ
2. ta
mgr. nvee
þessarar favee
greinar nvee
eftir aþ
nánari lvfþvm
reglum nvfþ
í aþ
samþykktum nvfþ
[ [
Bændasamtaka nkfe-s
Íslands nhee-s
] ]
. .
 
1 ta
) )
Samningar nkfn
, ,
sem ct
[ [
Bændasamtök nhfo-s
Íslands nhee-s
] ]
1 ta
) )
eða c
viðurkennd lhfnsf
samtök nhfn
skv. aþ
2. ta
mgr. nveþ
gera sfg3fn
skv. aþ
a-lið nveþ
1. ta
mgr. nveþ
30. ta
gr. nveþ
, ,
skulu sfg3fn
vera sng
bindandi lhfnof
fyrir aþ
framleiðendur nkfn
viðkomandi lvenof
búvara nven
hvort c
sem c
þeir fpkfn
eru sfg3fn
félagar nkfn
í aa
[ [
Bændasamtökum nhfþ-s
Íslands nhee-s
] ]
, ,
1 ta
) )
samtökum nhfþ
skv. aþ
2. ta
mgr. nveþ
eða c
standa sfg3fn
utan ae
þessara fahfe
félagssamtaka nhfe
. .
 
1 ta
) )
L. nhfe
 
124/1995 ta
, ,
19. ta
gr. nveo
2 ta
) )
L. nhfe
 
102/2016 ta
, ,
2. ta
gr. nveo
 
III. ta
 
kafli nken
. .
 
… nhen
1 ta
) )
1 ta
) )
L. nhfe
 
112/1999 ta
, ,
5. ta
gr. nveo
 
IV ta
. .
 
kafli nken
. .
 
Um ao
verðskráningu nveo
á aþ
búvörum nvfþ
. .
 
7. ta
gr. nven
 
[ [
Verðlagsnefnd nven-s
búvara nven
, ,
skipuð sþgven
sex tfkfþ
mönnum nkfþ
, ,
ákveður sfg3en
afurðaverð nhen
til ae
búvöruframleiðenda nkfe
og c
verð nheo
búvara nkee
í aþ
heildsölu nveþ
. .
 
Samtök nhfn
launþega nkfe
tilnefna sfg3fn
tvo tfkfo
fulltrúa nkfo
í ao
nefndina nveog
. .
 
Skal sfg3en
annar foken
þeirra fphfe
tilnefndur sþgken
af aþ
stjórn nveþ
Bandalags nhee-s
starfsmanna nkfe
ríkis nhee
og c
bæja nkfe
og c
hinn faken
af aþ
stjórn nveþ
Alþýðusambands nhee-s
Íslands nhee-s
. .
 
Noti svg3en
annar foken
aðilinn nkeng
ekki aa
tilnefningarrétt nkeo
sinn feken
færist sfm3en
réttur nken
hans fpkee
til ae
hins fakee
. .
 
Stjórn nven
Bændasamtaka nkfe-s
Íslands nhee-s
og c
stjórnir nvfo
búgreinasamtaka nhfe
, ,
sem ct
hlotið ssg
hafa sfg3fn
viðurkenningu nveo
skv. aþ
4. ta
gr. nveþ
og c
starfa nkeþ
fyrir ao
búgreinafélög nhfo
þeirra favfe
afurða nvfe
sem ct
verðlagðar lvfnsf
eru sfg3fn
hverju fsheþ
sinni nheþ
, ,
tilnefna sfg3fn
tvo tfkfo
fulltrúa nkfo
í ao
nefndina nveog
sameiginlega aa
. .
 
Skal sfg3en
annar foken
þeirra fphfe
tilnefndur sþgken
til ae
að cn
fjalla sng
eingöngu aa
um ao
verðmyndun nveo
til ae
framleiðenda nkfe
. .
 
Skal sfg3en
hann fpken
víkja sng
úr aþ
nefndinni nveþg
fyrir ao
fulltrúa nkfo
samtaka lvfeof
afurðastöðva nvfe
í aþ
nefndinni nveþg
þegar c
fjallað sþghen
er sfg3en
um ao
verðmyndun nveo
hjá aþ
afurðastöðvum nvfþ
. .
 
Samtök nhfn
afurðastöðva nvfe
fyrir ao
búvörur nvfo
tilnefna sfg3fn
tvo tfkfo
fulltrúa nkfo
í ao
nefndina nveog
. .
 
Skulu sfg3fn
þeir fpkfn
tilnefndir lkfnsf
þannig aa
að c
í aþ
nefndinni nveþg
starfi svg3en
hverju fsheþ
sinni feveþ
fulltrúar nkfn
frá aþ
þeirri faveþ
vinnslugrein nveþ
sem ct
um aa
er sfg3en
rætt sþghen
hverju fsheþ
sinni nheþ
. .
 
Annar foken
þessara fakfe
fulltrúa nkfe
skal sfg3en
tilnefndur sþgken
til ae
að cn
starfa sng
aðeins aa
í aþ
nefndinni nveþg
þegar c
nefndin nveng
fjallar sfg3en
um ao
verðmyndun nveo
hjá aþ
afurðastöðvum nvfþ
og c
kemur sfg3en
í ao
stað nkeo
fulltrúa nkfe
framleiðenda nkfe
sem ct
víkur nvfo
sæti svg3eþ
. .
 
[ [
Ráðherra nken
] ]
1 ta
) )
tilnefnir sfg3en
einn tfkeo
fulltrúa nkeo
í ao
nefndina nveog
og c
er sfg3en
hann fpken
formaður nken
hennar fpvee
. .
 
[ [
Einnig aa
tilnefnir sfg3en
ráðherra nken
fulltrúa nkfe
minni lkenvm
vinnslufyrirtækja nhfe
mjólkur nken
sem ct
áheyrnarfulltrúa nkfo
í ao
nefndina nveog
og c
skal sfg3en
hann fpken
hafa sng
tillögurétt nkeo
. .
] ]
2 ta
) )
Varamenn nkfn-s
skulu sfg3fn
tilnefndir lkfnsf
á ao
sama fbkeo
hátt nkeo
og c
aðalmenn lhfosf
. .
 
Ákvarðanir nvfn
í aþ
nefndinni nveþg
skulu sfg3fn
teknar lvfnsf
með aþ
einföldum lkeþsf
meiri lkeþvm
hluta nkeþ
atkvæða nhfe
. .
 
Komi svg3en
upp aa
jöfn lvensf
staða nven
atkvæða nhfe
sker sfg3en
atkvæði nhen
formanns nkee
úr aa
um ao
niðurstöðu nveo
. .
 
Tilnefningu nveþ
fulltrúa nkfe
í aþ
verðlagsnefnd nveþ
skal sfg3en
lokið nheng
15. ta
júní nken
ár nhfo
hvert foheo
. .
 
Nú aa
notar sfg3en
einhver foken
aðili nken
ekki aa
rétt lheosf
sinn nheo
til ae
tilnefningar nvee
og c
skal sfg3en
[ [
ráðherra nken
] ]
1 ta
) )
þá aa
tilnefna sng
mann nkeo
í ao
nefndina nveog
í ao
stað nkeo
samtaka lkfeof
framleiðenda nkfe
og c
samtaka lvfeof
afurðastöðva nvfe
en c
[ [
sá faken
ráðherra nken
er ct
fer sfg3en
með ao
málefni nhfo
vinnumarkaðar nkee
] ]
1 ta
) )
á ao
sama fbkeo
hátt nkeo
í ao
stað nkeo
samtaka lkfeof
launþega nkfe
. .
 
Nefndin nveng
skal sfg3en
fullskipuð lvensf
1. ta
júlí nkeo
ár nhfo
hvert foheo
. .
 
Hagstofustjóri nken
og c
[ [
aðili nken
skv. aþ
3. ta
gr. nveþ
a x
laga nhfe
nr. nhen
63/1989 ta
, ,
um ao
hagþjónustu lveove
landbúnaðarins nkeeg
] ]
, ,
3 ta
) )
skulu sfg3fn
vera sng
verðlagsnefnd nven
til ae
aðstoðar nvee
. .
] ]
4 ta
) )
1 ta
) )
L. nhfe
 
126/2011 ta
, ,
182. ta
gr. nveo
2 ta
) )
L. nhfe
 
102/2016 ta
, ,
3. ta
gr. nveo
3 ta
) )
L. nhfe
 
74/2011 ta
, ,
13. ta
gr. nveo
4 ta
) )
L. nhfe
 
69/1998 ta
, ,
1. ta
gr. nveo
 
8. ta
gr. nven
 
[ [
Verðlagsnefnd nven-s
ákveður sfg3en
… nheo
1 ta
) )
lágmarksverð nhfn
fyrir ao
mjólk nveo
til ae
framleiðenda nkfe
sem ct
miðast sfm3fn
við ao
1. ta
flokks nkee
mjólk nveo
með aþ
skilgreindu lveþsf
efnainnihaldi nheþ
[ [
nema c
annað fohen
sé svg3en
tekið sþghen
fram aa
í aþ
samningi nkeþ
milli aa
[ [
ráðherra nken
] ]
2 ta
) )
f.h. as
ríkisstjórnar nvee
Íslands nhee-s
og c
Bændasamtaka nkfe-s
Íslands nhee-s
] ]
. .
 
3 ta
) )
Hverri foveþ
afurðastöð nven
er sfg3en
heimilt lhensf
að cn
greiða sng
framleiðendum nkfþ
hærra aam
verð sfg1en
en c
lágmarksverð nhfn
. .
 
Verðlagsnefnd nven
ákveður sfg3en
leyfileg lhfosf
afföll nhfo
af aþ
verði nheþ
mjólkur nvfn
sem ct
ekki aa
stenst sfm3eþ
kröfur nvfo
sem ct
1. ta
flokks nkee
mjólk nveo
. .
 
Ákvörðun nven
um ao
lágmarksverð nhfo
mjólkur nvfn
skal sfg3en
byggjast snm
á aþ
gerð nveþ
verðlagsgrundvallar nkee
fyrir ao
bú nheo
af aþ
hagkvæmri lveþsf
stærð nveþ
, ,
með aþ
framleiðsluaðstöðu nveþ
þar aa
sem c
tekið sþghen
er sfg3en
mið nhen
af aþ
opinberum lvfþsf
heilbrigðis- nvfþ
og c
aðbúnaðarkröfum nvfþ
og c
hagkvæmum lkfþsf
framleiðsluháttum nkfþ
. .
 
Áætlað lhensf
vinnuframlag nhen
skili svg3en
endurgjaldi svg3en
hliðstæðu lheþsf
og c
gerist sfm3en
hjá aþ
starfsstéttum nvfþ
sem ct
bera sfg3fn
sambærilega lveosf
ábyrgð nveo
á aþ
rekstri nkeþ
og c
mæta sfg3fn
hliðstæðum lvfþsf
kröfum nvfþ
um ao
viðveru nveo
og c
færni nheo
. .
 
Ákvörðun nven
verðlagsnefndar nvee
um ao
lágmarksverð nhfo
skal sfg3en
tekin lvensf
til ae
endurskoðunar nvee
innan ae
verðlagsársins nheeg
komi svg3en
fram aa
um ao
það fpheo
ósk nveo
í aþ
nefndinni nveþg
. .
 
Framleiðslukostnaður nken
á aþ
nautgripakjöti nheþ
til ae
framleiðenda nkfe
skal sfg3en
metinn lkensf
og c
skráður sþgken
af aþ
verðlagsnefnd nveþ
samhliða aþ
ákvörðun nveþ
á aþ
lágmarksverði nheþ
mjólkur nvfn
. .
 
Heimilt lhensf
er sfg3en
verðlagsnefnd nven
að cn
ákveða sng
að c
skráning nven
á aþ
verði nheþ
nautgripakjöts nhee
falli nheþ
niður aa
. .
 
Landssambandi nheþ
kúabænda nkfe
er sfg3en
þá aa
heimilt lhensf
að cn
gefa sng
út aa
viðmiðunarverð nheo
til ae
framleiðenda nkfe
fyrir ao
einstaka lkfosf
flokka nkfo
nautgripakjöts nhee
. .
 
[ [
Verðlagsnefnd nven-s
metur sfg3en
framleiðslukostnað nkeo
sauðfjárafurða nvfe
fyrir ao
meðalbú nheo
. .
] ]
1 ta
) )
Miða sng
skal sfg3en
við ao
