þróunarstarfi búgreinar
umsagnar
umhverfisvernd
umhverfismálum
umbætur
tök
tæknilegri
tilnefningar
tillögur
tilgangi
tekin
taldir
t
sýslur
sýningarhald
sótt
sæðingarstöð
svín
svæðum
sviðum
sveitum
styðja
styrki
stuðla
stundaður
stofnverndarsjóður
stofnverndarsjóð
stofnverndarbú
stofnun
stjórnsýslustigi
staðfestir
starfsreynslu
starfsreglur
starfsemi
starfað
starfa
snerta
sláturleyfishöfum
slátrun
skýrsluhaldshugbúnaður
skýrsluhald
skógræktinni
skylt
skipulögð
skipar
skilgreiningar
sjávarútvegs
sept
semst
sbr
sauðfé
sauðfjárrækt
samþykktar
samstarfi
samræmi
samningstímanum
samningi
samninga
ríkisvaldið
rétt
ræðir
ræktunarstöðvar
ræktunarstöð
rækta
ráðuneyti
ráðunautar
ráðherra
ráðgjafar
reynslu
rannsóknir
rannsókna
nýsköpunarráðuneyti
nýliðunar
náð
nánar
nytja
nefndin
nefnd
nautgripir
nautgriparækt
mörkuð
mælt
mála
miðstöð
miða
mið
mgr
menntun
matvælastofnun
m
lýst
lögbýlum
lög
láta
loðdýr
liggja
leiðbeiningum
leiðbeiningarstarfsemi
leiðbeiningarmiðstöð
leiðbeiningar
leita
landverndar
landsvísu
landsráðunautur
landsráðunautar
lands
landi
landgreiðslur
landgreiðslna
landbúnaður
landbúnaðarnotum
landbúnaðar
l
kynnu
kynna
kynbótum
kynbótaverkefni
kynbótaskýrsluhald
kynbótamati
kynbótagripi
kynbótadóma
kr
komið
kennslu
kaupa
kanínur
kafli
jörðum
jörð
jarðarhlutum
jarðabótum
jarðabætur
jan
jafnmarga
iv
innlendum
iii
ii
i
héraðsráðunautum
hvetja
hross
hjúskap
heimilt
heimill
haldin
hagsbóta
hagfræði
hafrannsóknastofnun
hafi
grundvelli
greiðslur
greiða
greinum
greininni
greiddar
gr
gjaldskrá
gildistaka
gilda
getið
geitur
garðyrkju
g
fóðuröflunar
félög
fylgjast
fundargerðir
fræðslumálum
fræðigreinum
fresti
framlög
framkvæmdar
framförum
forsetaúrskurði
fluttir
fjármögnun
fjalla
fellur
fagsviði
fagstjóri
fagstjórar
fagráðum
fagráð
f
erfðaauðlindir
endurbætur
endanlegar
eldisfiskar
einstaklingum
einangrunarstöð
eiginleika
eftirsóknarverðir
efnda
e
dómstörf
deildir
d
c
búvísindum
búskapar
búskap
búrekstri
búnaðarfélag
búgreinasamband
búgreinafélag
búfé
búfræðum
búfjártegundum
búfjársýningar
búfjárrækt
búfjármat
búfjárframleiðslu
búfjárafurða
bráðabirgða
breytt
b
aðstoðar
aðlögun
atvinnuvega
atvinnuuppbyggingar
atvinnuskyni
alþjóðastofnunum
alþingi
almennings
alifuglar
afurðum
afgreiðslu
