Blómin	nhfng	blóm
.	.	.
Hafði	sfg3eþ	hafa
aldrei	aa	aldrei
sest	ssm	setja
við	ao	við
tölvu	nveo	tölva
.	.	.
Hún	fpven	hún
gat	sfg3eþ	geta
rakið	ssg	rekja
ættir	nvfo	ætt
sínar	fevfo	sinn
til	ae	til
Petrínu	nvee-s	Petrína
Magnúsdóttur	nvee-s	Magnúsdóttir
sem	ct	sem
fædd	sþgven	fæða
var	sfg3eþ	vera
1916	ta	1916
norður	aa	norður
á	aþ	á
Sléttu	nveþ-s	Slétta
,	,	,
dóttur	nvee	dóttir
Magnúsar	nkee-s	Magnús
franska	lkeevf	franskur
og	c	og
Kristbjargar	nvee-s	Kristbjörg
Björgvinsdóttur	nvee-s	Björgvinsdóttir
frá	aþ	frá
Vopnafirði	nkeþ-s	Vopnafjörður
.	.	.
En	c	en
hvað	fshen	hver
svo	aa	svo
?	?	?
Hún	fpven	hún
vissi	sfg3eþ	vita
ekki	aa	ekki
einu	foheþ	einn
sinni	nheþ	sinn
hvers	fskee	hver
son	nkeo	sonur
Magnús	nken-s	Magnús
franski	lkenvf	franskur
var	sfg3eþ	vera
.	.	.
Hlaut	sfg3eþ	hljóta
ekki	aa	ekki
fóstra	nven	fóstra
hennar	fpvee	hún
að	cn	að
hafa	sng	hafa
vitað	ssg	vita
meira	lheovm	mikill
?	?	?
Hún	fpven	hún
bað	sfg3eþ	biðja
um	ao	um
að	cn	að
láta	sng	láta
fletta	sng	fletta
sér	fpveþ	sig
upp	aa	upp
í	aþ	í
Íslendingabók	nveþ-s	Íslendingabók
en	c	en
bókavörðurinn	nkeng	bókavörður
gat	sfg3eþ	geta
það	fpheo	það
ekki	aa	ekki
og	c	og
benti	sfg3eþ	benda
á	ao	á
Þjóðarbókhlöðuna	nveogs	Þjóðarbókhlaða
.	.	.
Á	aþ	á
sama	fbkeþ	sami
tíma	nkeþ	tími
sló	sfg3eþ	slá
niður	aa	niður
í	aþ	í
höfðinu	nheþg	höfuð
á	aþ	á
henni	fpveþ	hún
einni	tfveþ	einn
af	aþ	af
sögunum	nvfþg	saga
hennar	fpvee	hún
fóstru	nvee	fóstra
.	.	.
Hún	fpven	hún
þakkaði	sfg3eþ	þakka
fyrir	aa	fyrir
og	c	og
flýtti	sfg3eþ	flýta
sér	fpveþ	sig
út	aa	út
.	.	.
Í	aþ	í
Þjóðarbókhlöðunni	nveþgs	Þjóðarbókhlaða
spurðist	sfm3eþ	spyrja
hún	fpven	hún
fyrir	aa	fyrir
um	ao	um
gömul	lhfosf	gamall
blöð	nhfo	blað
.	.	.
Henni	fpveþ	hún
var	sfg3eþ	vera
bent	sþghen	benda
á	ao	á
að	cn	að
fara	sng	fara
niður	ao	niður
hringstiga	nkeo	hringstigi
og	c	og
sá	sfg3eþ	sjá
glitta	sng	glitta
í	ao	í
troðfulla	lkfosf	troðfullur
bókaskápa	nkfo	bókaskápur
innan	aa	innan
við	ao	við
glerveggina	nkfog	glerveggur
.	.	.
Lestrarsalurinn	nkeng	lestrarsalur
var	sfg3eþ	vera
stór	lkensf	stór
og	c	og
þögn	nven	þögn
lá	sfg3eþ	liggja
yfir	aþ	yfir
honum	fpkeþ	hann
eins	aa	eins
og	c	og
þykkt	lhensf	þykkur
teppi	nhen	teppi
.	.	.
Hún	fpven	hún
bað	sfg3eþ	biðja
um	ao	um
austfirsku	lhfovf	austfirskur
fréttablöðin	nhfog	fréttablað
frá	aþ	frá
1916	ta	1916
og	c	og
sagði	sfg3eþ	segja
sem	c	sem
var	sfg3eþ	vera
að	c	að
hún	fpven	hún
hefði	svg3eþ	hafa
aldrei	aa	aldrei
komið	ssg	koma
nálægt	aþ	nálægt
tölvu	nveþ	tölva
.	.	.
En	c	en
hún	fpven	hún
bætti	sfg3eþ	bæta
við	aa	við
að	c	að
sér	fpveþ	sig
lægi	svg3eþ	liggja
mikið	aa	mikið
við	aþ	við
því	fpheþ	það
hún	fpven	hún
væri	svg3eþ	vera
að	cn	að
leita	sng	leita
upplýsinga	nvfe	upplýsing
um	ao	um
látinn	lkeosf	látinn
ættingja	nkeo	ættingi
.	.	.
Vinalegur	lkensf	vinalegur
safnvörður	nken	safnvörður
útvegaði	sfg3eþ	útvega
henni	fpveþ	hún
undanþágu	nveo	undanþága
og	c	og
færði	sfg3eþ	færa
henni	fpveþ	hún
gömlu	lhfovf	gamall
blöðin	nhfog	blað
innbundin	lhfosf	innbundinn
.	.	.
Hún	fpven	hún
fletti	sfg3eþ	fletta
og	c	og
rýndi	sfg3eþ	rýna
í	ao	í
smátt	lheosf	smár
letrið	nheog	letur
þangað	aa	þangað
til	aa	til
hún	fpven	hún
var	sfg3eþ	vera
komin	sþgven	koma
með	ao	með
höfuðverk	nkeo	höfuðverkur
,	,	,
var	sfg3eþ	vera
að	aþ	að
því	fpheþ	það
komin	sþgven	koma
að	cn	að
gefast	snm	gefa
upp	aa	upp
.	.	.
Þá	aa	þá
datt	sfg3eþ	detta
hún	fpven	hún
ofan	aa	ofan
á	ao	á
fyrirsögnina	nveog	fyrirsögn
Líkfundur	nken	líkfundur
í	aþ	í
Þistilfirði	nkeþ-s	Þistilfjörður
í	aþ	í
fréttablaðinu	nheþg	fréttablað
Austra	nkeþ-s	Austri
.	.	.
Greinin	nveng	grein
var	sfg3eþ	vera
frá	aþ	frá
því	fpheþ	það
í	aþ	í
maí	nkeþ	maí
1916	ta	1916
.	.	.
Þar	aa	þar
var	sfg3eþ	vera
sagt	sþghen	segja
frá	aþ	frá
fundi	nkeþ	fundur
Magnúsar	nkee-s	Magnús
K.	as	K.
Péturssonar	nkee-s	Pétursson
,	,	,
kallaður	sþgken	kalla
Magnús	nken-s	Magnús
franski	lkenvf	franskur
,	,	,
sem	ct	sem
varð	sfg3eþ	verða
úti	aa	úti
á	aþ	á
Hálsunum	nkfþgs	Háls
síðustu	lkfove	síðari
dagana	nkfog	dagur
í	aþ	í
marsmánuði	nkeþ	marsmánuður
á	aþ	á
leiðinni	nveþg	leið
út	aa	út
á	ao	á
Sléttu	nveo-s	Slétta
ásamt	aþ	ásamt
heitkonu	nveþ	heitkona
sinni	feveþ	sinn
Kristbjörgu	nveþ-s	Kristbjörg
Björgvinsdóttur	nveþ-s	Björgvinsdóttir
.	.	.
Nokkur	foven	nokkur
leit	nven	leit
var	sfg3eþ	vera
gerð	sþgven	gera
að	aþ	að
Magnúsi	nkeþ-s	Magnús
en	c	en
ekki	aa	ekki
tókst	sfm3eþ	taka
að	cn	að
finna	sng	finna
líkið	nheog	lík
fyrr	aam	fyrr
en	c	en
í	aþ	í
maíbyrjun	nveþ	maíbyrjun
sökum	ae	sökum
fannfergis	nhee	fannfergi
.	.	.
Ljóst	lhensf	ljós
var	sfg3eþ	vera
að	c	að
hann	fpken	hann
hafði	sfg3eþ	hafa
reynt	ssg	reyna
að	cn	að
brjótast	snm	brjóta
eftir	aþ	eftir
hjálp	nveþ	hjálp
en	c	en
villst	ssm	villa
af	aþ	af
leið	nveþ	leið
og	c	og
örmagnast	ssm	örmagna
.	.	.
Heitkonan	nveng	heitkona
beið	sfg3eþ	bíða
af	aþ	af
sér	fpveþ	sig
veðrið	nheog	veður
grafin	sþghfn	grafa
í	ao	í
fönn	nveo	fönn
og	c	og
komst	sfm3eþ	koma
til	ae	til
byggða	nvfe	byggð
af	aþ	af
eigin	lkeþof	eigin
rammleik	nkeþ	rammleikur
.	.	.
Kristbjörg	nven-s	Kristbjörg
var	sfg3eþ	vera
hálfgengin	lvensf	hálfgenginn
með	aa	með
og	c	og
þótti	sfg3eþ	þykja
hafa	sng	hafa
sýnt	ssg	sýna
mikið	lheosf	mikill
þrek	nheo	þrek
.	.	.
Veður	nhen	veður
var	sfg3eþ	vera
gott	lhensf	góður
þegar	c	þegar
Magnús	nken-s	Magnús
og	c	og
Kristbjörg	nven-s	Kristbjörg
lögðu	sfg3fþ	leggja
upp	aa	upp
frá	aþ	frá
Svalbarði	nheþ-s	Svalbarð
en	c	en
spilltist	sfm3eþ	spilla
er	sfg3en	vera
leið	sfg3eþ	líða
á	ao	á
daginn	nkeog	dagur
.	.	.
Snjóalög	nhfn	snjóalög
voru	sfg3fþ	vera
með	aþ	með
endemum	nhfþ	endemi
,	,	,
sagði	sfg3eþ	segja
í	aþ	í
greininni	nveþg	grein
,	,	,
og	c	og
þyrfti	svg3eþ	þurfa
að	cn	að
fara	sng	fara
langt	aa	langt
aftur	aa	aftur
til	ae	til
að	cn	að
finna	sng	finna
dæmi	nheo	dæmi
um	ao	um
annað	foheo	annar
eins	lheoof	eins
.	.	.
Sigþrúður	nven-s	Sigþrúður
las	sfg3eþ	lesa
fréttina	nveog	frétt
aftur	aa	aftur
og	c	og
aftur	aa	aftur
.	.	.
Gat	sfg3eþ	geta
ekki	aa	ekki
slitið	ssg	slíta
sig	fpveo	sig
frá	aþ	frá
henni	fpveþ	hún
.	.	.
Loksins	aa	loksins
fékk	sfg3eþ	fá
hún	fpven	hún
að	cn	að
vita	sng	vita
eitthvað	foheo	einhver
um	ao	um
afa	nkeo	afi
sinn	fekeo	sinn
sem	ct	sem
hafði	sfg3eþ	hafa
fylgt	ssg	fylgja
henni	fpveþ	hún
í	aþ	í
handraðanum	nkeþg	handraði
frá	aþ	frá
því	fpheþ	það
að	c	að
hún	fpven	hún
fór	sfg3eþ	fara
að	cn	að
muna	sng	muna
eftir	aþ	eftir
sér	fpveþ	sig
.	.	.
Hér	aa	hér
var	sfg3eþ	vera
þó	aa	þó
ekkert	foheo	enginn
að	cn	að
finna	sng	finna
sem	ct	sem
sannaði	svg3eþ	sanna
að	c	að
Magnús	nken-s	Magnús
væri	svg3eþ	vera
franskur	lkensf	franskur
.	.	.
Hann	fpken	hann
var	sfg3eþ	vera
sagður	sþgken	segja
Pétursson	nken-s	Pétursson
.	.	.
Og	c	og
hvað	fsheo	hver
stóð	sfg3eþ	standa
káið	nheng	ká
fyrir	aa	fyrir
?	?	?
Hún	fpven	hún
lagði	sfg3eþ	leggja
aftur	aa	aftur
augun	nhfog	auga
,	,	,
fann	sfg3eþ	finna
hvað	fshen	hver
hún	fpven	hún
var	sfg3eþ	vera
þreytt	lvensf	þreyttur
og	c	og
ringluð	lvensf	ringlaður
,	,	,
opnaði	sfg3eþ	opna
þau	fphfo	það
og	c	og
horfði	sfg3eþ	horfa
í	ao	í
fjarskann	nkeog	fjarski
.	.	.
Fyrir	aþ	fyrir
enda	nkeþ	endi
salarins	nkeeg	salur
var	sfg3eþ	vera
málverk	nhen	málverk
,	,	,
kýr	nven	kýr
sem	ct	sem
horfði	sfg3eþ	horfa
mannsaugum	nhfþ	mannsauga
á	ao	á
hana	fpveo	hún
.	.	.
Hugsandi	lvenof	hugsandi
stóð	sfg3eþ	standa
hún	fpven	hún
upp	aa	upp
og	c	og
gekk	sfg3eþ	ganga
nær	aam	nær
en	c	en
sá	sfg3eþ	sjá
þá	aa	þá
að	c	að
kýrin	nveng	kýr
var	sfg3eþ	vera
hestur	nken	hestur
.	.	.
Engjafólkið	nheng	engjafólk
á	aþ	á
myndinni	nveþg	mynd
var	sfg3eþ	vera
alltof	aa	alltof
uppdubbað	lhensf	uppdubbaður
til	ae	til
þess	fphee	það
að	cn	að
vera	sng	vera
trúverðugt	lhensf	trúverðugur
,	,	,
öllu	foheþ	allur
fremur	aam	fremur
eins	aa	eins
og	c	og
það	fphen	það
væri	svg3eþ	vera
á	aþ	á
leið	nveþ	leið
til	ae	til
kirkju	nvee	kirkja
.	.	.
Kaffiflaska	nven	kaffiflaska
í	aþ	í
sokk	nkeþ	sokkur
lá	sfg3eþ	liggja
á	aþ	á
hliðinni	nveþg	hlið
og	c	og
blóðmörskeppir	nkfn	blóðmörskeppur
á	aþ	á
fati	nheþ	fat
hægra	lheþvf	hægri
megin	aa	megin
fyrir	aþ	fyrir
miðri	lveþsf	miður
mynd	nveþ	mynd
.	.	.
Þegar	c	þegar
hún	fpven	hún
horfði	sfg3eþ	horfa
á	ao	á
keppina	nkfog	keppur
fann	sfg3eþ	finna
hún	fpven	hún
greinilega	aa	greinilega
ilminn	nkeog	ilmur
af	aþ	af
nýsteiktum	lkeþsf	nýsteiktur
blóðmör	nkeþ	blóðmör
með	aþ	með
sykri	nkeþ	sykur
.	.	.
Hún	fpven	hún
skilaði	sfg3eþ	skila
fréttablöðunum	nhfþg	fréttablað
,	,	,
fékk	sfg3eþ	fá
ljósrit	nheo	ljósrit
af	aþ	af
greininni	nveþg	grein
úr	aþ	úr
Austra	nkeþ-s	Austri
og	c	og
gekk	sfg3eþ	ganga
heim	aa	heim
á	ao	á
leið	nveo	leið
.	.	.
Blóðmörsilmurinn	nkeng	blóðmörsilmur
fylgdi	sfg3eþ	fylgja
henni	fpveþ	hún
áleiðis	aa	áleiðis
.	.	.
15	ta	15
Sigþrúður	nven-s	Sigþrúður
var	sfg3eþ	vera
enn	aa	enn
að	cn	að
bíða	sng	bíða
eftir	aþ	eftir
svari	nheþ	svar
frá	aþ	frá
pabba	nkeþ	pabbi
sínum	fekeþ	sinn
.	.	.
Það	fphen	það
var	sfg3eþ	vera
orðið	sþghen	verða
langt	lhensf	langur
síðan	c	síðan
hún	fpven	hún
skrifaði	sfg3eþ	skrifa
bréfið	nheog	bréf
en	c	en
hún	fpven	hún
vildi	sfg3eþ	vilja
ekki	aa	ekki
trúa	sng	trúa
því	fpheþ	það
að	c	að
hann	fpken	hann
ætlaði	svg3eþ	ætla
ekki	aa	ekki
að	cn	að
svara	sng	svara
.	.	.
Átti	sfg3eþ	eiga
hún	fpven	hún
að	cn	að
skrifa	sng	skrifa
aftur	aa	aftur
?	?	?
Hvað	fshen	hver
nú	aa	nú
ef	c	ef
bréfið	nheng	bréf
hefði	svg3eþ	hafa
týnst	ssm	týna
?	?	?
Hún	fpven	hún
hugleiddi	sfg3eþ	hugleiða
að	cn	að
flytja	sng	flytja
í	ao	í
kauptúnið	nheog	kauptún
,	,	,
fara	sng	fara
til	ae	til
Akureyrar	nvee-s	Akureyri
,	,	,
jafnvel	aa	jafnvel
Reykjavíkur	nvee-s	Reykjavík
.	.	.
Ragnheiður	nven-s	Ragnheiður
hafði	sfg3eþ	hafa
verið	ssg	vera
í	aþ	í
vel	aa	vel
launaðri	lveþsf	launaður
vinnu	nveþ	vinna
á	aþ	á
Akureyri	nveþ-s	Akureyri
og	c	og
gat	sfg3eþ	geta
tekið	ssg	taka
bílpróf	nheo	bílpróf
um	ao	um
vorið	nheog	vor
.	.	.
Átti	sfg3eþ	eiga
hún	fpven	hún
að	cn	að
fara	sng	fara
á	aa	á
eftir	aþ	eftir
henni	fpveþ	hún
næsta	lkeove	næstur
vetur	nkeo	vetur
?	?	?
Hún	fpven	hún
hafði	sfg3eþ	hafa
ekki	aa	ekki
tekið	ssg	taka
ákvörðun	nveo	ákvörðun
þegar	c	þegar
hún	fpven	hún
kynntist	sfm3eþ	kynna
Kjartani	nkeþ-s	Kjartan
.	.	.
Þennan	fakeo	þessi
tíma	nkeo	tími
var	sfg3eþ	vera
hún	fpven	hún
í	aþ	í
Hraunsnesi	nheþ-s	Hraunsnes
hjá	aþ	hjá
Grími	nkeþ-s	Grímur
bónda	nkeþ	bóndi
og	c	og
Önnu	nveþ-s	Anna
.	.	.
Kjartan	nken-s	Kjartan
var	sfg3eþ	vera
frændi	nken	frændi
Gríms	nkee-s	Grímur
og	c	og
fékk	sfg3eþ	fá
vinnu	nveo	vinna
norður	aa	norður
á	aþ	á
Sléttu	nveþ-s	Slétta
sem	ct	sem
kaupamaður	nken	kaupamaður
um	ao	um
sumarið	nheog	sumar
.	.	.
Hann	fpken	hann
var	sfg3eþ	vera
í	aþ	í
menntaskóla	nkeþ	menntaskóli
og	c	og
upp	aa	upp
úr	aþ	úr
töskunni	nveþg	taska
hans	fpkee	hann
komu	sfg3fþ	koma
sögubækur	nvfn	sögubók
og	c	og
ljóð	nhfn	ljóð
.	.	.
Kjartan	nken-s	Kjartan
bauðst	sfm3eþ	bjóða
til	ae	til
að	cn	að
lána	sng	lána
henni	fpveþ	hún
bækurnar	nvfog	bók
og	c	og
hún	fpven	hún
gleypti	sfg3eþ	gleypa
ljóðin	nhfog	ljóð
í	ao	í
sig	fpveo	sig
.	.	.
Suma	fokfo	sumur
höfundana	nkfog	höfundur
þekkti	sfg3eþ	þekkja
hún	fpven	hún
,	,	,
aðra	fokfo	annar
hafði	sfg3eþ	hafa
hún	fpven	hún
aldrei	aa	aldrei
heyrt	ssg	heyra
minnst	ssm	minna
á	aa	á
.	.	.
Þeir	fpkfn	hann
ortu	sfg3fþ	yrkja
órímað	lheosf	órímaður
og	c	og
áttu	sfg3fþ	eiga
það	fpheo	það
til	ae	til
að	cn	að
vera	sng	vera
orðljótir	lkfnsf	orðljótur
í	ao	í
þokkabót	nveo	þokkabót
.	.	.
Það	fphen	það
fannst	sfm3eþ	finna
henni	fpveþ	hún
ótrúlegt	lhensf	ótrúlegur
og	c	og
heillandi	lhenof	heillandi
í	aa	í
senn	aa	senn
.	.	.
Kjartan	nken-s	Kjartan
var	sfg3eþ	vera
ólíkur	lkensf	ólíkur
öllum	fokfþ	allur
sem	ct	sem
hún	fpven	hún
hafði	sfg3eþ	hafa
kynnst	ssm	kynna
,	,	,
grannvaxinn	lkensf	grannvaxinn
og	c	og
fíngerður	lkensf	fíngerður
með	ao	með
brilljantín	nheo	brilljantín
í	aþ	í
ljósu	lheþsf	ljós
hári	nheþ	hár
.	.	.
Hann	fpken	hann
var	sfg3eþ	vera
með	ao	með
dökk	lhfosf	dökkur
hornspangagleraugu	nhfo	hornspangagleraugu
og	c	og
vildi	sfg3eþ	vilja
helst	aae	heldur
ganga	sng	ganga
í	aþ	í
jakka	nkeþ	jakki
með	ao	með
bindi	nheo	bindi
en	c	en
var	sfg3eþ	vera
drifinn	sþgken	drífa
í	ao	í
vinnuskyrtu	nveo	vinnuskyrta
og	c	og
peysu	nveo	peysa
.	.	.
Þegar	c	þegar
sá	faken	sá
gállinn	nkeng	gáll
var	sfg3eþ	vera
á	aþ	á
honum	fpkeþ	hann
var	sfg3eþ	vera
hann	fpken	hann
duglegur	lkensf	duglegur
.	.	.
Hann	fpken	hann
sagði	sfg3eþ	segja
að	c	að
hún	fpven	hún
væri	svg3eþ	vera
eina	lvenvf	einn
vitiborna	lvenvf	vitiborinn
manneskjan	nveng	manneskja
á	aþ	á
bænum	nkeþg	bær
og	c	og
skildi	sfg3eþ	skilja
ekki	aa	ekki
hvernig	aa	hvernig
stúlka	nven	stúlka
eins	aa	eins
og	c	og
hún	fpven	hún
gæti	svg3eþ	geta
verið	ssg	vera
þarna	aa	þarna
.	.	.
Byggði	sfg3eþ	byggja
skýjaborgir	nvfo	skýjaborg
og	c	og
deildi	sfg3eþ	deila
þeim	fpvfþ	hún
með	aþ	með
henni	fpveþ	hún
,	,	,
ætlaði	sfg3eþ	ætla
að	cn	að
fara	sng	fara
til	ae	til
útlanda	nhfe	útland
,	,	,
verða	sfg3fn	verða
vísindamaður	nken	vísindamaður
og	c	og
gera	sng	gera
uppgötvanir	nvfo	uppgötvun
sem	ct	sem
myndu	svg3fþ	munu
breyta	sng	breyta
heiminum	nkeþg	heimur
.	.	.
Hann	fpken	hann
hélt	sfg3eþ	halda
yfir	aþ	yfir
henni	fpveþ	hún
fyrirlestra	nkfo	fyrirlestur
um	ao	um
krafta	nkfo	kraftur
atómsins	nheeg	atóm
og	c	og
þá	faveo	sá
byltingu	nveo	bylting
sem	ct	sem
fælist	svm3eþ	fela
í	aþ	í
uppgötvun	nveþ	uppgötvun
kjarnorku	nvee	kjarnorka
.	.	.
Sagði	sfg3eþ	segja
möguleikana	nkfog	möguleiki
óþrjótandi	lkfoof	óþrjótandi
.	.	.
Sælutilfinning	nven	sælutilfinning
fyllti	sfg3eþ	fylla
brjóstið	nheog	brjóst
og	c	og
hún	fpven	hún
söng	sfg3eþ	syngja
hástöfum	aa	hástöfum
við	ao	við
verkin	nhfog	verk
.	.	.
Aldrei	aa	aldrei
hafði	sfg3eþ	hafa
neinn	foken	neinn
talað	ssg	tala
við	ao	við
hana	fpveo	hún
eins	aa	eins
og	c	og
Kjartan	nken-s	Kjartan
.	.	.
Þess	fphee	það
á	aa	á
milli	ae	milli
lá	sfg3eþ	liggja
hann	fpken	hann
í	aþ	í
rúminu	nheþg	rúm
með	ao	með
breitt	sþgheo	breiða
upp	aa	upp
yfir	ao	yfir
höfuð	nheo	höfuð
.	.	.
Þá	fakfo	sá
daga	nkfo	dagur
óttaðist	sfm3eþ	óttast
hann	fpken	hann
ekkert	foheo	enginn
meira	aam	meira
en	c	en
atómsprengjuna	nveog	atómsprengja
.	.	.
Sagði	sfg3eþ	segja
engan	fokeo	enginn
mannlegan	lkeosf	mannlegur
mátt	nkeo	máttur
geta	sng	geta
beislað	ssg	beisla
kraftinn	nkeog	kraftur
sem	ct	sem
búið	lhensf	búinn
væri	svg3eþ	vera
að	cn	að
leysa	sng	leysa
úr	aþ	úr
læðingi	nkeþ	læðingur
.	.	.
Fordæmdi	sfg3eþ	fordæma
kjarnorku	nveo	kjarnorka
,	,	,
skelfdist	sfm3eþ	skelfa
framtíðina	nveog	framtíð
.	.	.
Fólkið	nheng	fólk
í	aþ	í
Hraunsnesi	nheþ-s	Hraunsnes
hvíslaðist	sfm3eþ	hvísla
á	aa	á
.	.	.
Orðin	nhfng	orð
þunglyndi	nhen	þunglyndi
og	c	og
geðveiki	nven	geðveiki
héngu	sfg3fþ	hanga
í	aþ	í
loftinu	nheþg	loft
.	.	.
Sigþrúður	nven-s	Sigþrúður
söng	sfg3eþ	syngja
þess	fphee	það
hærra	aam	hátt
,	,	,
vildi	sfg3eþ	vilja
ekki	aa	ekki
heyra	sng	heyra
hvíslið	nheog	hvísl
,	,	,
beið	sfg3eþ	bíða
eftir	ao	eftir
að	c	að
hann	fpken	hann
færi	svg3eþ	fara
aftur	aa	aftur
í	ao	í
föt	nhfo	fat
og	c	og
héldi	svg3eþ	halda
áfram	aa	áfram
að	cn	að
segja	sng	segja
henni	fpveþ	hún
frá	aþ	frá
draumum	nkfþ	draumur
sínum	fekfþ	sinn
.	.	.
Hún	fpven	hún
vissi	sfg3eþ	vita
að	c	að
henni	fpveþ	hún
bar	sfg3eþ	bera
að	cn	að
snúa	sng	snúa
upp	aa	upp
á	ao	á
sig	fpveo	sig
þegar	c	þegar
Kjartan	nken-s	Kjartan
varð	sfg3eþ	verða
nærgöngull	lkensf	nærgöngull
við	ao	við
hana	fpveo	hún
,	,	,
vissi	sfg3eþ	vita
að	c	að
heiðvirð	lvensf	heiðvirður
stúlka	nven	stúlka
átti	sfg3eþ	eiga
að	cn	að
bíða	sng	bíða
eftir	aþ	eftir
þeim	fakeþ	sá
eina	lkeþvf	einn
rétta	lkeþvf	réttur
en	c	en
gat	sfg3eþ	geta
það	fpheo	það
ekki	aa	ekki
.	.	.
Þá	faveo	sá
stundina	nveog	stund
var	sfg3eþ	vera
hann	fpken	hann
hlýr	lkensf	hlýr
og	c	og
góður	lkensf	góður
.	.	.
Það	fphen	það
var	sfg3eþ	vera
langt	lhensf	langur
síðan	c	síðan
nokkur	foken	nokkur
hafði	sfg3eþ	hafa
tekið	ssg	taka
utan	aa	utan
um	ao	um
hana	fpveo	hún
og	c	og
hún	fpven	hún
svæfði	sfg3eþ	svæfa
samviskubitið	nheog	samviskubit
,	,	,
vildi	sfg3eþ	vilja
bara	aa	bara
að	c	að
hann	fpken	hann
héldi	svg3eþ	halda
áfram	aa	áfram
að	cn	að
faðma	sng	faðma
hana	fpveo	hún
og	c	og
strjúka	sng	strjúka
.	.	.
Þráði	sfg3eþ	þrá
blíðuatlot	nhfo	blíðuatlot
og	c	og
bað	sfg3eþ	biðja
þess	fphee	það
að	c	að
sumarið	nheng	sumar
yrði	svg3eþ	verða
óendanlegt	lhensf	óendanlegur
.	.	.
Hún	fpven	hún
ætlaði	sfg3eþ	ætla
alltaf	aa	alltaf
að	cn	að
spyrja	sng	spyrja
um	ao	um
Reykjavík	nveo-s	Reykjavík
.	.	.
Langaði	sfg3eþ	langa
að	cn	að
vita	sng	vita
ótalmargt	lheosf	ótalmargur
,	,	,
langaði	sfg3eþ	langa
líka	aa	líka
til	ae	til
að	cn	að
segja	sng	segja
honum	fpkeþ	hann
frá	aþ	frá
Frakklandi	nheþ-s	Frakkland
og	c	og
sínum	fekfþ	sinn
draumum	nkfþ	draumur
.	.	.
En	c	en
hann	fpken	hann
hafði	sfg3eþ	hafa
frá	aþ	frá
svo	aa	svo
mörgu	lheþsf	margur
að	cn	að
segja	sng	segja
.	.	.
Sum	fohfo	sumur
kvöld	nhfo	kvöld
var	sfg3eþ	vera
hann	fpken	hann
ör	lkensf	ör
og	c	og
óútreiknanlegur	lkensf	óútreiknanlegur
,	,	,
önnur	fohfo	annar
