gefin	sþgven	gefa
sálfélagslega	lkeþvf	sálfélagslegur
þættinum	nkeþg	þáttur
.	.	.
Klíníski	lkenvf	klínískur
þátturinn	nkeng	þáttur
á	sfg3en	eiga
við	ao	við
þau	fahfo	sá
vandamál	nhfo	vandamál
sem	ct	sem
geta	sfg3fn	geta
steðjað	ssg	steðja
að	aþ	að
kynlífinu	nheþg	kynlíf
,	,	,
til	ae	til
dæmis	nhee	dæmi
vegna	ae	vegna
sjúkdóma	nkfe	sjúkdómur
,	,	,
áverka	nkfe	áverki
og	c	og
lyfja	nhfe	lyf
sem	ct	sem
geta	sfg3fn	geta
haft	ssg	hafa
áhrif	nhfo	áhrif
á	ao	á
það	fpheo	það
.	.	.
Eins	aa	eins
getur	sfg3en	geta
kvíði	nken	kvíði
,	,	,
blygðun	nven	blygðun
,	,	,
sektarkennd	nven	sektarkennd
,	,	,
þunglyndi	nhen	þunglyndi
og	c	og
ágreiningur	nken	ágreiningur
í	aþ	í
persónulegum	lhfþsf	persónulegur
samböndum	nhfþ	samband
heft	ssg	hefta
eðlilegt	lheosf	eðlilegur
kynlífssamband	nheo	kynlífssamband
milli	ae	milli
tveggja	tfkfe	tveir
einstaklinga	nkfe	einstaklingur
.	.	.
Menningarlegi	lkenvf	menningarlegur
þátturinn	nkeng	þáttur
eru	sfg3fn	vera
þau	fahfn	sá
skilaboð	nhfn	skilaboð
sem	ct	sem
berast	sfm3fn	bera
um	ao	um
kynlíf	nheo	kynlíf
í	aþ	í
hverjum	fokeþ	hver
menningarheimi	nkeþ	menningarheimur
.	.	.
Hér	aa	hér
á	aþ	á
landi	nheþ	land
varð	sfg3eþ	verða
til	ae	til
dæmis	nhee	dæmi
mun	sfg3en	munu
opnari	lvenvm	opinn
umræða	nven	umræða
um	ao	um
kynlíf	nheo	kynlíf
í	ao	í
kjölfar	nheo	kjölfar
greiningar	nvee	greining
á	aþ	á
alnæmi	nheþ	alnæmi
.	.	.
Sú	faven	sá
umræða	nven	umræða
gerði	sfg3eþ	gera
til	ae	til
að	cn	að
mynda	sng	mynda
kröfu	nveo	krafa
um	ao	um
hispurslausa	lveosf	hispurslaus
umfjöllun	nveo	umfjöllun
um	ao	um
notkun	nveo	notkun
smokksins	nkeeg	smokkur
.	.	.
Á	aþ	á
síðustu	lkfþve	síðari
áratugum	nkfþ	áratugur
hefur	sfg3en	hafa
hugtakið	nheng	hugtak
kynlífsheilbrigði	nhen	kynlífsheilbrigði
(	(	(
sexual	e	sexual
health	e	health
)	)	)
verið	ssg	vera
að	cn	að
skjóta	sng	skjóta
rótum	nvfþ	rót
.	.	.
Alþjóðaheilbrigðismálastofnunin	nvengs	Alþjóðaheilbrigðismálastofnun
skilgreinir	sfg3en	skilgreina
kynlífsheilbrigði	nheo	kynlífsheilbrigði
á	ao	á
eftirfarandi	lkeoof	eftirfarandi
hátt	nkeo	háttur
:	:	:
Það	fphen	það
er	sfg3en	vera
samþætting	nven	samþætting
líkamlegra	lkfesf	líkamlegur
,	,	,
tilfinningalegra	lkfesf	tilfinningalegur
,	,	,
vitsmunalegra	lkfesf	vitsmunalegur
og	c	og
félagslegra	lkfesf	félagslegur
þátta	nkfe	þáttur
kynverunnar	nveeg	kynvera
á	ao	á
þann	fakeo	sá
hátt	nkeo	háttur
að	cn	að
vera	sng	vera
gefandi	lkfnof	gefandi
og	c	og
styrkjandi	lkfnof	styrkjandi
fyrir	ao	fyrir
persónuleikann	nkeog	persónuleiki
,	,	,
samskipti	nhfo	samskipti
og	c	og
ást	nveo	ást
(	(	(
SIECUS	as	SIECUS
,	,	,
1999	ta	1999
)	)	)
.	.	.
Til	ae	til
að	cn	að
stunda	sng	stunda
heilbrigt	lheosf	heilbrigður
kynlíf	nheo	kynlíf
þarf	sfg3en	þurfa
einstaklingurinn	nkeng	einstaklingur
á	aþ	á
því	fpheþ	það
að	cn	að
halda	sng	halda
að	cn	að
fá	sng	fá
góða	lveosf	góður
kynfræðslu	nveo	kynfræðsla
og	c	og
jafnframt	aa	jafnframt
að	cn	að
hafa	sng	hafa
þróað	ssg	þróa
færni	nveo	færni
í	aþ	í
mannlegum	lhfþsf	mannlegur
samskiptum	nhfþ	samskipti
.	.	.
Hver	fsken	hver
er	sfg3en	vera
líffræðilegur	lkensf	líffræðilegur
tilgangur	nken	tilgangur
þess	fphee	það
að	c	að
konur	nvfn	kona
fái	svg3fn	fá
fullnægingu	nveo	fullnæging
,	,	,
hvað	fshen	hver
þá	aa	þá
raðfullnægingar	nvfo	raðfullnæging
?	?	?
Þar	aa	þar
sem	c	sem
þessi	faven	þessi
spurning	nven	spurning
er	sfg3en	vera
með	ao	með
líffræðilega	lveosf	líffræðilegur
áherslu	nveo	áhersla
verður	sfg3en	verða
leitast	sþmhen	leita
við	aþ	við
að	cn	að
svara	sng	svara
henni	fpveþ	hún
frá	aþ	frá
því	faheþ	sá
sjónarhorni	nheþ	sjónarhorn
.	.	.
Tel	sfg1en	telja
ég	fp1en	ég
þó	aa	þó
að	c	að
erfitt	lhensf	erfiður
sé	svg3en	vera
að	cn	að
líta	sng	líta
á	ao	á
fullnægingu	nveo	fullnæging
sem	ct	sem
eingöngu	aa	eingöngu
líffræðilegt	lheosf	líffræðilegur
fyrirbæri	nheo	fyrirbæri
.	.	.
William	e	William
H.	as	H.
Master	e	Master
og	c	og
Virginia	e	Virginia
E.	as	E.
Johnson	e	Johnson
rannsökuðu	sfg3fþ	rannsaka
kynsvörun	nveo	kynsvörun
meðal	ae	meðal
312	ta	312
bandarískra	lkfesf	bandarískur
karla	nkfe	karl
og	c	og
382	ta	382
kvenna	nvfe	kona
og	c	og
greindu	sfg3fþ	greina
frá	aþ	frá
niðurstöðum	nvfþ	niðurstaða
sínum	fevfþ	sinn
í	aþ	í
ritinu	nheþg	rit
Human	e	Human
Sexual	e	Sexual
Response	e	Response
árið	nheog	ár
1966	ta	1966
.	.	.
Þar	aa	þar
greindu	sfg3fþ	greina
þau	fphfn	það
frá	aþ	frá
fjórum	tfhfþ	fjórir
stigum	nhfþ	stig
kynsvörunar	nvee	kynsvörun
,	,	,
það	fphen	það
er	sfg3en	vera
örvunarstigi	nheþ	örvunarstig
(	(	(
excitement	e	excitement
)	)	)
,	,	,
sléttu	nveþ	slétta
(	(	(
plateau	e	plateau
)	)	)
,	,	,
fullnægingarstigi	nheþ	fullnægingarstig
(	(	(
orgasm	e	orgasm
)	)	)
og	c	og
slökunarstigi	nheþ	slökunarstig
(	(	(
resolution	e	resolution
)	)	)
.	.	.
Fullnægingarstigið	nheng	fullnægingarstig
varir	sfg3en	vara
í	ao	í
stystan	lkeose	stuttur
tíma	nkeo	tími
miðað	sþghen	miða
við	ao	við
hin	fahfo	hinn
stigin	nhfog	stig
,	,	,
yfirleitt	aa	yfirleitt
aðeins	aa	aðeins
fáar	lvfosf	fár
sekúndur	nvfo	sekúnda
.	.	.
Það	fphen	það
eru	sfg3fn	vera
aðallega	aa	aðallega
tvær	tfvfn	tveir
líffræðilegar	lvfnsf	líffræðilegur
breytingar	nvfn	breyting
sem	ct	sem
eiga	sfg3fn	eiga
sér	fpvfþ	sig
stað	nkeo	staður
við	ao	við
kynsvörun	nveo	kynsvörun
karla	nkfe	karl
og	c	og
kvenna	nvfe	kona
;	;	;
aukin	lvensf	aukinn
blóðsókn	nven	blóðsókn
til	ae	til
líffæra	nhfe	líffæri
og	c	og
aukin	lvensf	aukinn
vöðvaspenna	nven	vöðvaspenna
.	.	.
Á	aþ	á
fullnægingarstiginu	nheþg	fullnægingarstig
hjá	aþ	hjá
konum	nvfþ	kona
hækkar	sfg3en	hækka
blóðþrýstingur	nken	blóðþrýstingur
og	c	og
hjartsláttur	nken	hjartsláttur
og	c	og
andardráttur	nken	andardráttur
verða	sfg3fn	verða
örari	lkenvm	ör
.	.	.
Blóðsókn	nven	blóðsókn
eykst	sfm3en	auka
til	ae	til
líffæra	nhfe	líffæri
,	,	,
einkum	aa	einkum
kynfæra	nhfe	kynfæri
,	,	,
brjósta	nhfe	brjóst
og	c	og
andlits	nhee	andlit
.	.	.
Samdráttur	nken	samdráttur
vöðva	nkfe	vöðvi
á	aþ	á
sér	fpkeþ	sig
stað	nkeo	staður
í	aþ	í
líkamanum	nkeþg	líkami
en	c	en
einkum	aa	einkum
í	aþ	í
vöðvum	nkfþ	vöðvi
grindarhols	nhee	grindarhol
,	,	,
umhverfis	ao	umhverfis
endaþarm	nkeo	endaþarmur
,	,	,
leggöng	nhfo	leggöng
og	c	og
legið	nheog	leg
.	.	.
Taktfastur	lkensf	taktfastur
samdráttur	nken	samdráttur
verður	sfg3en	verða
í	aþ	í
leginu	nheþg	leg
.	.	.
Eftir	ao	eftir
fullnæginguna	nveog	fullnæging
fer	sfg3en	fara
konan	nveng	kona
á	ao	á
slökunarstig	nheo	slökunarstig
en	c	en
er	sfg3en	vera
næm	lvensf	næmur
fyrir	aþ	fyrir
frekara	lheþvm	frekur
áreiti	nheþ	áreiti
.	.	.
Í	ao	í
kjölfar	nheo	kjölfar
fullnægingarstigs	nhee	fullnægingarstig
verða	sfg3fn	verða
karlmenn	nkfn	karlmaður
tímabundið	aa	tímabundið
ónæmir	lkfnsf	ónæmur
fyrir	aþ	fyrir
frekari	lveþvm	frekur
ertingu	nveþ	erting
(	(	(
refractory	e	refractory
period	e	period
)	)	)
.	.	.
Þar	aa	þar
sem	ct	sem
konan	nveng	kona
fer	sfg3en	fara
ekki	aa	ekki
inn	aa	inn
á	ao	á
þetta	faheo	þessi
tímabil	nheo	tímabil
er	sfg3en	vera
hún	fpven	hún
áfram	aa	áfram
næm	lvensf	næmur
fyrir	aþ	fyrir
kynferðislegri	lveþsf	kynferðislegur
ertingu	nveþ	erting
og	c	og
getur	sfg3en	geta
fengið	ssg	fá
fleiri	lvfovm	margur
fullnægingar	nvfo	fullnæging
ef	c	ef
kynferðisleg	lvensf	kynferðislegur
löngun	nven	löngun
er	sfg3en	vera
til	ae	til
staðar	nkee	staður
og	c	og
örvun	nven	örvun
er	sfg3en	vera
nægjanleg	lvensf	nægjanlegur
,	,	,
svokallaðar	lvfosf	svokallaður
raðfullnægingar	nvfo	raðfullnæging
(	(	(
Hyde	e	Hyde
og	c	og
DeLamater	e	DeLamater
,	,	,
2000	ta	2000
)	)	)
.	.	.
Sálkönnuðurinn	nkeng	sálkönnuður
Sigmund	e	Sigmund
Freud	e	Freud
hélt	sfg3eþ	halda
því	fpheþ	það
fram	aa	fram
að	c	að
til	aa	til
væru	svg3fþ	vera
tvær	tfvfn	tveir
tegundir	nvfn	tegund
af	aþ	af
fullnægingu	nveþ	fullnæging
hjá	aþ	hjá
konum	nvfþ	kona
.	.	.
Annars	fokee	annar
vegar	nkee	vegur
fullnæging	nven	fullnæging
af	aþ	af
völdum	nhfþ	vald
snípörvunar	nvee	snípörvun
og	c	og
hins	fakee	hinn
vegar	nkee	vegur
örvun	nven	örvun
um	ao	um
leggöng	nhfo	leggöng
.	.	.
Hann	fpken	hann
taldi	sfg3eþ	telja
að	c	að
fyrri	lvenvm	fyrri
tegundin	nveng	tegund
væri	svg3eþ	vera
merki	nhen	merki
um	ao	um
andlegan	lkeosf	andlegur
vanþroska	nkeo	vanþroski
konunnar	nveeg	kona
en	c	en
hin	faven	hinn
gæfi	svg3eþ	gefa
til	ae	til
kynna	nhfe	kynni
eðlilegan	lkeosf	eðlilegur
kynlífsþroska	nkeo	kynlífsþroski
hennar	fpvee	hún
og	c	og
væri	svg3eþ	vera
mikilvæg	lvensf	mikilvægur
til	ae	til
að	cn	að
þroska	sng	þroska
hið	gheo	hinn
kvenlega	lheovf	kvenlegur
eðli	nheo	eðli
.	.	.
Var	sfg3eþ	vera
andlegur	lkensf	andlegur
krankleiki	nken	krankleiki
kvenna	nvfe	kona
áður	aa	áður
fyrr	aam	fyrr
stundum	aa	stundum
talinn	sþgken	telja
vera	sng	vera
vegna	ae	vegna
þessarar	favee	þessi
óþroskuðu	lveevf	óþroskaður
fullnægingar	nvee	fullnæging
þeirra	fpvfe	hún
(	(	(
sjá	sng	sjá
einnig	aa	einnig
svar	nheo	svar
við	aa	við
Af	aþ	af
hverju	fsheþ	hver
fá	sfg3fn	fá
sumar	fovfn	sumur
konur	nvfn	kona
leggangafullnægingu	nveo	leggangafullnæging
en	c	en
ekki	aa	ekki
aðrar	fovfn	annar
?	?	?
Hvað	fshen	hver
er	sfg3en	vera
hægt	lhensf	hægur
að	cn	að
gera	sng	gera
til	ae	til
að	cn	að
auka	sng	auka
líkurnar	nvfog	líkur
á	aþ	á
henni	fpveþ	hún
?	?	?
)	)	)
.	.	.
Í	ao	í
dag	nkeo	dagur
er	sfg3en	vera
litið	sþghen	líta
svo	aa	svo
á	aa	á
að	c	að
enginn	foken	enginn
munur	nken	munur
sé	svg3en	vera
á	aþ	á
fullnægingu	nveþ	fullnæging
eftir	aþ	eftir
örvunarleiðinni	nveþg	örvunarleið
sem	ct	sem
notuð	sþgven	nota
er	sfg3en	vera
(	(	(
snípur	nken	snípur
,	,	,
leggöng	nhfn	leggöng
,	,	,
brjóst	nhfn	brjóst
)	)	)
.	.	.
Þetta	fahen	þessi
þýðir	sfg3en	þýða
þó	aa	þó
alls	fohee	allur
ekki	aa	ekki
að	c	að
allar	fovfn	allur
fullnægingar	nvfn	fullnæging
séu	svg3fn	vera
eins	aa	eins
.	.	.
Þær	fpvfn	hún
eru	sfg3fn	vera
mjög	aa	mjög
mismunandi	lvfnof	mismunandi
.	.	.
Stundum	aa	stundum
hefur	sfg3en	hafa
komið	ssg	koma
fram	aa	fram
sá	faken	sá
misskilningur	nken	misskilningur
að	c	að
fullnæging	nven	fullnæging
væri	svg3eþ	vera
alltaf	aa	alltaf
eins	aa	eins
og	c	og
gífurlegt	lhensf	gífurlegur
sprengigos	nhen	sprengigos
.	.	.
Hið	ghen	hinn
sanna	lhenvf	sannur
er	sfg3en	vera
að	c	að
fullnæging	nven	fullnæging
er	sfg3en	vera
mismunandi	lvenof	mismunandi
hvað	fshen	hver
styrkleika	nkeo	styrkleiki
varðar	sfg3en	varða
,	,	,
enda	c	enda
lýsa	sfg3fn	lýsa
konur	nvfn	kona
fullnægingu	nveþ	fullnæging
á	ao	á
mismunandi	lkeoof	mismunandi
hátt	nkeo	háttur
.	.	.
Ein	tfven	einn
minntist	sfm3eþ	minna
til	ae	til
dæmis	nhee	dæmi
á	ao	á
að	c	að
hún	fpven	hún
gæti	svg3eþ	geta
verið	ssg	vera
eins	aa	eins
og	c	og
smákrampi	nken	smákrampi
en	c	en
önnur	foven	annar
lýsti	sfg3eþ	lýsa
því	fpheþ	það
að	c	að
ef	c	ef
spennan	nveng	spenna
næði	svg3eþ	ná
smám	aa	smám
saman	aa	saman
að	cn	að
magnast	snm	magna
þá	aa	þá
gæfi	svg3eþ	gefa
það	fphen	það
mjög	aa	mjög
góða	lveosf	góður
tilfinningu	nveo	tilfinning
(	(	(
Kitzinger	e	Kitzinger
,	,	,
1986	ta	1986
)	)	)
.	.	.
Fram	aa	fram
hefur	sfg3en	hafa
komið	ssg	koma
að	c	að
sumum	fovfþ	sumur
konum	nvfþ	kona
finnist	svm3en	finna
að	c	að
þær	fpvfn	hún
fái	svg3fn	fá
betri	lveovm	góður
fullnægingu	nveo	fullnæging
í	ao	í
kjölfar	nheo	kjölfar
sjálfsfróunar	nvee	sjálfsfróun
heldur	aam	heldur
en	c	en
með	aþ	með
samförum	nvfþ	samfarir
(	(	(
Masters	e	Masters
,	,	,
Johnson	e	Johnson
og	c	og
Kolodny	e	Kolodny
,	,	,
1982	ta	1982
)	)	)
.	.	.
Líffræðilegur	lkensf	líffræðilegur
tilgangur	nken	tilgangur
fullnægingarinnar	nveeg	fullnæging
er	sfg3en	vera
væntanlega	aa	væntanlega
sá	faken	sá
að	c	að
aukin	lvensf	aukinn
blóðsókn	nven	blóðsókn
og	c	og
taugaboð	nhfn	taugaboð
séu	svg3fn	vera
mikilvæg	lhfnsf	mikilvægur
fyrir	ao	fyrir
eðlilega	lveosf	eðlilegur
starfsemi	nveo	starfsemi
kynfæra	nhfe	kynfæri
.	.	.
Jafnframt	aa	jafnframt
sé	svg3en	vera
mikilvæg	lvensf	mikilvægur
sú	faven	sá
líkamlega	lvenvf	líkamlegur
og	c	og
andlega	lvenvf	andlegur
slökun	nven	slökun
og	c	og
vellíðan	nven	vellíðan
sem	ct	sem
kemur	sfg3en	koma
í	ao	í
kjölfar	nheo	kjölfar
þessarar	favee	þessi
miklu	lveevf	mikill
spennulosunar	nvee	spennulosun
.	.	.
Jafnframt	aa	jafnframt
virðast	sfm3fn	virða
rannsóknaniðurstöður	nvfn	rannsóknaniðurstaða
benda	sng	benda
til	ae	til
þess	fphee	það
að	c	að
með	aþ	með
því	fpheþ	það
að	c	að
kona	nven	kona
tímasetji	svg3en	tímasetja
fullnæginguna	nveog	fullnæging
eftir	ao	eftir
að	c	að
karlmaðurinn	nkeng	karlmaður
hefur	sfg3en	hafa
fengið	ssg	fá
sáðlát	nheo	sáðlát
þá	aa	þá
haldi	svg3en	halda
hún	fpven	hún
betur	aam	vel
sáðfrumum	nvfþ	sáðfruma
,	,	,
sem	ct	sem
auki	svg3en	auka
ef	c	ef
til	aa	til
vill	sfg3en	vilja
líkur	nvfo	líkur
á	aþ	á
getnaði	nkeþ	getnaður
(	(	(
Singh	e	Singh
,	,	,
Meyer	e	Meyer
,	,	,
Zambarano	e	Zambarano
og	c	og
Hurlbert	e	Hurlbert
,	,	,
1998	ta	1998
)	)	)
.	.	.
Viðbót	nven	viðbót
ritstjórnar	nvee	ritstjórn
:	:	:
Að	aþ	að
lokum	nhfþ	lok
má	sfg3en	mega
nefna	sng	nefna
að	c	að
kynlíf	nhen	kynlíf
dýra	nhfe	dýr
sem	ct	sem
viðhafa	sfg3fn	viðhafa
tvíkynja	lveoof	tvíkynja
æxlun	nveo	æxlun
er	sfg3en	vera
að	aþ	að
sjálfsögðu	lheþsf	sjálfsagður
nauðsynlegt	lhensf	nauðsynlegur
til	ae	til
að	cn	að
viðhalda	sng	viðhalda
tegundinni	nveþg	tegund
,	,	,
stofnum	nkfþ	stofn
hennar	fpvee	hún
og	c	og
genum	nhfþ	gen
,	,	,
þó	aa	þó
að	c	að
það	fphen	það
kunni	svg3en	kunna
jafnframt	aa	jafnframt
að	cn	að
gegna	sng	gegna
öðrum	fokeþ	annar
tilgangi	nkeþ	tilgangur
.	.	.
Fullnæging	nven	fullnæging
hjá	aþ	hjá
körlum	nkfþ	karl
og	c	og
konum	nvfþ	kona
hvetur	sfg3en	hvetja
ásamt	aþ	ásamt
öðru	foheþ	annar
til	ae	til
kynlífs	nhee	kynlíf
og	c	og
er	sfg3en	vera
þannig	aa	þannig
mikilvæg	lvensf	mikilvægur
frá	aþ	frá
sjónarmiði	nheþ	sjónarmið
þróunarfræðinnar	nveeg	þróunarfræði
.	.	.
Eini	lkenvf	einn
munurinn	nkeng	munur
á	aþ	á
fullnægingu	nveþ	fullnæging
karla	nkfe	karl
og	c	og
kvenna	nvfe	kona
virðist	sfm3en	virða
í	aþ	í
þessu	faheþ	þessi
viðfangi	nheþ	viðfang
vera	sng	vera
sá	faken	sá
að	c	að
mökun	nven	mökun
,	,	,
sáðlát	nhen	sáðlát
og	c	og
getnaður	nken	getnaður
getur	sfg3en	geta
orðið	ssg	verða
án	ae	án
þess	fphee	það
að	c	að
konan	nveng	kona
hafi	svg3en	hafa
fengið	ssg	fá
fullnægingu	nveo	fullnæging
en	c	en
sáðfalli	nheþ	sáðfall
karla	nkfe	karl
fylgir	sfg3en	fylgja
yfirleitt	aa	yfirleitt
fullnæging	nven	fullnæging
.	.	.
Einnig	aa	einnig
er	sfg3en	vera
rétt	lhensf	réttur
að	cn	að
geta	sng	geta
þess	fphee	það
að	c	að
eftir	aþ	eftir
því	faheþ	sá
sem	ct	sem
ritstjórnin	nveng	ritstjórn
kemst	sfm3en	koma
næst	aae	nærri
er	sfg3en	vera
hlutverk	nhen	hlutverk
fullnægingar	nvee	fullnæging
kvenna	nvfe	kona
og	c	og
snípsins	nkeeg	snípur
umdeilt	lhensf	umdeildur
meðal	ae	meðal
þróunarfræðinga	nkfe	þróunarfræðingur
.	.	.
Svo	aa	svo
má	sfg3en	mega
benda	sng	benda
á	ao	á
að	c	að
kynlíf	nhen	kynlíf
dýra	nhfe	dýr
eða	c	eða
hegðun	nven	hegðun
í	aþ	í
líkingu	nveþ	líking
við	ao	við
það	fpheo	það
miðar	sfg3en	miða
ekki	aa	ekki
eingöngu	aa	eingöngu
að	aþ	að
æxlun	nveþ	æxlun
í	aþ	í
hverju	foheþ	hver
einstöku	lheþsf	einstakur
tilviki	nheþ	tilvik
og	c	og
talið	sþghen	telja
er	sfg3en	vera
að	c	að
mörg	lhfnsf	margur
spendýr	nhfn	spendýr
fái	svg3fn	fá
eins	fokee	einn
konar	nkee	konar
fullnægingu	nveo	fullnæging
,	,	,
að	aþ	að
því	faheþ	sá
marki	nheþ	mark
sem	ct	sem
slík	fbven	slíkur
fullyrðing	nven	fullyrðing
hefur	sfg3en	hafa
merkingu	nveo	merking
,	,	,
en	c	en
okkur	fp1fþ	ég
er	sfg3en	vera
