landinu	nheþg	land
tók	sfg3eþ	taka
sæti	nheo	sæti
í	aþ	í
ritnefnd	nveþ	ritnefnd
Þjóðvinafélagsins	nheegs	Þjóðvinafélagið
árið	nheog	ár
1924	ta	1924
.	.	.
Efalaust	aa	efalaust
hefur	sfg3en	hafa
það	fphen	það
síðar	aam	síðar
treyst	ssg	treysta
orðið	nheog	orð
í	aþ	í
sessi	nkeþ	sess
svo	aa	svo
um	aa	um
munaði	sfg3eþ	muna
,	,	,
þegar	c	þegar
Almanakið	nhengs	Almanak
loks	aa	loks
veitti	sfg3eþ	veita
því	fpheþ	það
þegnrétt	nkeo	þegnréttur
.	.	.
Þrátt	aa	þrátt
fyrir	ao	fyrir
þessar	favfo	þessi
efasemdir	nvfo	efasemd
gæti	svg3eþ	geta
orðið	nheng	orð
bóndadagur	nken	bóndadagur
verið	ssg	vera
hundgamalt	lhensf	hundgamall
í	aþ	í
talmáli	nheþ	talmál
.	.	.
Til	ae	til
þess	fphee	það
bendir	sfg3en	benda
sú	faven	sá
niðurstaða	nven	niðurstaða
,	,	,
að	c	að
af	aþ	af
um	aa	um
150	ta	150
heimildamönnum	nkfþ	heimildamaður
hvaðanæva	aa	hvaðanæva
af	aþ	af
landinu	nheþg	land
,	,	,
sem	ct	sem
svöruðu	sfg3fþ	svara
spurningum	nvfþ	spurning
varðandi	slg	varða
þorra	nkeo	þorri
árið	nheog	ár
1975	ta	1975
og	c	og
fæddir	sþgken	fæða
voru	sfg3fþ	vera
á	aþ	á
einum	tfkeþ	einn
mannsaldri	nkeþ	mannsaldur
frá	aþ	frá
1882-1917	ta	1882-1917
,	,	,
fullyrtu	sfg3fþ	fullyrða
nær	aam	nær
allir	fokfn	allur
,	,	,
að	c	að
hann	fpken	hann
hefði	svg3eþ	hafa
verið	ssg	vera
kallaður	sþgken	kalla
bóndadagur	nken	bóndadagur
.	.	.
Slíkt	fbhen	slíkur
er	sfg3en	vera
varla	aa	varla
einleikið	lhensf	einleikinn
,	,	,
jafn	aa	jafn
vel	aa	vel
þótt	c	þótt
mikill	lkensf	mikill
væri	svg3eþ	vera
áhrifamáttur	nken	áhrifamáttur
þjóðsagnanna	nvfeg	þjóðsaga
,	,	,
Almanaksins	nheegs	Almanak
og	c	og
Guðmundar	nkee-s	Guðmundur
Friðjónssonar	nkee-s	Friðjónsson
.	.	.
Það	fphen	það
mætti	svg3eþ	mega
jafnvel	aa	jafnvel
hugsa	sng	hugsa
sér	fpkeþ	sig
að	c	að
þetta	fahen	þessi
heiti	nhen	heiti
hafi	svg3en	hafa
í	aþ	í
öndverðu	lheþsf	öndverður
verið	ssg	vera
brúkað	sþghen	brúka
sem	c	sem
einskonar	lhenof	einskonar
feluorð	nhen	feluorð
fyrir	ao	fyrir
Þorrafagnað	nkeo-s	Þorrafagnaður
eða	c	eða
Þorrablót	nheo-s	Þorrablót
sem	ct	sem
hlaut	sfg3eþ	hljóta
að	cn	að
geta	sng	geta
talist	ssm	telja
bannsett	lhensf	bannsettur
athæfi	nhen	athæfi
í	aþ	í
augum	nhfþ	auga
og	c	og
eyrum	nhfþ	eyra
meinkristinna	lhfesf	meinkristinn
yfirvalda	nhfe	yfirvald
.	.	.
Nafnið	nheng	nafn
bóndadagur	nken	bóndadagur
er	sfg3en	vera
í	aþ	í
sjálfu	fbheþ	sjálfur
sér	fpheþ	sig
eðlilegt	lhensf	eðlilegur
,	,	,
þar	aa	þar
sem	c	sem
dagurinn	nkeng	dagur
var	sfg3eþ	vera
honum	fpkeþ	hann
helgaður	lkensf	helgaður
hvort	c	hvort
sem	c	sem
hann	fpken	hann
eða	c	eða
húsfreyja	nven	húsfreyja
buðu	sfg3fþ	bjóða
Þorra	nkeo-s	Þorri
velkominn	lkeosf	velkominn
.	.	.
Hlaup	nhfn	hlaup
kringum	ao	kringum
bæ	nkeo	bær
Um	ao	um
fleiri	lhfovm	margur
atriði	nhfo	atriði
getur	sfg3en	geta
Jón	nken-s	Jón
Árnason	nken-s	Árnason
fram	aa	fram
yfir	ao	yfir
nafna	nkeo	nafni
sinn	fekeo	sinn
,	,	,
enda	c	enda
segist	sfm3en	segja
Jón	nken-s	Jón
Halldórsson	nken-s	Halldórsson
ekkert	foheo	enginn
hafa	sng	hafa
fengið	ssg	fá
að	cn	að
vita	sng	vita
nánar	aam	náið
,	,	,
hvörjir	fskfn	hvör
ritus	nkfn	ritus
þar	aa	þar
hafi	svg3en	hafa
heyrt	ssg	heyra
til	aa	til
'	'	'
.	.	.
Sum	fohfn	sumur
þessara	fahfe	þessi
atriða	nhfe	atriði
eru	sfg3fn	vera
heldur	aam	heldur
en	c	en
ekki	aa	ekki
tortryggileg	lhfnsf	tortryggilegur
.	.	.
Eitt	tfhen	einn
þeirra	fphfe	það
er	sfg3en	vera
sú	faven	sá
sögn	nven	sögn
að	c	að
bóndi	nken	bóndi
ætti	svg3eþ	eiga
að	cn	að
hlaupa	sng	hlaupa
hálfnakinn	lkensf	hálfnakinn
kringum	ao	kringum
bæinn	nkeog	bær
og	c	og
draga	sng	draga
brókina	nveog	brók
á	aa	á
eftir	aþ	eftir
sér	fpkeþ	sig
.	.	.
Um	ao	um
það	faheo	sá
atferli	nheo	atferli
eru	sfg3fn	vera
blátt	aa	blátt
áfram	aa	áfram
engar	fovfn	enginn
eldri	lvfnvm	gamall
heimildir	nvfn	heimild
.	.	.
Ekki	aa	ekki
er	sfg3en	vera
heldur	aam	heldur
vitað	sþghen	vita
hver	fsken	hver
hefur	sfg3en	hafa
fóðrað	ssg	fóðra
Jón	nkeo-s	Jón
Árnason	nkeo-s	Árnason
á	aþ	á
þessum	favfþ	þessi
upplýsingum	nvfþ	upplýsing
.	.	.
Aðeins	aa	aðeins
þrjár	tfvfn	þrír
konur	nvfn	kona
af	aþ	af
150	ta	150
heimildarmönnum	nkfþ	heimildarmaður
svöruðu	sfg3fþ	svara
spurningu	nveþ	spurning
um	ao	um
þetta	faheo	þessi
játandi	slg	játa
árið	nheog	ár
1975	ta	1975
,	,	,
og	c	og
þó	aa	þó
á	ao	á
þann	fakeo	sá
veg	nkeo	vegur
að	c	að
gengið	sþghen	ganga
væri	svg3eþ	vera
kringum	ao	kringum
bæinn	nkeog	bær
án	ae	án
nokkurra	fohfe	nokkur
skrípaláta	nhfe	skrípalæti
.	.	.
Þær	fpvfn	hún
voru	sfg3fþ	vera
frá	aþ	frá
Snæfellsnesi	nheþ-s	Snæfellsnes
,	,	,
Önundarfirði	nkeþ-s	Önundarfjörður
og	c	og
Árneshreppi	nkeþ-s	Árneshreppur
á	aþ	á
Ströndum	nvfþ-s	Strönd
,	,	,
en	c	en
hin	gven	hinn
síðastnefnda	lvenvf	síðastnefndur
sagði	sfg3eþ	segja
reyndar	aa	reyndar
að	c	að
húsfreyja	nven	húsfreyja
hefði	svg3eþ	hafa
átt	ssg	eiga
að	cn	að
ganga	sng	ganga
út	aa	út
.	.	.
Ekki	aa	ekki
var	sfg3eþ	vera
með	aþ	með
öllu	foheþ	allur
ljóst	lhensf	ljós
af	aþ	af
þeim	fahfþ	sá
svörum	nhfþ	svar
hvort	c	hvort
þær	fpvfn	hún
könnuðust	svm3fþ	kanna
við	ao	við
siðinn	nkeog	siður
