fáeina	fokfo	fáeinir
rakleiðis	aa	rakleiðis
yfir	ao	yfir
rjóðrið	nheog	rjóður
að	aþ	að
brotnum	lkeþsf	brotinn
glugga	nkeþ	gluggi
aftan	aa	aftan
á	aþ	á
húsinu	nheþg	hús
.	.	.
Hann	fpken	hann
rak	sfg3eþ	reka
vasaljósið	nheog	vasaljós
hiklaust	aa	hiklaust
inn	aa	inn
um	ao	um
glufu	nveo	glufa
á	aþ	á
glerinu	nheþg	gler
og	c	og
sá	sfg3eþ	sjá
að	c	að
þarna	aa	þarna
var	sfg3eþ	vera
einhvers	fokee	einhver
konar	nkee	konar
geymsla	nven	geymsla
með	aþ	með
ýmsum	fohfþ	ýmis
eldhúsáhöldum	nhfþ	eldhúsáhald
og	c	og
öðrum	fohfþ	annar
ógreinilegum	lhfþsf	ógreinilegur
tækjum	nhfþ	tæki
.	.	.
Þarna	aa	þarna
bjó	sfg3eþ	búa
greinilega	aa	greinilega
fólk	nhen	fólk
!	!	!
Aron	nken-s	Aron
fylgdi	sfg3eþ	fylgja
húsveggnum	nkeþg	húsveggur
og	c	og
kíkti	sfg3eþ	kíkja
inn	aa	inn
um	ao	um
gluggana	nkfog	gluggi
.	.	.
Hvergi	aa	hvergi
var	sfg3eþ	vera
kveikt	lhensf	kveiktur
ljós	nhen	ljós
en	c	en
kannski	aa	kannski
var	sfg3eþ	vera
fólkið	nheng	fólk
bara	aa	bara
farið	sþghen	fara
að	cn	að
sofa	sng	sofa
eða	c	eða
hafði	sfg3eþ	hafa
ekki	aa	ekki
rafmagn	nheo	rafmagn
?	?	?
Gamlar	lvfnsf	gamall
dyr	nvfn	dyr
úr	aþ	úr
dökkum	lvfþsf	dökkur
viðarplötum	nvfþ	viðarplata
voru	sfg3fþ	vera
framan	aa	framan
á	aþ	á
húsinu	nheþg	hús
og	c	og
Aron	nken-s	Aron
bankaði	sfg3eþ	banka
laust	aa	laust
á	ao	á
þær	fpvfo	hún
.	.	.
Ekkert	fohen	enginn
svar	nhen	svar
.	.	.
Hann	fpken	hann
prófaði	sfg3eþ	prófa
aftur	aa	aftur
með	aþ	með
aðeins	aa	aðeins
meiri	lkeþvm	mikill
krafti	nkeþ	kraftur
.	.	.
Enn	aa	enn
kom	sfg3eþ	koma
ekkert	fohen	enginn
svar	nhen	svar
.	.	.
Aron	nken-s	Aron
var	sfg3eþ	vera
ekki	aa	ekki
tilbúinn	lkensf	tilbúinn
að	cn	að
gefast	snm	gefa
upp	aa	upp
og	c	og
bankaði	sfg3eþ	banka
því	fpheþ	það
eins	aa	eins
fast	aa	fast
og	c	og
hann	fpken	hann
gat	sfg3eþ	geta
.	.	.
Dyrnar	nvfng	dyr
opnuðust	svm3fþ	opna
þá	aa	þá
örlítið	aa	örlítið
með	aþ	með
drungalegu	lheþsf	drungalegur
ískri	nheþ	ískur
.	.	.
Aron	nken-s	Aron
hrökk	sfg3eþ	hrökkva
við	aa	við
,	,	,
steig	sfg3eþ	stíga
tvö	tfhfo	tveir
skref	nhfo	skref
aftur	aa	aftur
á	ao	á
bak	nheo	bak
og	c	og
lét	sfg3eþ	láta
ljósgeislann	nkeog	ljósgeisli
dansa	sng	dansa
upp	aa	upp
og	c	og
niður	ao	niður
dyrnar	nvfog	dyr
.	.	.
-	-	-
Halló	au	halló
?	?	?
!	!	!
Er	sfg3en	vera
einhver	foken	einhver
þarna	aa	þarna
?	?	?
Í	ao	í
nokkrar	fovfo	nokkur
sekúndur	nvfo	sekúnda
beið	sfg3eþ	bíða
Aron	nken-s	Aron
stjarfur	lkensf	stjarfur
eftir	aþ	eftir
svari	nheþ	svar
en	c	en
þá	aa	þá
fór	sfg3eþ	fara
að	cn	að
verða	sng	verða
ljóst	lhensf	ljós
að	c	að
dyrnar	nvfng	dyr
höfðu	sfg3fþ	hafa
verið	ssg	vera
ólæstar	lvfnsf	ólæstur
og	c	og
bara	aa	bara
opnast	ssm	opna
við	ao	við
bankið	nheog	bank
.	.	.
Aron	nken-s	Aron
nálgaðist	sfm3eþ	nálgast
þær	fpvfo	hún
með	aþ	með
gát	nveþ	gát
og	c	og
prófaði	sfg3eþ	prófa
að	cn	að
kalla	sng	kalla
aftur	aa	aftur
.	.	.
Þegar	c	þegar
ekkert	fohen	enginn
svar	nhen	svar
heyrðist	sfm3eþ	heyra
innan	aa	innan
úr	aþ	úr
húsinu	nheþg	hús
ýtti	sfg3eþ	ýta
hann	fpken	hann
dyrunum	nvfþg	dyr
upp	aa	upp
á	ao	á
gátt	nveo	gátt
og	c	og
hughreysti	sfg3eþ	hughreysta
sjálfan	fbkeo	sjálfur
sig	fpkeo	sig
.	.	.
-	-	-
Þetta	fahen	þessi
er	sfg3en	vera
bara	aa	bara
smá	lhenof	smá
myrkur	nhen	myrkur
...	...	...
Aron	nken-s	Aron
læddist	sfm3eþ	læða
eftir	aþ	eftir
sléttu	lheþsf	sléttur
moldargólfinu	nheþg	moldargólf
og	c	og
lét	sfg3eþ	láta
vasaljósið	nheog	vasaljós
lýsa	sng	lýsa
upp	aa	upp
rýmið	nheog	rými
.	.	.
Húsið	nheng	hús
var	sfg3eþ	vera
á	aþ	á
einni	tfveþ	einn
hæð	nveþ	hæð
,	,	,
bara	aa	bara
tvö	tfhfn	tveir
eða	c	eða
þrjú	tfhfn	þrír
herbergi	nhfn	herbergi
,	,	,
og	c	og
var	sfg3eþ	vera
augljóslega	aa	augljóslega
komið	sþghen	koma
í	ao	í
eyði	nheo	eyði
.	.	.
Einhver	foken	einhver
hafði	sfg3eþ	hafa
þó	aa	þó
greinilega	aa	greinilega
notað	ssg	nota
það	fpheo	það
nýlega	aa	nýlega
undir	ao	undir
frekar	aam	frekar
sóðalega	lveosf	sóðalegur
eldamennsku	nveo	eldamennska
og	c	og
ekki	aa	ekki
tekið	ssg	taka
til	aa	til
eftir	ao	eftir
sig	fpkeo	sig
.	.	.
Aron	nken-s	Aron
sparkaði	sfg3eþ	sparka
laust	aa	laust
í	ao	í
tóma	lveosf	tómur
dós	nveo	dós
sem	ct	sem
lá	sfg3eþ	liggja
á	aþ	á
gólfinu	nheþg	gólf
og	c	og
gaf	sfg3eþ	gefa
upp	aa	upp
alla	foveo	allur
von	nveo	von
um	ao	um
að	cn	að
finna	sng	finna
aðstoð	nveo	aðstoð
þarna	aa	þarna
.	.	.
Hann	fpken	hann
hélt	sfg3eþ	halda
samt	aa	samt
áfram	aa	áfram
að	cn	að
skoða	sng	skoða
sig	fpkeo	sig
um	aa	um
í	aþ	í
von	nveþ	von
um	ao	um
að	cn	að
finna	sng	finna
eitthvað	foheo	einhver
nytsamlegt	lheosf	nytsamlegur
eða	c	eða
jafnvel	aa	jafnvel
ætt	lheosf	ætur
.	.	.
Hann	fpken	hann
var	sfg3eþ	vera
orðinn	sþgken	verða
glorhungraður	lkensf	glorhungraður
.	.	.
Það	fphen	það
reyndist	sfm3eþ	reyna
vera	sng	vera
eldhúskrókur	nken	eldhúskrókur
inni	aa	inni
í	aþ	í
herberginu	nheþg	herbergi
við	ao	við
hliðina	nveog	hlið
á	aþ	á
geymslunni	nveþg	geymsla
sem	ct	sem
Aron	nken-s	Aron
hafði	sfg3eþ	hafa
séð	ssg	sjá
í	aa	í
gegnum	ao	gegnum
gluggann	nkeog	gluggi
.	.	.
Aron	nken-s	Aron
opnaði	sfg3eþ	opna
annan	fokeo	annar
af	aþ	af
tveimur	tfkfþ	tveir
skápum	nkfþ	skápur
þar	aa	þar
en	c	en
fann	sfg3eþ	finna
bara	aa	bara
tvær	tfvfo	tveir
litlar	lvfosf	lítill
skálar	nvfo	skál
og	c	og
fjóra	tfkfo	fjórir
gamla	lkfosf	gamall
prjóna	nkfo	prjónn
.	.	.
Í	aþ	í
skápnum	nkeþg	skápur
við	ao	við
hliðina	nveog	hlið
voru	sfg3fþ	vera
hins	fakee	hinn
vegar	nkee	vegur
tveir	tfkfn	tveir
litlir	lkfnsf	lítill
kassar	nkfn	kassi
af	aþ	af
einhverju	foheþ	einhver
sem	ct	sem
gat	sfg3eþ	geta
verið	ssg	vera
matarkyns	nhee	matarkyn
.	.	.
Aron	nken-s	Aron
teygði	sfg3eþ	teygja
sig	fpkeo	sig
eftir	aþ	eftir
öðrum	fokeþ	annar
kassanum	nkeþg	kassi
en	c	en
þá	aa	þá
heyrðist	sfm3eþ	heyra
hávær	lkensf	hávær
skrækur	nken	skrækur
!	!	!
Aron	nken-s	Aron
varð	sfg3eþ	verða
skelfingu	nveþ	skelfing
lostinn	sþgken	ljósta
þegar	c	þegar
brúnt	lhensf	brúnn
kvikindi	nhen	kvikindi
stökk	sfg3eþ	stökkva
á	ao	á
öxlina	nveog	öxl
á	aþ	á
honum	fpkeþ	hann
.	.	.
Dýrið	nheng	dýr
skreið	sfg3eþ	skríða
eldfljótt	lhensf	eldfljótur
niður	aa	niður
eftir	aþ	eftir
bakpokanum	nkeþg	bakpoki
og	c	og
féll	sfg3eþ	falla
þaðan	aa	þaðan
niður	aa	niður
á	ao	á
gólf	nheo	gólf
.	.	.
Aron	nken-s	Aron
hélt	sfg3eþ	halda
að	c	að
hjartað	nheng	hjarta
í	aþ	í
sér	fpkeþ	sig
myndi	svg3eþ	munu
springa	sng	springa
!	!	!
Hann	fpken	hann
náði	sfg3eþ	ná
samt	aa	samt
að	cn	að
beina	sng	beina
vasaljósinu	nheþg	vasaljós
að	aþ	að
gólfinu	nheþg	gólf
og	c	og
sá	sfg3eþ	sjá
að	c	að
feit	lvensf	feitur
rotta	nven	rotta
hraðaði	sfg3eþ	hraða
sér	fpveþ	sig
bak	aa	bak
við	ao	við
gamlan	lkeosf	gamall
kassa	nkeo	kassi
við	ao	við
vegginn	nkeog	veggur
.	.	.
Aron	nken-s	Aron
stóð	sfg3eþ	standa
stjarfur	lkensf	stjarfur
og	c	og
starði	sfg3eþ	stara
á	ao	á
kassann	nkeog	kassi
en	c	en
rauk	sfg3eþ	rjúka
síðan	aa	síðan
af	aþ	af
stað	nkeþ	staður
og	c	og
hljóp	sfg3eþ	hlaupa
eins	aa	eins
og	c	og
fætur	nkfn	fótur
toguðu	sfg3fþ	toga
út	aa	út
úr	aþ	úr
húsinu	nheþg	hús
.	.	.
Næturmyrkrið	nheng	næturmyrkur
var	sfg3eþ	vera
núna	aa	núna
velkomið	lhensf	velkominn
og	c	og
vakti	sfg3eþ	vekja
enga	foveo	enginn
skelfingu	nveo	skelfing
.	.	.
Aron	nken-s	Aron
vissi	sfg3eþ	vita
vel	aa	vel
að	c	að
hann	fpken	hann
átti	sfg3eþ	eiga
ekkert	foheo	enginn
að	cn	að
vera	sng	vera
hræddur	lkensf	hræddur
við	ao	við
einhverja	foveo	einhver
rottu	nveo	rotta
en	c	en
honum	fpkeþ	hann
hafði	sfg3eþ	hafa
brugðið	ssg	bregða
skelfilega	aa	skelfilega
og	c	og
var	sfg3eþ	vera
búinn	lkensf	búinn
að	cn	að
fá	sng	fá
alveg	aa	alveg
nóg	lheosf	nógur
af	aþ	af
þessu	faheþ	þessi
húsi	nheþ	hús
.	.	.
Trjágreinar	nvfn	trjágrein
í	aþ	í
skógarþykkninu	nheþg	skógarþykkni
rispuðu	sfg3fþ	rispa
á	aþ	á
honum	fpkeþ	hann
handleggina	nkfog	handleggur
á	aa	á
meðan	c	meðan
hann	fpken	hann
hljóp	sfg3eþ	hlaupa
en	c	en
hann	fpken	hann
vildi	sfg3eþ	vilja
samt	aa	samt
alls	fohee	allur
ekki	aa	ekki
hægja	sng	hægja
á	aþ	á
sér	fpkeþ	sig
.	.	.
Hann	fpken	hann
vildi	sfg3eþ	vilja
bara	aa	bara
komast	snm	koma
burt	aa	burt
.	.	.
Aron	nken-s	Aron
var	sfg3eþ	vera
orðinn	sþgken	verða
nokkuð	fohen	nokkur
móður	lkensf	móður
þegar	c	þegar
gróðurinn	nkeng	gróður
í	aa	í
kringum	ao	kringum
hann	fpkeo	hann
hvarf	sfg3eþ	hverfa
skyndilega	aa	skyndilega
.	.	.
Í	ao	í
stað	nkeo	staður
laufblaða	nhfe	laufblað
fann	sfg3eþ	finna
hann	fpken	hann
volga	lveosf	volgur
golu	nveo	gola
leika	sng	leika
um	ao	um
hárið	nheog	hár
og	c	og
beint	aa	beint
fyrir	ao	fyrir
framan	aa	framan
hann	fpkeo	hann
var	sfg3eþ	vera
augljóslega	aa	augljóslega
lítill	lkensf	lítill
vegur	nken	vegur
!	!	!
Aron	nken-s	Aron
stansaði	sfg3eþ	stansa
og	c	og
horfði	sfg3eþ	horfa
brosandi	lkenof	brosandi
upp	aa	upp
til	ae	til
stjarnanna	nvfeg	stjarna
eitt	tfheo	einn
andartak	nheo	andartak
áður	aa	áður
en	c	en
hann	fpken	hann
kraup	sfg3eþ	krjúpa
uppgefinn	lkensf	uppgefinn
niður	aa	niður
í	aþ	í
vegarkantinum	nkeþg	vegarkantur
og	c	og
kastaði	sfg3eþ	kasta
mæðinni	nveþg	mæði
.	.	.
-	-	-
<	<	<
tákn	nhfn	tákn
>	>	>
Gamla	lvenvf	gamall
konan	nveng	kona
sem	ct	sem
leiddi	sfg3eþ	leiða
stóra	lkeovf	stór
vatnavísundinn	nkeog	vatnavísundur
eftir	aþ	eftir
mjóa	lkeþvf	mjór
malarveginum	nkeþg	malarvegur
var	sfg3eþ	vera
augljóslega	aa	augljóslega
hrædd	lvensf	hræddur
við	ao	við
Vesturlandabúann	nkeogs	Vesturlandabúi
sem	ct	sem
stóð	sfg3eþ	standa
við	ao	við
vegarkantinn	nkeog	vegarkantur
útataður	lkensf	útataður
í	aþ	í
blóði	nheþ	blóð
og	c	og
drullu	nveþ	drulla
.	.	.
Hann	fpken	hann
bullaði	sfg3eþ	bulla
einhverja	foveo	einhver
óskiljanlega	lveosf	óskiljanlegur
vitleysu	nveo	vitleysa
og	c	og
veifaði	sfg3eþ	veifa
vasaljósi	nheþ	vasaljós
út	aa	út
um	ao	um
allt	foheo	allur
sem	ct	sem
stundum	aa	stundum
lýsti	sfg3eþ	lýsa
í	ao	í
augun	nhfog	auga
á	aþ	á
henni	fpveþ	hún
.	.	.
Var	sfg3eþ	vera
þetta	fahen	þessi
Putonghua-kínverska	nven-s	Putonghua-kínverska
sem	ct	sem
hann	fpken	hann
var	sfg3eþ	vera
að	cn	að
reyna	sng	reyna
að	cn	að
tala	sng	tala
?	?	?
Hún	fpven	hún
yppti	sfg3eþ	yppta
öxlum	nvfþ	öxl
og	c	og
hristi	sfg3eþ	hrista
hausinn	nkeog	haus
en	c	en
það	fphen	það
virtist	sfm3eþ	virða
ergja	sng	ergja
unga	lkeovf	ungur
manninn	nkeog	maður
sem	ct	sem
hamaðist	sfm3eþ	hamast
nú	aa	nú
við	ao	við
að	cn	að
fletta	sng	fletta
í	aþ	í
lítilli	lveþsf	lítill
bók	nveþ	bók
.	.	.
Hún	fpven	hún
byrjaði	sfg3eþ	byrja
að	cn	að
rölta	sng	rölta
burt	aa	burt
þegar	c	þegar
hann	fpken	hann
missti	sfg3eþ	missa
vasaljósið	nheog	vasaljós
en	c	en
þá	aa	þá
leit	sfg3eþ	líta
hann	fpken	hann
upp	aa	upp
aftur	aa	aftur
og	c	og
talaði	sfg3eþ	tala
mun	nkeþ	munur
hærra	aam	hátt
og	c	og
skýrar	aam	skýrt
í	ao	í
þetta	faheo	þessi
sinn	nheo	sinn
.	.	.
-	-	-
<	<	<
tákn	nhfn	tákn
>	>	>
Nú	aa	nú
skildi	sfg3eþ	skilja
hún	fpven	hún
hann	fpkeo	hann
!	!	!
Hann	fpken	hann
var	sfg3eþ	vera
að	cn	að
biðja	sng	biðja
um	ao	um
hjálp	nveo	hjálp
!	!	!
Hún	fpven	hún
kinkaði	sfg3eþ	kinka
ákveðin	lvensf	ákveðinn
kolli	nkeþ	kollur
og	c	og
benti	sfg3eþ	benda
honum	fpkeþ	hann
að	cn	að
fylgja	sng	fylgja
sér	fpveþ	sig
.	.	.
Það	fphen	það
kætti	sfg3eþ	kæta
unga	lkeovf	ungur
manninn	nkeog	maður
augljóslega	aa	augljóslega
og	c	og
Xiumei	e	Xiumei
gamla	lvenvf	gamall
brosti	sfg3eþ	brosa
sínu	feheþ	sinn
hlýlega	lheþvf	hlýlegur
tannlausa	lheþvf	tannlaus
brosi	nheþ	bros
.	.	.
Loksins	aa	loksins
!	!	!
Aron	nken-s	Aron
tróð	sfg3eþ	troða
bókinni	nveþg	bók
aftur	aa	aftur
niður	aa	niður
í	ao	í
bakpokann	nkeog	bakpoki
og	c	og
elti	sfg3eþ	elta
gömlu	lveovf	gamall
konuna	nveog	kona
.	.	.
Nú	aa	nú
myndi	svg3eþ	munu
hann	fpken	hann
vonandi	aa	vonandi
fá	sng	fá
aðstoð	nveo	aðstoð
við	ao	við
að	cn	að
finna	sng	finna
Ling	e	Ling
og	c	og
Zhong	e	Zhong
.	.	.
Hann	fpken	hann
hafði	sfg3eþ	hafa
aldrei	aa	aldrei
hlakkað	ssg	hlakka
jafn	aa	jafn
óhemju	nvee	óhemja
mikið	aa	mikið
til	ae	til
þess	fphee	það
að	cn	að
komast	snm	koma
í	ao	í
langa	lveosf	langur
heita	lveosf	heitur
sturtu	nveo	sturta
og	c	og
mjúkt	lheosf	mjúkur
rúm	nheo	rúm
!	!	!
Hvað	fsheo	hver
hann	fpken	hann
myndi	svg3eþ	munu
ekki	aa	ekki
gefa	sng	gefa
til	ae	til
þess	fphee	það
að	cn	að
vera	sng	vera
kominn	sþgken	koma
aftur	aa	aftur
á	ao	á
hótelið	nheog	hótel
núna	aa	núna
!	!	!
Eftir	ao	eftir
um	ao	um
tuttugu	tfvfe	tuttugu
mínútna	nvfe	mínúta
göngu	nveo	ganga
í	aþ	í
myrkrinu	nheþg	myrkur
voru	sfg3fþ	vera
þau	fphfn	það
komin	sþghfn	koma
að	aþ	að
þorpi	nheþ	þorp
gömlu	lveevf	gamall
konunnar	nveeg	kona
og	c	og
þar	aa	þar
virtust	sfm3fþ	virða
fáir	lkfnsf	fár
vera	sng	vera
á	aþ	á
ferli	nkeþ	ferill
.	.	.
Öðru	foheþ	annar
sinni	nheþ	sinn
fann	sfg3eþ	finna
veiðivörðurinn	nkeng	veiðivörður
Ragna	nven-s	Ragna
einn	fokeo	einn
veiðifélagann	nkeog	veiðifélagi
brennivínsdauðan	lkeosf	brennivínsdauður
niðri	aa	niðri
við	ao	við
foss	nkeo	foss
í	aþ	í
leiðindaveðri	nheþ	leiðindaveður
.	.	.
Ragna	nven-s	Ragna
furðaði	sfg3eþ	furða
sig	fpveo	sig
á	aþ	á
allri	foveþ	allur
þessari	faveþ	þessi
drykkju	nveþ	drykkja
og	c	og
gerði	sfg3eþ	gera
sér	fpveþ	sig
grein	nveo	grein
fyrir	aþ	fyrir
að	c	að
svallið	nheng	svall
gæti	svg3eþ	geta
endað	ssg	enda
með	aþ	með
dauðaslysi	nheþ	dauðaslys
.	.	.
En	c	en
það	fphen	það
gerðist	sfm3eþ	gera
sem	c	sem
betur	aam	vel
fór	sfg3eþ	fara
ekki	aa	ekki
.	.	.
Eitt	tfheo	einn
sinn	nheo	sinn
spurði	sfg3eþ	spyrja
hún	fpven	hún
Sæla	nkeo-s	Sæli
hvort	c	hvort
þeir	fakfn	sá
félagar	nkfn	félagi
ættu	svg3fþ	eiga
ekkert	foheo	enginn
erfitt	lheosf	erfiður
með	ao	með
að	cn	að
útskýra	sng	útskýra
það	fpheo	það
við	ao	við
heimkomuna	nveog	heimkoma
að	cn	að
hafa	sng	hafa
lítið	lheosf	lítill
sem	c	sem
ekkert	fohen	enginn
veitt	ssg	veiða
.	.	.
Sæli	nken-s	Sæli
hló	sfg3eþ	hlæja
og	c	og
sagði	sfg3eþ	segja
að	c	að
það	fphen	það
væri	svg3eþ	vera
hluti	nken	hluti
af	aþ	af
túrnum	nkeþg	túr
að	cn	að
koma	sng	koma
við	aa	við
á	aþ	á
Hvítárvöllum	nkfþ-s	Hvítárvellir
í	aþ	í
Borgarfirði	nkeþ-s	Borgarfjörður
á	aþ	á
heimleiðinni	nveþg	heimleið
og	c	og
kaupa	sng	kaupa
lax	nkeo	lax
til	ae	til
að	cn	að
sýna	sng	sýna
heima	aa	heima
.	.	.
Veiðimennirnir	nkfng	veiðimaður
urðu	sfg3fþ	verða
langflestir	lkfnse	langflestur
góðir	lkfnsf	góður
kunningjar	nkfn	kunningi
eða	c	eða
vinir	nkfn	vinur
fjölskyldunnar	nveeg	fjölskylda
á	aþ	á
Laugabóli	nheþ-s	Laugaból
.	.	.
Skemmtileg	lvensf	skemmtilegur
hefð	nven	hefð
myndaðist	sfm3eþ	mynda
í	aþ	í
samskiptum	nhfþ	samskipti
milli	ae	milli
barna	nhfe	barn
Rögnu	nvee-s	Ragna
og	c	og
þeirra	fpkfe	hann
.	.	.
Á	aþ	á
hverju	foheþ	hver
hausti	nheþ	haust
fengu	sfg3fþ	fá
veiðimennirnir	nkfng	veiðimaður
50	ta	50
lítra	nkfe	lítri
mjólkurbrúsa	nkeo	mjólkurbrúsi
fullan	lkeosf	fullur
af	aþ	af
aðalbláberjum	nhfþ	aðalbláber
.	.	.
Á	aþ	á
aðventunni	nveþg	aðventa
kom	sfg3eþ	koma
brúsinn	nkeng	brúsi
aftur	aa	aftur
til	aa	til
baka	aa	baka
fullur	lkensf	fullur
af	aþ	af
gjöfum	nvfþ	gjöf
og	c	og
góðgæti	nheþ	góðgæti
.	.	.
Sæli	nken-s	Sæli
og	c	og
félagar	nkfn	félagi
höfðu	sfg3fþ	hafa
ána	nveog	á
á	aþ	á
leigu	nveþ	leiga
í	ao	í
tuttugu	tfhfo	tuttugu
ár	nhfo	ár
.	.	.
Þeir	fakfn	sá
sem	ct	sem
tóku	sfg3fþ	taka
við	aþ	við
ánni	nveþg	á
voru	sfg3fþ	vera
öllu	foheþ	allur
rólegri	lkfnvm	rólegur
og	c	og
minna	lhenvm	lítill
umstang	nhen	umstang
var	sfg3eþ	vera
í	aa	í
kringum	ao	kringum
þá	fpkfo	hann
.	.	.
Ragna	nven-s	Ragna
veiðivörður	nken	veiðivörður
saknaði	sfg3eþ	sakna
hálfpartinn	nkeog	hálfpartur
þeirra	fakfe	sá
kynlegu	lkfevf	kynlegur
kvista	nkfe	kvistur
sem	ct	sem
slæddust	sfm3fþ	slæða
í	ao	í
Laugardalinn	nkeogs	Laugardalur
með	ao	með
veiðistangir	nvfo	veiðistöng
en	c	en
umfram	ao	umfram
allt	foheo	allur
brennivín	nheo	brennivín
.	.	.
Veiðifélagið	nheng	veiðifélag
sagði	sfg3eþ	segja
Rögnu	nveþ-s	Ragna
upp	aa	upp
á	aþ	á
endanum	nkeþg	endi
eftir	ao	eftir
átakafund	nkeo	átakafundur
þótt	c	þótt
áin	nveng	á
hefði	svg3eþ	hafa
aldrei	aa	aldrei
verið	ssg	vera
gjöfulli	lvenvm	gjöfull
.	.	.
Hún	fpven	hún
vissi	sfg3eþ	vita
ekki	aa	ekki
ástæðuna	nveog	ástæða
nema	c	nema
ef	c	ef
væri	svg3eþ	vera
uppreisn	nven	uppreisn
hennar	fpvee	hún
gegn	aþ	gegn
yfirgangi	nkeþ	yfirgangur
karlanna	nkfeg	karl
.	.	.
Þar	aa	þar
með	aa	með
lauk	sfg3eþ	ljúka
veiðivörslu	nveþ	veiðivarsla
sem	ct	sem
Ragna	nven-s	Ragna
hafði	sfg3eþ	hafa
annast	ssm	anna
í	ao	í
sex	tfhfo	sex
ár	nhfo	ár
.	.	.
19.	ta	19.
kafli	nken	kafli
Skólamál	nhfn	skólamál
í	aþ	í
ólestri	nkeþ	ólestur
Börnin	nhfng	barn
mín	fehfn	minn
þurftu	sfg3fþ	þurfa
að	cn	að
sækja	sng	sækja
barnaskóla	nkeo	barnaskóli
í	aþ	í
Reykjanesi	nheþ-s	Reykjanes
þegar	c	þegar
þau	fphfn	það
komust	sfm3fþ	koma
á	ao	á
legg	nkeo	leggur
.	.	.
Þau	fphfn	það
voru	sfg3fþ	vera
þó	aa	þó
lengur	aam	lengi
heima	aa	heima
en	c	en
gengur	sfg3en	ganga
og	c	og
