Búnaðarlög búnaðarlag nhfn
ta ta nven

126 126 ta

( ( (

( ( (

( ( (

tóku taka sfg3fþ

sfg3fþ sfg3fþ nhen

taka taka sng

gildi gildi nheo

nheo nheo sng

gildi gildi nheo

30. 30. ta

ta ta nven

30 30 ta

. . .

sept. septóna nvfo

nvfo nvfo sng

septóna septónur nkfo

2011 2011 ta

ta ta nven

2011 2011 ta

) ) )

) ) )

) ) )

, , ,

, , ,

, , ,

l. lag nhfe

nhfe nhfe sng

lag lag nhen

129/2012 129 ta

ta ta nven

129 129 ta

( ( (

( ( (

( ( (

tóku taka sfg3fþ

sfg3fþ sfg3fþ nhen

taka taka sng

gildi gildi nheo

nheo nheo sng

gildi gildi nheo

1. 1. ta

ta ta nven

1 1 ta

. . .

jan. janúar nken

nken nken nkeog

janúar janúar nken

2013 2013 ta

ta ta nven

2013 2013 ta

) ) )

) ) )

) ) )

, , ,

, , ,

, , ,

l. lag nhfe

nhfe nhfe sng

lag lag nhen

113/2015 113 ta

ta ta nven

113 113 ta

( ( (

( ( (

( ( (

tóku taka sfg3fþ

sfg3fþ sfg3fþ nhen

taka taka sng

gildi gildi nheo

nheo nheo sng

gildi gildi nheo

1. 1. ta

ta ta nven

1 1 ta

. . .

júlí júlí nken

nken nken nkeog

júlí júlí nken

2016 2016 ta

ta ta nven

2016 2016 ta

) ) )

) ) )

) ) )

, , ,

, , ,

, , ,

l. lag nhfe

nhfe nhfe sng

lag lag nhen

60/2016 60 ta

ta ta nven

60 60 ta

( ( (

( ( (

( ( (

tóku taka sfg3fþ

sfg3fþ sfg3fþ nhen

taka taka sng

gildi gildi nheo

nheo nheo sng

gildi gildi nheo

1. 1. ta

ta ta nven

1 1 ta

. . .

júlí júlí nken

nken nken nkeog

júlí júlí nken

2016 2016 ta

ta ta nven

2016 2016 ta

nema nema c

c c x

nema nema c

2. 2. ta

ta ta nven

2 2 ta

. . .

og og c

c c x

og og c

11. 11. ta

ta ta nven

11 11 ta

. . .

gr. grein nven

nven nven nkeog

grein grein nven

sem sem c

c c x

sem sem c

tóku taka sfg3fþ

sfg3fþ sfg3fþ nhen

taka taka sng

gildi gildi nheo

nheo nheo sng

gildi gildi nheo

22. 22. ta

ta ta nven

22 22 ta

. . .

júní júní nken

nken nken nkeog

júní júní nken

2016 2016 ta

ta ta nven

2016 2016 ta

) ) )

) ) )

) ) )

og og c

c c x

og og c

l. lag nhfe

nhfe nhfe sng

lag lag nhen

102/2016 102 ta

ta ta nven

102 102 ta

( ( (

( ( (

( ( (

tóku taka sfg3fþ

sfg3fþ sfg3fþ nhen

taka taka sng

gildi gildi nheo

nheo nheo sng

gildi gildi nheo

1. 1. ta

ta ta nven

1 1 ta

. . .

jan. janúar nken

nken nken nkeog

janúar janúar nken

2017 2017 ta

ta ta nven

2017 2017 ta

) ) )

) ) )

) ) )

. . .

. . .

. . .

Ef ef c

c c x

ef ef c

í í aþ

aþ aþ nhen

í í aþ

lögum lag nhfþ

nhfþ nhfþ nhen

lag lag nhen

þessum þessi fakeþ

fakeþ fakeþ nhen

þessi þessi faven

er vera sfg3en

sfg3en sfg3en nkeog

vera vera sng

getið geta sfg2fn

sfg2fn sfg2fn nheo

geta geta sfg3fn

um um ao

ao ao sng

um um ao

ráðherra ráðherra nken

nken nken nkeog

ráðherra ráðherra nken

eða eða c

c c x

eða eða c

ráðuneyti ráðuneyti nhen

nhen nhen nkeog

ráðuneyti ráðuneyti nhen

án án ae

ae ae sng

án án ae

þess það fphee

fphee fphee sng

það það fphen

að að cn

cn cn e

að að cn

málefnasvið málefnasvið nhen

nhen nhen nkeog

málefnasvið málefnasvið nhen

sé vera svg3en

svg3en svg3en nkeog

vera vera sng

tilgreint tilgreina ssg

ssg ssgur nkeo

tilgreina tilgreina sng

sérstaklega sérstaklega aa

aa aur nkfo

sérstaklega sérstaklega aa

eða eða c

c c x

eða eða c

til til ae

ae ae sng

til til ae

þess það fphee

fphee fphee sng

það það fphen

vísað vísa ssg

ssg ssgur nkeo

vísa vísa nven

, , ,

, , ,

, , ,

er vera sfg3en

sfg3en sfg3en nkeog

vera vera sng

átt eiga ssg

ssg ssgur nkeo

eiga eiga sng

við við ao

ao ao sng

við við ao

sjávarútvegs- sjávarútvegsstyrkur nkee

nkee nkee sng

sjávarútvegsstyrkur sjávarútvegsstyrkur nken

og og c

c c x

og og c

landbúnaðarráðherra landbúnaðarráðherra nkee

nkee nkee sng

landbúnaðarráðherra landbúnaðarráðherra nkee

eða eða c

c c x

eða eða c

atvinnuvega- atvinnuvegasjúklingur nkfo

nkfo nkfo sng

atvinnuvegasjúklingur atvinnuvegasjúklingur nken

og og c

c c x

og og c

nýsköpunarráðuneyti nýsköpunarráðuneyti nhen

nhen nhen nkeog

nýsköpunarráðuneyti nýsköpunarráðuneyti nhen

sem sem c

c c x

sem sem c

fer fara sfg3en

sfg3en sfg3en nkeog

fara fara sng

með með aþ

aþ aþ nhen

með með aþ

lög lag nhfn

nhfn nhfn nheo

lag lag nhen

þessi þessi faven

faven faven nkeog

þessi þessi faven

. . .

. . .

. . .

Upplýsingar upplýsing nvfn

nvfn nvfn nheo

upplýsing upplýsing nven

um um ao

ao ao sng

um um ao

málefnasvið málefnasvið nhen

nhen nhen nkeog

málefnasvið málefnasvið nhen

ráðuneyta ráðuneyti nhfe

nhfe nhfe sng

ráðuneyti ráðuneyti nhen

skv. samkvæmt aþ

aþ aþ nhen

samkvæmt samkvæmt aþ

forsetaúrskurði forsetaúrskurður nkeþ

nkeþ nkeþ nhen

forsetaúrskurður forsetaúrskurður nken

er vera sfg3en

sfg3en sfg3en nkeog

vera vera sng

að að cn

cn cn e

að að cn

finna finna sng

sng sng nven

finna finna sng

hér hér aa

aa aur nkfo

hér hér aa

. . .

. . .

. . .

I. i. lkeþve

lkeþve lkeþve sng

i i e

. . .

kafli kafli nken

nken nken nkeog

kafli kafli nken

. . .

. . .

. . .

Almenn almaÃ°ur lvensf

lvensf lvensf sfg3eþ

almaÃ almaã nhen

° ° nhen

ur ur nken

ákvæði ákvæði nhfn

nhfn nhfn nheo

ákvæði ákvæði nhfn

. . .

. . .

. . .

1. 1. ta

ta ta nven

1 1 ta

. . .

gr. grein nven

nven nven nkeog

grein grein nven

Skilgreiningar skilgreining nvfn

nvfn nvfn nheo

skilgreining skilgreining nven

. . .

. . .

. . .

1 1 ta

ta ta nven

1 1 ta

. . .

. . .

. . .

Jarðabætur jarðabæta nvfn

nvfn nvfn nheo

jarðabæta jarðabæta nven

eru vera sfg3fn

sfg3fn sfg3fn nheo

vera vera sng

hvers hver fshee

fshee fshee sng

hver hver fsken

konar konar nkee

nkee nkee sng

konar konar nkee

framkvæmdir framkvæmd nvfn

nvfn nvfn nheo

framkvæmd framkvæmd nven

og og c

c c x

og og c

umbætur umbót nvfn

nvfn nvfn nheo

umbót umbót nven

á á aþ

aþ aþ nhen

á á aþ

jörð jörð nven

nven nven nkeog

jörð jörð nven

sem sem c

c c x

sem sem c

stuðla stuðla sng

sng sng nven

stuðla stuðla sng

að að cn

cn cn e

að að cn

framförum framför nvfþ

nvfþ nvfþ nhen

framför framfar nhfn

í í aþ

aþ aþ nhen

í í aþ

búrekstri búrekstur nkeþ

nkeþ nkeþ nhen

búrekstur búrekstur nken

, , ,

, , ,

, , ,

þar þar aa

aa aur nkfo

þar þar aa

með með aþ

aþ aþ nhen

með með aþ

talin telja sþgven

sþgven sþgven nkeog

telja telja sng

ræktun ræktun nven

nven nven nkeog

ræktun ræktun nven

og og c

c c x

og og c

aðrar annar fovfo

fovfo fovfo sng

annar annar foken

landbætur landbæta nvfn

nvfn nvfn nheo

landbæta landbæta nven

, , ,

, , ,

, , ,

endurheimt endurheimta ssg

ssg ssgur nkeo

endurheimta endurheimta sng

landgæða landgæði nhfe

nhfe nhfe sng

landgæði landgæði nhfn

og og c

c c x

og og c

gerð gerð nven

nven nven nkeog

gerð gerð nven

rekstrarbygginga rekstrarbygging nvfe

nvfe nvfe sng

rekstrarbygging rekstrarbygging nven

og og c

c c x

og og c

endurbætur endurbót nvfn

nvfn nvfn nheo

endurbót endurbót nven

á á aþ

aþ aþ nhen

á á aþ

þeim það fphfþ

fphfþ fphfþ nhen

það það fphen

. . .

. . .

. . .

2 2 ta

ta ta nven

2 2 ta

. . .

. . .

. . .

Búfjárrækt búfjárrækt nven

nven nven nkeog

búfjárrækt búfjárrækt nven

er vera sfg3en

sfg3en sfg3en nkeog

vera vera sng

starfsemi starfsemi nven

nven nven nkeog

starfsemi starfsemi nven

sem sem c

c c x

sem sem c

með með aþ

aþ aþ nhen

með með aþ

skipulegu skipulegur lkfnvf

lkfnvf lkfnvf sfg3eþ

skipulegur skipulegur lkensf

kynbótastarfi kynbótastarfi nken

nken nken nkeog

kynbótastarfi kynbótastarfi nken

og og c

c c x

og og c

bættri bættur lkenvm

lkenvm lkenvm nhfþ

bættur bæta sþgken

fóðrun fóðrun nven

nven nven nkeog

fóðrun fóðrun nven

stuðlar stuðla sfg3en

sfg3en sfg3en nkeog

stuðla stuðla sng

að að cn

cn cn e

að að cn

framförum framför nvfþ

nvfþ nvfþ nhen

framför framfar nhfn

í í aþ

aþ aþ nhen

í í aþ

búfjárframleiðslu búfjárframleiðsla nveþ

nveþ nveþ nhen

búfjárframleiðsla búfjárframleiðsla nven

. . .

. . .

. . .

3 3 ta

ta ta nven

3 3 ta

. . .

. . .

. . .

Búfé búfé nhen

nhen nhen nkeog

búfé búfé nhen

er vera sfg3en

sfg3en sfg3en nkeog

vera vera sng

hross hross nhen

nhen nhen nkeog

hross hross nhen

, , ,

, , ,

, , ,

nautgripir nautgripur nkfn

nkfn nkfn nheo

nautgripur nautgripur nken

, , ,

, , ,

, , ,

sauðfé sauðfé nhen

nhen nhen nkeog

sauðfé sauðfé nhen

, , ,

, , ,

, , ,

geitur geit nvfn

nvfn nvfn nheo

geit geit nven

, , ,

, , ,

, , ,

svín svín nhen

nhen nhen nkeog

svín svín nhen

, , ,

, , ,

, , ,

loðdýr loðdýr nhfn

nhfn nhfn nheo

loðdýr loðdýr nhfn

, , ,

, , ,

, , ,

kanínur kanína nvfn

nvfn nvfn nheo

kanína kanína nven

og og c

c c x

og og c

alifuglar alifugl nkfn

nkfn nkfn nheo

alifugl alifugl nken

, , ,

, , ,

, , ,

auk auk ae

ae ae sng

auk auk ae

þess það fphee

fphee fphee sng

það það fphen

eldisfiskar eldisfiskur nkfn

nkfn nkfn nheo

eldisfiskur eldisfiskur nken

og og c

c c x

og og c

önnur annar foven

foven foven nkeog

annar annar foken

dýr dýr nhfo

nhfo nhfo sng

dýr dýr nhfo

sem sem c

c c x

sem sem c

haldin haldinn lvensf

lvensf lvensf sfg3eþ

haldinn haldinn lkensf

eru vera sfg3fn

sfg3fn sfg3fn nheo

vera vera sng

til til ae

ae ae sng

til til ae

nytja nytja sng

sng sng nven

nytja nytja sng

. . .

. . .

. . .

Rísi rísa svg3en

svg3en svg3en nkeog

rísa rísa sng

ágreiningur ágreiningur nken

nken nken nkeog

ágreiningur ágreiningur nken

um um ao

ao ao sng

um um ao

hvað hver fshen

fshen fshen nkeog

hver hver fsken

falla falla sng

sng sng nven

falla falla sng

skuli skulu svg3en

svg3en svg3en nkeog

skulu skulu sfg3fn

undir undir aþ

aþ aþ nhen

undir undir aþ

hugtakið hugtak nheng

nheng nhengur lvensf

hugtak hugtak nhen

búfé búfé nhen

nhen nhen nkeog

búfé búfé nhen

sker skera sfg3en

sfg3en sfg3en nkeog

skera skera sng

[ [ [

[ [ [

[ [ [

ráðherra ráðherra nken

nken nken nkeog

ráðherra ráðherra nken

] ] ]

] ] ]

] ] ]

1 1 ta

ta ta nven

1 1 ta

) ) )

) ) )

) ) )

úr úr aþ

aþ aþ nhen

úr úr aþ

þeim það fphfþ

fphfþ fphfþ nhen

það það fphen

ágreiningi ágreiningur nkeþ

nkeþ nkeþ nhen

ágreiningur ágreiningur nken

. . .

. . .

. . .

4 4 ta

ta ta nven

4 4 ta

. . .

. . .

. . .

Leiðbeiningarmiðstöð leiðbeiningarmiðstöð nven

nven nven nkeog

leiðbeiningarmiðstöð leiðbeiningarmiðstöð nven

er vera sfg3en

sfg3en sfg3en nkeog

vera vera sng

miðstöð miðstöð nven

nven nven nkeog

miðstöð miðstöð nven

á á aþ

aþ aþ nhen

á á aþ

vegum vegur nkfþ

nkfþ nkfþ nhen

vegur vegur nken

[ [ [

[ [ [

[ [ [

Bændasamtaka bændasamtök nhfe

nhfe nhfe sng

bændasamtök bændasamtök nhfn

Íslands ísland nhee-s

nhee-s nhee-s nhee

ísland ísland nhen

] ] ]

] ] ]

] ] ]

2 2 ta

ta ta nven

2 2 ta

) ) )

) ) )

) ) )

þar þar aa

aa aur nkfo

þar þar aa

sem sem c

c c x

sem sem c

starfa starf nhfe

nhfe nhfe sng

starf starf nhen

sérfróðir sérfróður nkfn

nkfn nkfn nheo

sérfróður sérfróður nken

menn maður nkfn

nkfn nkfn nheo

maður maður nken

á á aþ

aþ aþ nhen

á á aþ

ýmsum ýmis fovfþ

fovfþ fovfþ nhen

ýmis ýmis fohfn

sviðum svið nhfþ

nhfþ nhfþ nhen

svið svið nhen

landbúnaðar landbúnaður nkee

nkee nkee sng

landbúnaður landbúnaður nken

við við ao

ao ao sng

við við ao

leiðbeiningar leiðbeining nvfn

nvfn nvfn nheo

leiðbeining leiðbeining nven

og og c

c c x

og og c

önnur annar foven

foven foven nkeog

annar annar foken

verkefni verkefni nhfn

nhfn nhfn nheo

verkefni verkefni nhfn

tengd tengja sþgven

sþgven sþgven nkeog

tengja tengja sng

framkvæmd framkvæmd nven

nven nven nkeog

framkvæmd framkvæmd nven

laga lag nhfe

nhfe nhfe sng

lag lag nhen

þessara þessi fahfe

fahfe fahfe sng

þessi þessi faven

. . .

. . .

. . .

5 5 ta

ta ta nven

5 5 ta

. . .

. . .

. . .

Búnaðarfélag búnaðarfélag nhen

nhen nhen nkeog

búnaðarfélag búnaðarfélag nhen

er vera sfg3en

sfg3en sfg3en nkeog

vera vera sng

félag félag nhen

nhen nhen nkeog

félag félag nhen

bænda bóndi nkfe

nkfe nkfe sng

bóndi bóndi nken

á á aþ

aþ aþ nhen

á á aþ

ákveðnu ákveðinn lhfnvf

lhfnvf lhfnvf sfg3eþ

ákveðinn ákveðinn lkensf

svæði svæði nhfn

nhfn nhfn nheo

svæði svæði nhfn

, , ,

, , ,

, , ,

óháð óháður lhensf

lhensf lhensf sfg3eþ

óháður óháður lkensf

þeim það fphfþ

fphfþ fphfþ nhen

það það fphen

búrekstri búrekstur nkeþ

nkeþ nkeþ nhen

búrekstur búrekstur nken

sem sem c

c c x

sem sem c

þeir hann fpkfn

fpkfn fpkfn nheo

hann hann fpken

stunda stunda sng

sng sng nven

stunda stunda sng

. . .

. . .

. . .

6 6 ta

ta ta nven

6 6 ta

. . .

. . .

. . .

Búgreinafélag búgreinafélag nhen

nhen nhen nkeog

búgreinafélag búgreinafélag nhen

er vera sfg3en

sfg3en sfg3en nkeog

vera vera sng

félag félag nhen

nhen nhen nkeog

félag félag nhen

bænda bóndi nkfe

nkfe nkfe sng

bóndi bóndi nken

á á aþ

aþ aþ nhen

á á aþ

ákveðnu ákveðinn lhfnvf

lhfnvf lhfnvf sfg3eþ

ákveðinn ákveðinn lkensf

svæði svæði nhfn

nhfn nhfn nheo

svæði svæði nhfn

sem sem c

c c x

sem sem c

stunda stunda sng

sng sng nven

stunda stunda sng

sömu samur fbveþ

fbveþ fbveþ nhen

samur samur fbken

búgrein búgrein nven

nven nven nkeog

búgrein búgrein nven

. . .

. . .

. . .

7 7 ta

ta ta nven

7 7 ta

. . .

. . .

. . .

Búnaðarsamband búnaðarsamband nhen

nhen nhen nkeog

búnaðarsamband búnaðarsamband nhen

er vera sfg3en

sfg3en sfg3en nkeog

vera vera sng

svæðisbundið svæðisbundinn lhensf

lhensf lhensf sfg3eþ

svæðisbundinn svæðisbundinn lkensf

samband samband nhen

nhen nhen nkeog

samband samband nhen

búnaðarfélaga búnaðarfélag nhfe

nhfe nhfe sng

búnaðarfélag búnaðarfélag nhen

, , ,

, , ,

, , ,

búgreinafélaga búgreinafélag nhfe

nhfe nhfe sng

búgreinafélag búgreinafélag nhen

og og c

c c x

og og c

/  /

/  /

eða eða c

c c x

eða eða c

einstakra einstakur lkfesf

lkfesf lkfesf sfg3eþ

einstakur einstakur lkensf

bænda bóndi nkfe

nkfe nkfe sng

bóndi bóndi nken

. . .

. . .

. . .

8 8 ta

ta ta nven

8 8 ta

. . .

. . .

. . .

Búgreinasamband búgreinasamband nhen

nhen nhen nkeog

búgreinasamband búgreinasamband nhen

er vera sfg3en

sfg3en sfg3en nkeog

vera vera sng

landssamband landssamband nhen

nhen nhen nkeog

landssamband landssamband nhen

búgreinafélaga búgreinafélag nhfe

nhfe nhfe sng

búgreinafélag búgreinafélag nhen

eða eða c

c c x

eða eða c

einstakra einstakur lkfesf

lkfesf lkfesf sfg3eþ

einstakur einstakur lkensf

bænda bóndi nkfe

nkfe nkfe sng

bóndi bóndi nken

sem sem c

c c x

sem sem c

stunda stunda sng

sng sng nven

stunda stunda sng

sömu samur fbveþ

fbveþ fbveþ nhen

samur samur fbken

búgrein búgrein nven

nven nven nkeog

búgrein búgrein nven

. . .

. . .

. . .

9 9 ta

ta ta nven

9 9 ta

. . .

. . .

. . .

Ræktunarstöð ræktunarstöð nven

nven nven nkeog

ræktunarstöð ræktunarstöð nven

er vera sfg3en

sfg3en sfg3en nkeog

vera vera sng

sæðingarstöð sæðingarstöð nven

nven nven nkeog

sæðingarstöð sæðingarstöð nven

, , ,

, , ,

, , ,

[ [ [

[ [ [

[ [ [

einangrunarstöð einangrunarstöð nven

nven nven nkeog

einangrunarstöð einangrunarstöð nven

] ] ]

] ] ]

] ] ]

, , ,

, , ,

, , ,

3 3 ta

ta ta nven

3 3 ta

) ) )

) ) )

) ) )

uppeldisstöð uppeldisstöð nven

nven nven nkeog

uppeldisstöð uppeldisstöð nven

fyrir fyrir ao

ao ao sng

fyrir fyrir ao

kynbótagripi kynbótagripur nkfo

nkfo nkfo sng

kynbótagripur kynbótagripur nken

af af aþ

aþ aþ nhen

af af aþ

innlendum innlendur lkfþsf

lkfþsf lkfþsf sfg3eþ

innlendur innlendur lkensf

eða eða c

c c x

eða eða c

erlendum erlendur lkfþsf

lkfþsf lkfþsf sfg3eþ

erlendur erlendur lkensf

stofni stofn nkeþ

nkeþ nkeþ nhen

stofn stofn nken

eða eða c

c c x

eða eða c

stofnverndarbú stofnverndarbú nhen

nhen nhen nkeog

stofnverndarbú stofnverndarbú nhen

til til ae

ae ae sng

til til ae

ræktunar ræktun nvee

nvee nvee sng

ræktun ræktun nven

búfjárstofna búfjárstofn nkfo

nkfo nkfo sng

búfjárstofn búfjárstofn nken

vegna vegna ae

ae ae sng

vegna vegna ae

sameiginlegs sameiginlegur lkeesf

lkeesf lkeesf sfg3eþ

sameiginlegur sameiginlegur lkensf

ræktunarstarfs ræktunarstarf nhee

nhee nhee sng

ræktunarstarf ræktunarstarf nhen

búgreinar búgrein nvfn

nvfn nvfn nheo

búgrein búgrein nven

. . .

. . .

. . .

10 10 ta

ta ta nven

10 10 ta

. . .

. . .

. . .

Fagráð fagráð nhen

nhen nhen nkeog

fagráð fagráð nhen

er vera sfg3en

sfg3en sfg3en nkeog

vera vera sng

nefnd nefnd nveþ

nveþ nveþ nhen

nefnd nefnd nveþ

sem sem c

c c x

sem sem c

mótar móta sfg3en

sfg3en sfg3en nkeog

móta móta sng

stefnu stefna nveo

nveo nveo sng

stefna stefna nven

í í aþ

aþ aþ nhen

í í aþ

kynbótum kynbóta nvfþ

nvfþ nvfþ nhen

kynbóta kynbóta nvfe

, , ,

, , ,

, , ,

rannsóknum rannsókn nvfþ

nvfþ nvfþ nhen

rannsókn rannsókn nven

, , ,

, , ,

, , ,

fræðslumálum fræðslumál nhfþ

nhfþ nhfþ nhen

fræðslumál fræðslumál nhen

og og c

c c x

og og c

þróunarstarfi þróunarstarfi nken

nken nken nkeog

þróunarstarfi þróunarstarfi nken

búgreinar búgrein nvfn

nvfn nvfn nheo

búgrein búgrein nven

. . .

. . .

. . .

Fagráð fagráð nhen

nhen nhen nkeog

fagráð fagráð nhen

getur geta sfg3en

sfg3en sfg3en nkeog

geta geta sfg3fn

starfað starfa ssg

ssg ssgur nkeo

starfa starf nhfe

á á aþ

aþ aþ nhen

á á aþ

fagsviði fagsviði nken

nken nken nkeog

fagsviði fagsviði nken

, , ,

, , ,

, , ,

t til aa

. . .

ae ae sng

til til ae

d. dæmi nhee

nhee nhee sng

dæmi dæmi nhen

hagfræði hagfræði nven

nven nven nkeog

hagfræði hagfræði nven

. . .

. . .

. . .

[ [ [

[ [ [

[ [ [

11 11 ta

ta ta nven

11 11 ta

. . .

. . .

. . .

Landgreiðslur landgreiðsla nvfn

nvfn nvfn nheo

landgreiðsla landgreiðsla nven

eru vera sfg3fn

sfg3fn sfg3fn nheo

vera vera sng

greiðslur greiðsla nvfn

nvfn nvfn nheo

greiðsla greiðsla nven

sem sem c

c c x

sem sem c

greiddar greiddur lvfnsf

lvfnsf lvfnsf sfg3eþ

greiddur greiddur lkensf

eru vera sfg3fn

sfg3fn sfg3fn nheo

vera vera sng

út út aa

aa aur nkfo

út út aa

á á aþ

aþ aþ nhen

á á aþ

ræktað ræktaður lhensf

lhensf lhensf sfg3eþ

ræktaður ræktaður lkensf

land land nhen

nhen nhen nkeog

land land nhen

sem sem c

c c x

sem sem c

uppskorið uppskorinn lhensf

lhensf lhensf sfg3eþ

uppskorinn uppskorinn lkensf

er vera sfg3en

sfg3en sfg3en nkeog

vera vera sng

til til ae

ae ae sng

til til ae

fóðuröflunar fóðuröflunar nvfn

nvfn nvfn nheo

fóðuröflunar fóðuröflunar nvfn

. . .

. . .

. . .

] ] ]

] ] ]

] ] ]

3 3 ta

ta ta nven

3 3 ta

) ) )

) ) )

) ) )

[ [ [

[ [ [

[ [ [

12 12 ta

ta ta nven

12 12 ta

. . .

. . .

. . .

] ] ]

] ] ]

] ] ]

3 3 ta

ta ta nven

3 3 ta

) ) )

) ) )

) ) )

[ [ [

[ [ [

[ [ [

Landsráðunautur landsráðunautur nken

nken nken nkeog

