Búnaðarlög nhfn búnaðarlag
nven nkeog nven
  
gerð nven gerð
  
rekstrarbygginga nvfe rekstrarbygging
  
nvfe sng nvfe
  
rekstrarbygging nven rekstrarbygging
  
og c og
  
c x c
  
og c og
  
endurbætur nvfn endurbót
  
nvfn nheo nvfn
  
endurbót nven endurbót
  
á aþ á
  
aþ nhen aþ
  
á aþ á
  
þeim fphfþ það
  
fphfþ nhen fphfþ
  
það fphen það
  
. . .
  
. . .
  
. . .
  
2 ta 2
  
ta nven ta
  
2 ta 2
  
. . .
  
. . .
  
. . .
  
Búfjárrækt nven búfjárrækt
  
nven nkeog nven
  
búfjárrækt nven búfjárrækt
  
er sfg3en vera
  
sfg3en nkeog sfg3en
  
vera sng vera
  
starfsemi nven starfsemi
  
nven nkeog nven
  
starfsemi nven starfsemi
  
sem c sem
  
c x c
  
sem c sem
  
með aþ með
  
aþ nhen aþ
  
með aþ með
  
skipulegu lkfnvf skipulegur
  
lkfnvf sfg3eþ lkfnvf
  
skipulegur lkensf skipulegur
  
kynbótastarfi nken kynbótastarfi
  
nken nkeog nken
  
kynbótastarfi nken kynbótastarfi
  
og c og
  
c x c
  
og c og
  
bættri lkenvm bættur
  
lkenvm nhfþ lkenvm
  
bættur sþgken bæta
  
fóðrun nven fóðrun
  
nven nkeog nven
  
fóðrun nven fóðrun
  
stuðlar sfg3en stuðla
  
sfg3en nkeog sfg3en
  
stuðla sng stuðla
  
að cn að
  
cn e cn
  
að cn að
  
framförum nvfþ framför
  
nvfþ nhen nvfþ
  
framför nhfn framfar
  
í aþ í
  
aþ nhen aþ
  
í aþ í
  
búfjárframleiðslu nveþ búfjárframleiðsla
  
nveþ nhen nveþ
  
búfjárframleiðsla nven búfjárframleiðsla
  
. . .
  
. . .
  
. . .
  
3 ta 3
  
ta nven ta
  
3 ta 3
  
. . .
  
. . .
  
. . .
  
Búfé nhen búfé
  
nhen nkeog nhen
  
búfé nhen búfé
  
er sfg3en vera
  
sfg3en nkeog sfg3en
  
vera sng vera
  
hross nhen hross
  
nhen nkeog nhen
  
hross nhen hross
  
, , ,
  
, , ,
  
, , ,
  
nautgripir nkfn nautgripur
  
nkfn nheo nkfn
  
nautgripur nken nautgripur
  
, , ,
  
, , ,
  
, , ,
  
sauðfé nhen sauðfé
  
nhen nkeog nhen
  
sauðfé nhen sauðfé
  
, , ,
  
, , ,
  
, , ,
  
geitur nvfn geit
  
nvfn nheo nvfn
  
geit nven geit
  
, , ,
  
, , ,
  
, , ,
  
svín nhen svín
  
nhen nkeog nhen
  
svín nhen svín
  
, , ,
  
, , ,
  
, , ,
  
loðdýr nhfn loðdýr
  
nhfn nheo nhfn
  
loðdýr nhfn loðdýr
  
, , ,
  
, , ,
  
, , ,
  
kanínur nvfn kanína
  
nvfn nheo nvfn
  
kanína nven kanína
  
og c og
  
c x c
  
og c og
  
alifuglar nkfn alifugl
  
nkfn nheo nkfn
  
alifugl nken alifugl
  
, , ,
  
, , ,
  
, , ,
  
auk ae auk
  
ae sng ae
  
auk ae auk
  
þess fphee það
  
fphee sng fphee
  
það fphen það
  
eldisfiskar nkfn eldisfiskur
  
nkfn nheo nkfn
  
eldisfiskur nken eldisfiskur
  
og c og
  
c x c
  
og c og
  
önnur foven annar
  
foven nkeog foven
  
annar foken annar
  
dýr nhfo dýr
  
nhfo sng nhfo
  
dýr nhfo dýr
  
sem c sem
  
c x c
  
sem c sem
  
haldin lvensf haldinn
  
lvensf sfg3eþ lvensf
  
haldinn lkensf haldinn
  
eru sfg3fn vera
  
sfg3fn nheo sfg3fn
  
vera sng vera
  
til ae til
  
ae sng ae
  
til ae til
  
nytja sng nytja
  
sng nven sng
  
nytja sng nytja
  
. . .
  
. . .
  
. . .
  
Rísi svg3en rísa
  
svg3en nkeog svg3en
  
rísa sng rísa
  
ágreiningur nken ágreiningur
  
nken nkeog nken
  
ágreiningur nken ágreiningur
  
um ao um
  
ao sng ao
  
um ao um
  
hvað fshen hver
  
fshen nkeog fshen
  
hver fsken hver
  
falla sng falla
  
sng nven sng
  
falla sng falla
  
skuli svg3en skulu
  
svg3en nkeog svg3en
  
skulu sfg3fn skulu
  
undir aþ undir
  
aþ nhen aþ
  
undir aþ undir
  
hugtakið nheng hugtak
  
nheng lvensf nhengur
  
hugtak nhen hugtak
  
búfé nhen búfé
  
nhen nkeog nhen
  
búfé nhen búfé
  
sker sfg3en skera
  
sfg3en nkeog sfg3en
  
skera sng skera
  
[ [ [
  
[ [ [
  
[ [ [
  
ráðherra nken ráðherra
  
nken nkeog nken
  
ráðherra nken ráðherra
  
] ] ]
  
] ] ]
  
] ] ]
  
1 ta 1
  
ta nven ta
  
1 ta 1
  
) ) )
  
) ) )
  
) ) )
  
úr aþ úr
  
aþ nhen aþ
  
úr aþ úr
  
þeim fphfþ það
  
fphfþ nhen fphfþ
  
það fphen það
  
ágreiningi nkeþ ágreiningur
  
nkeþ nhen nkeþ
  
ágreiningur nken ágreiningur
  
. . .
  
. . .
  
. . .
  
4 ta 4
  
ta nven ta
  
4 ta 4
  
. . .
  
. . .
  
. . .
  
Leiðbeiningarmiðstöð nven leiðbeiningarmiðstöð
  
nven nkeog nven
  
leiðbeiningarmiðstöð nven leiðbeiningarmiðstöð
  
er sfg3en vera
  
sfg3en nkeog sfg3en
  
vera sng vera
  
miðstöð nven miðstöð
  
nven nkeog nven
  
miðstöð nven miðstöð
  
á aþ á
  
aþ nhen aþ
  
á aþ á
  
vegum nkfþ vegur
  
nkfþ nhen nkfþ
  
vegur nken vegur
  
[ [ [
  
[ [ [
  
[ [ [
  
Bændasamtaka nhfe bændasamtök
  
nhfe sng nhfe
  
bændasamtök nhfn bændasamtök
  
Íslands nhee-s ísland
  
nhee-s nhee nhee-s
  
ísland nhen ísland
  
] ] ]
  
] ] ]
  
] ] ]
  
2 ta 2
  
ta nven ta
  
2 ta 2
  
) ) )
  
) ) )
  
) ) )
  
þar aa þar
  
aa nkfo aur
  
þar aa þar
  
sem c sem
  
c x c
  
sem c sem
  
starfa nhfe starf
  
nhfe sng nhfe
  
starf nhen starf
  
sérfróðir nkfn sérfróður
  
nkfn nheo nkfn
  
sérfróður nken sérfróður
  
menn nkfn maður
  
nkfn nheo nkfn
  
maður nken maður
  
á aþ á
  
aþ nhen aþ
  
á aþ á
  
ýmsum fovfþ ýmis
  
fovfþ nhen fovfþ
  
ýmis fohfn ýmis
  
sviðum nhfþ svið
  
nhfþ nhen nhfþ
  
svið nhen svið
  
landbúnaðar nkee landbúnaður
  
nkee sng nkee
  
landbúnaður nken landbúnaður
  
við ao við
  
ao sng ao
  
við ao við
  
leiðbeiningar nvfn leiðbeining
  
nvfn nheo nvfn
  
leiðbeining nven leiðbeining
  
og c og
  
c x c
  
og c og
  
önnur foven annar
  
foven nkeog foven
  
annar foken annar
  
verkefni nhfn verkefni
  
nhfn nheo nhfn
  
verkefni nhfn verkefni
  
tengd sþgven tengja
  
sþgven nkeog sþgven
  
tengja sng tengja
  
framkvæmd nven framkvæmd
  
nven nkeog nven
  
framkvæmd nven framkvæmd
  
laga nhfe lag
  
nhfe sng nhfe
  
lag nhen lag
  
þessara fahfe þessi
  
fahfe sng fahfe
  
þessi faven þessi
  
. . .
  
. . .
  
. . .
  
5 ta 5
  
ta nven ta
  
5 ta 5
  
. . .
  
. . .
  
. . .
  
Búnaðarfélag nhen búnaðarfélag
  
nhen nkeog nhen
  
búnaðarfélag nhen búnaðarfélag
  
er sfg3en vera
  
sfg3en nkeog sfg3en
  
vera sng vera
  
félag nhen félag
  
nhen nkeog nhen
  
félag nhen félag
  
bænda nkfe bóndi
  
nkfe sng nkfe
  
bóndi nken bóndi
  
á aþ á
  
aþ nhen aþ
  
á aþ á
  
ákveðnu lhfnvf ákveðinn
  
lhfnvf sfg3eþ lhfnvf
  
ákveðinn lkensf ákveðinn
  
svæði nhfn svæði
  
nhfn nheo nhfn
  
svæði nhfn svæði
  
, , ,
  
, , ,
  
, , ,
  
óháð lhensf óháður
  
lhensf sfg3eþ lhensf
  
óháður lkensf óháður
  
þeim fphfþ það
  
fphfþ nhen fphfþ
  
það fphen það
  
búrekstri nkeþ búrekstur
  
nkeþ nhen nkeþ
  
búrekstur nken búrekstur
  
sem c sem
  
c x c
  
sem c sem
  
þeir fpkfn hann
  
fpkfn nheo fpkfn
  
hann fpken hann
  
stunda sng stunda
  
sng nven sng
  
stunda sng stunda
  
. . .
  
. . .
  
. . .
  
6 ta 6
  
ta nven ta
  
6 ta 6
  
. . .
  
. . .
  
. . .
  
Búgreinafélag nhen búgreinafélag
  
nhen nkeog nhen
  
búgreinafélag nhen búgreinafélag
  
er sfg3en vera
  
sfg3en nkeog sfg3en
  
vera sng vera
  
félag nhen félag
  
nhen nkeog nhen
  
félag nhen félag
  
bænda nkfe bóndi
  
nkfe sng nkfe
  
bóndi nken bóndi
  
á aþ á
  
aþ nhen aþ
  
á aþ á
  
ákveðnu lhfnvf ákveðinn
  
lhfnvf sfg3eþ lhfnvf
  
ákveðinn lkensf ákveðinn
  
svæði nhfn svæði
  
nhfn nheo nhfn
  
svæði nhfn svæði
  
sem c sem
  
c x c
  
sem c sem
  
stunda sng stunda
  
sng nven sng
  
stunda sng stunda
  
sömu fbveþ samur
  
fbveþ nhen fbveþ
  
samur fbken samur
  
búgrein nven búgrein
  
nven nkeog nven
  
búgrein nven búgrein
  
. . .
  
. . .
  
. . .
  
7 ta 7
  
ta nven ta
  
7 ta 7
  
. . .
  
. . .
  
. . .
  
Búnaðarsamband nhen búnaðarsamband
  
nhen nkeog nhen
  
búnaðarsamband nhen búnaðarsamband
  
er sfg3en vera
  
sfg3en nkeog sfg3en
  
vera sng vera
  
svæðisbundið lhensf svæðisbundinn
  
lhensf sfg3eþ lhensf
  
svæðisbundinn lkensf svæðisbundinn
  
samband nhen samband
  
nhen nkeog nhen
  
samband nhen samband
  
búnaðarfélaga nhfe búnaðarfélag
  
nhfe sng nhfe
  
búnaðarfélag nhen búnaðarfélag
  
, , ,
  
, , ,
  
, , ,
  
búgreinafélaga nhfe búgreinafélag
  
nhfe sng nhfe
  
búgreinafélag nhen búgreinafélag
  
og c og
  
c x c
  
og c og
  
/  /
  
/  /
  
eða c eða
  
c x c
  
eða c eða
  
einstakra lkfesf einstakur
  
lkfesf sfg3eþ lkfesf
  
einstakur lkensf einstakur
  
bænda nkfe bóndi
  
nkfe sng nkfe
  
bóndi nken bóndi
  
. . .
  
. . .
  
. . .
  
8 ta 8
  
ta nven ta
  
8 ta 8
  
. . .
  
. . .
  
. . .
  
Búgreinasamband nhen búgreinasamband
  
nhen nkeog nhen
  
búgreinasamband nhen búgreinasamband
  
er sfg3en vera
  
sfg3en nkeog sfg3en
  
vera sng vera
  
landssamband nhen landssamband
  
nhen nkeog nhen
  
landssamband nhen landssamband
  
búgreinafélaga nhfe búgreinafélag
  
nhfe sng nhfe
  
búgreinafélag nhen búgreinafélag
  
eða c eða
  
c x c
  
eða c eða
  
einstakra lkfesf einstakur
  
lkfesf sfg3eþ lkfesf
  
einstakur lkensf einstakur
  
bænda nkfe bóndi
  
nkfe sng nkfe
  
bóndi nken bóndi
  
sem c sem
  
c x c
  
sem c sem
  
stunda sng stunda
  
sng nven sng
  
stunda sng stunda
  
sömu fbveþ samur
  
fbveþ nhen fbveþ
  
samur fbken samur
  
búgrein nven búgrein
  
nven nkeog nven
  
búgrein nven búgrein
  
. . .
  
. . .
  
. . .
  
9 ta 9
  
ta nven ta
  
9 ta 9
  
. . .
  
. . .
  
. . .
  
Ræktunarstöð nven ræktunarstöð
  
nven nkeog nven
  
ræktunarstöð nven ræktunarstöð
  
er sfg3en vera
  
sfg3en nkeog sfg3en
  
vera sng vera
  
sæðingarstöð nven sæðingarstöð
  
nven nkeog nven
  
sæðingarstöð nven sæðingarstöð
  
, , ,
  
, , ,
  
, , ,
  
[ [ [
  
[ [ [
  
[ [ [
  
einangrunarstöð nven einangrunarstöð
  
nven nkeog nven
  
einangrunarstöð nven einangrunarstöð
  
] ] ]
  
] ] ]
  
] ] ]
  
, , ,
  
, , ,
  
, , ,
  
3 ta 3
  
ta nven ta
  
3 ta 3
  
) ) )
  
) ) )
  
) ) )
  
uppeldisstöð nven uppeldisstöð
  
nven nkeog nven
  
uppeldisstöð nven uppeldisstöð
  
fyrir ao fyrir
  
ao sng ao
  
fyrir ao fyrir
  
kynbótagripi nkfo kynbótagripur
  
nkfo sng nkfo
  
kynbótagripur nken kynbótagripur
  
af aþ af
  
aþ nhen aþ
  
af aþ af
  
innlendum lkfþsf innlendur
  
lkfþsf sfg3eþ lkfþsf
  
innlendur lkensf innlendur
  
eða c eða
  
c x c
  
eða c eða
  
erlendum lkfþsf erlendur
  
lkfþsf sfg3eþ lkfþsf
  
erlendur lkensf erlendur
  
stofni nkeþ stofn
  
nkeþ nhen nkeþ
  
stofn nken stofn
  
eða c eða
  
c x c
  
eða c eða
  
stofnverndarbú nhen stofnverndarbú
  
nhen nkeog nhen
  
stofnverndarbú nhen stofnverndarbú
  
til ae til
  
ae sng ae
  
til ae til
  
ræktunar nvee ræktun
  
nvee sng nvee
  
ræktun nven ræktun
  
búfjárstofna nkfo búfjárstofn
  
nkfo sng nkfo
  
búfjárstofn nken búfjárstofn
  
vegna ae vegna
  
ae sng ae
  
vegna ae vegna
  
sameiginlegs lkeesf sameiginlegur
  
lkeesf sfg3eþ lkeesf
  
sameiginlegur lkensf sameiginlegur
  
ræktunarstarfs nhee ræktunarstarf
  
nhee sng nhee
  
ræktunarstarf nhen ræktunarstarf
  
búgreinar nvfn búgrein
  
nvfn nheo nvfn
  
búgrein nven búgrein
  
. . .
  
. . .
  
. . .
  
10 ta 10
  
ta nven ta
  
10 ta 10
  
. . .
  
. . .
  
. . .
  
Fagráð nhen fagráð
  
nhen nkeog nhen
  
fagráð nhen fagráð
  
er sfg3en vera
  
sfg3en nkeog sfg3en
  
vera sng vera
  
nefnd nveþ nefnd
  
nveþ nhen nveþ
  
nefnd nveþ nefnd
  
sem c sem
  
c x c
  
sem c sem
  
mótar sfg3en móta
  
sfg3en nkeog sfg3en
  
móta sng móta
  
stefnu nveo stefna
  
nveo sng nveo
  
stefna nven stefna
  
í aþ í
  
aþ nhen aþ
  
í aþ í
  
kynbótum nvfþ kynbóta
  
nvfþ nhen nvfþ
  
kynbóta nvfe kynbóta
  
, , ,
  
, , ,
  
, , ,
  
rannsóknum nvfþ rannsókn
  
nvfþ nhen nvfþ
  
rannsókn nven rannsókn
  
, , ,
  
, , ,
  
, , ,
  
fræðslumálum nhfþ fræðslumál
  
nhfþ nhen nhfþ
  
fræðslumál nhen fræðslumál
  
og c og
  
c x c
  
og c og
  
